#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,ACs
#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,ACs
188,Garhwal,2,GEN,Uttar Pradesh [1947 - 1999],Maj Gen. (Rtd) Bhuwan Chandra Khanduri(A.V.S.M.),Bharatiya Janta Party,1036876,481176,46.4 %,29682,6.2%,AC View
189,Gauhati,7,GEN,Assam,Bijoya Chakravarty,Bharatiya Janta Party,1354869,858028,63.3 %,75238,8.8%,AC View
190,Gaya,43,SC,Bihar [1947 - 1999],Ramji Manjhi,Bharatiya Janta Party,1056530,647985,61.3 %,20783,3.2%,AC View
191,Ghatampur,63,SC,Uttar Pradesh [1947 - 1999],Pyare Lal Sankhwar,Bahujan Samaj Party,1112727,563152,50.6 %,105,0.0%,AC View
192,Ghazipur,50,GEN,Uttar Pradesh [1947 - 1999],Manoj,Bharatiya Janta Party,1300013,743074,57.2 %,11033,1.5%,AC View
193,Ghosi,44,GEN,Uttar Pradesh [1947 - 1999],Bal Krishna,Bahujan Samaj Party,1216056,686389,56.4 %,36501,5.3%,AC View
194,Giridih,46,GEN,Bihar [1947 - 1999],Ravindra Kumar Pandey,Bharatiya Janta Party,1115417,540501,48.5 %,19824,3.7%,AC View
195,Gobichettipalayam,19,SC,Tamil Nadu,"Kaliappan, K.K.",All India Anna Dravida Munnetra Kazhagam,1066362,642800,60.3 %,30012,4.7%,AC View
196,Godda,28,GEN,Bihar [1947 - 1999],Jagdambi Prasad Yadav,Bharatiya Janta Party,1087573,642006,59.0 %,79892,12.4%,AC View
197,Godhra,18,GEN,Gujarat,Solanki Bhupendrasinh Prabhatsinh,Bharatiya Janta Party,1020262,483245,47.4 %,95022,19.7%,AC View
198,Gonda,33,GEN,Uttar Pradesh [1947 - 1999],Braj Bhushan Sharan Singh,Bharatiya Janta Party,1159190,587726,50.7 %,59197,10.1%,AC View
199,Gopalganj,4,GEN,Bihar [1947 - 1999],Raghunath Jha,Janata Dal (United),1176915,750762,63.8 %,36124,4.8%,AC View
200,Gorakhpur,38,GEN,Uttar Pradesh [1947 - 1999],Aditya Nath,Bharatiya Janta Party,1261260,658471,52.2 %,7339,1.1%,AC View
201,Gulbarga,2,GEN,Karnataka,Iqbal Ahemed Saradgi,Indian National Congress,1280563,773746,60.4 %,69837,9.0%,AC View
202,Guna,4,GEN,Madhya Pradesh [1947 - 1999],Madhav Rao Scindia,Indian National Congress,1280953,689219,53.8 %,214428,31.1%,AC View
203,Guntur,15,GEN,Andhra Pradesh,Yemparala Venkateswararao,Telugu Desam,1239626,794709,64.1 %,40330,5.1%,AC View
204,Gurdaspur,1,GEN,Punjab,Vinod Khanna,Bharatiya Janta Party,1122008,677041,60.3 %,1399,0.2%,AC View
205,Gwalior,3,GEN,Madhya Pradesh [1947 - 1999],Jaibhan Singh Pavaiya,Bharatiya Janta Party,1280141,616741,48.2 %,83116,13.5%,AC View
206,Hajipur,8,SC,Bihar [1947 - 1999],Ram Vilas Paswan,Janata Dal (United),1064323,790448,74.3 %,105504,13.3%,AC View
207,Hamirpur,4,SC,Himachal Pradesh,Suresh Chandel,Bharatiya Janta Party,937500,559673,59.7 %,129247,23.1%,AC View
208,Hamirpur,60,GEN,Uttar Pradesh [1947 - 1999],Ashok Kumar Singh Chandel,Bahujan Samaj Party,1057352,622575,58.9 %,11664,1.9%,AC View
209,Hanamkonda,38,GEN,Andhra Pradesh,Chada Suresh Reddy,Telugu Desam,1118951,756778,67.6 %,85781,11.3%,AC View
210,Hapur,79,GEN,Uttar Pradesh [1947 - 1999],Ramesh Chand Tomar,Bharatiya Janta Party,1568097,736839,47.0 %,11958,1.6%,AC View
211,Hardoi,19,SC,Uttar Pradesh [1947 - 1999],Jai Prakash,Akhil Bhartiya Lok Tantrik Congress,1083894,560331,51.7 %,5404,1.0%,AC View
212,Hardwar,85,SC,Uttar Pradesh [1947 - 1999],Harpal Singh Sathi,Bharatiya Janta Party,1183770,673563,56.9 %,32847,4.9%,AC View
213,Hassan,19,GEN,Karnataka,G.Putta Swamy Gowda,Indian National Congress,1217049,892801,73.4 %,141757,15.9%,AC View
214,Hathras,75,SC,Uttar Pradesh [1947 - 1999],Kishan Lal Diler,Bharatiya Janta Party,1138146,467558,41.1 %,68407,14.6%,AC View
215,Hazaribagh,48,GEN,Bihar [1947 - 1999],Yashwant Sinha,Bharatiya Janta Party,1213735,600310,49.5 %,182642,30.4%,AC View
216,Hindupur,24,GEN,Andhra Pradesh,B.K. Parthasarathi,Telugu Desam,1151606,792868,68.9 %,134636,17.0%,AC View
217,Hingoli,29,GEN,Maharashtra,Mane Shivaji Gyanbarao,Shiv Sena,1033944,732626,70.9 %,80655,11.0%,AC View
218,Hissar,9,GEN,Haryana,Surender Singh Barwala,Indian National Lok Dal,1025344,646513,63.1 %,160452,24.8%,AC View
219,Hooghly,27,GEN,West Bengal,Rupchand Pal,Communist Party Of India (MARXIST),1160870,930831,80.2 %,12485,1.3%,AC View
220,Hoshangabad,29,GEN,Madhya Pradesh [1947 - 1999],Sundar Lal Patwa,Bharatiya Janta Party,1153365,687218,59.6 %,44447,6.5%,AC View
221,Hoshiarpur,6,GEN,Punjab,Charanjit Singh Channi,Indian National Congress,1112971,585901,52.6 %,34206,5.8%,AC View
222,Howrah,24,GEN,West Bengal,Swadesh Chakraborty,Communist Party Of India (MARXIST),1381960,995422,72.0 %,103449,10.4%,AC View
223,Hyderabad,30,GEN,Andhra Pradesh,Sultan Salahuddin Owaisi,All India Majlis-E-Ittehadul Muslimoon,1567225,1083678,69.2 %,60821,5.6%,AC View
224,Ichalkaranji,47,GEN,Maharashtra,Mane Nivedita Sambhajirao,Nationalist Congress Party,1116659,810963,72.6 %,12812,1.6%,AC View
225,Idukki,14,GEN,Kerala,K. Francis George,Kerala Congress,1121484,778940,69.5 %,9298,1.2%,AC View
226,Indore,37,GEN,Madhya Pradesh [1947 - 1999],Sumitra Mahajan,Bharatiya Janta Party,1478108,834579,56.5 %,131315,15.7%,AC View
227,Inner Manipur,1,GEN,Manipur,Th. Chaoba,Manipur State Congress Party,657928,446627,67.9 %,8195,1.8%,AC View
228,Jabalpur,25,GEN,Madhya Pradesh [1947 - 1999],Jaishree Banerjee ( Bhabhi Ji),Bharatiya Janta Party,1241478,533865,43.0 %,109754,20.6%,AC View
229,Jadavpur,18,GEN,West Bengal,Krishna Bose,All India Trinamool Congress,1403413,1005286,71.6 %,66765,6.6%,AC View
230,Jagatsinghpur,7,SC,Orissa,Trilochan Kanungo,Biju Janata Dal,1233063,763694,61.9 %,149282,19.5%,AC View
231,Jahanabad,41,GEN,Bihar [1947 - 1999],Arun Kumar,Janata Dal (United),1105202,786107,71.1 %,17287,2.2%,AC View
232,Jaipur,6,GEN,Rajasthan,Girdhari Lal Bhargava,Bharatiya Janta Party,1753765,808579,46.1 %,141790,17.5%,AC View
233,Jajpur,4,ST,Orissa,Jagannath Mallik,Biju Janata Dal,1171211,599079,51.2 %,113984,19.0%,AC View
234,Jalaun,62,SC,Uttar Pradesh [1947 - 1999],Brij Lal Khabri,Bahujan Samaj Party,1164371,581802,50.0 %,13352,2.3%,AC View
235,Jalesar,70,GEN,Uttar Pradesh [1947 - 1999],Prof. S.P. Singh Baghel,Samajwadi Party,1122770,678248,60.4 %,8062,1.2%,AC View
236,Jalgaon,17,GEN,Maharashtra,Y G Mahajan Sir,Bharatiya Janta Party,1101166,743542,67.5 %,89795,12.1%,AC View
237,Jalna,32,GEN,Maharashtra,Danve Raosaheb Dadarao Patil,Bharatiya Janta Party,1106131,801751,72.5 %,123909,15.5%,AC View
238,Jalore,22,GEN,Rajasthan,Buta Singh,Indian National Congress,1245605,654432,52.5 %,35924,5.5%,AC View
239,Jalpaiguri,3,SC,West Bengal,Minati Sen,Communist Party Of India (MARXIST),1101898,844223,76.6 %,108937,12.9%,AC View
240,Jammu,6,GEN,Jammu & Kashmir,Vishno Datt Sharma,Bharatiya Janta Party,1446792,676708,46.8 %,142019,21.0%,AC View
241,Jamnagar,3,GEN,Gujarat,Koradiya Chandreshbhai Valjibhai (Chandresh Patel),Bharatiya Janta Party,958418,361582,37.7 %,35769,9.9%,AC View
242,Jamshedpur,50,GEN,Bihar [1947 - 1999],Abha Mahato,Bharatiya Janta Party,1160562,635251,54.7 %,121488,19.1%,AC View
243,Jangipur,8,GEN,West Bengal,Abul Hasnat Khan,Communist Party Of India (MARXIST),1087203,785797,72.3 %,61317,7.8%,AC View
244,Janjgir,14,GEN,Madhya Pradesh [1947 - 1999],Dr. Charandas Mahant,Indian National Congress,1243772,672665,54.1 %,14233,2.1%,AC View
245,Jaunpur,48,GEN,Uttar Pradesh [1947 - 1999],Chinmayanand,Bharatiya Janta Party,1274445,702988,55.2 %,8635,1.2%,AC View
246,Jhabua,39,ST,Madhya Pradesh [1947 - 1999],Kantilal Bhuriya,Indian National Congress,1112482,620445,55.8 %,149377,24.1%,AC View
247,Jhalawar,15,GEN,Rajasthan,Vansundhara Raje,Bharatiya Janta Party,1069430,688049,64.3 %,152415,22.2%,AC View
248,Jhanjharpur,14,GEN,Bihar [1947 - 1999],Devendra Prasad Yadav,Janata Dal (United),1053943,684147,64.9 %,127814,18.7%,AC View
249,Jhansi,61,GEN,Uttar Pradesh [1947 - 1999],Sujan Singh Bundela,Indian National Congress,1319184,762984,57.8 %,82521,10.8%,AC View
250,Jhargram,33,ST,West Bengal,Rupchand Murmu,Communist Party Of India (MARXIST),991504,803200,81.0 %,108681,13.5%,AC View
251,Jhunjhunu,4,GEN,Rajasthan,Sisram Ola,Indian National Congress,1183184,674380,57.0 %,76348,11.3%,AC View
252,Jodhpur,24,GEN,Rajasthan,Jaswant Singh Vishnoi,Bharatiya Janta Party,1403850,663728,47.3 %,113297,17.1%,AC View
253,Jorhat,12,GEN,Assam,Bijoy Krishna Handique,Indian National Congress,1003470,649489,64.7 %,99360,15.3%,AC View
254,Joynagar,15,GEN,West Bengal,Sanat Kumar Mondal,Revolutionary Socialist Party,1116858,815915,73.1 %,112301,13.8%,AC View
255,Jullundur,4,SC,Punjab,Balbir Singh,Indian National Congress,1142090,568257,49.8 %,34566,6.1%,AC View
256,Junagadh,6,GEN,Gujarat,Chikhaliya Bhavnaben Devrajbhai,Bharatiya Janta Party,1079568,503628,46.7 %,46848,9.3%,AC View
257,Kaira,19,ST,Gujarat,Dinsha Patel,Indian National Congress,1054781,494780,46.9 %,33717,6.8%,AC View
258,Kairana,83,GEN,Uttar Pradesh [1947 - 1999],Amir Alam,Rashtriya Lok Dal,1099503,700065,63.7 %,38272,5.5%,AC View
259,Kaiserganj,30,GEN,Uttar Pradesh [1947 - 1999],Beni Prasad Verma,Samajwadi Party,1116997,646538,57.9 %,51559,8.0%,AC View
260,Kakinada,7,GEN,Andhra Pradesh,Mudragada Padmanabham,Telugu Desam,1171987,836085,71.3 %,121435,14.5%,AC View
261,Kalahandi,14,GEN,Orissa,Bikram Keshari Deo,Bharatiya Janta Party,1060990,654739,61.7 %,116519,17.8%,AC View
262,Kaliabor,11,GEN,Assam,Tarun Gogoi,Indian National Congress,1111536,779525,70.1 %,167392,21.5%,AC View
263,Kanakapura,11,GEN,Karnataka,M.V.Chandrashekara Murthy,Indian National Congress,2110629,1275773,60.5 %,34017,2.7%,AC View
264,Kanara,22,SC,Karnataka,Margaret Alva,Indian National Congress,1101130,773556,70.3 %,10591,1.4%,AC View
265,Kangra,3,GEN,Himachal Pradesh,Shanta Kumar,Bharatiya Janta Party,935090,557018,59.6 %,100742,18.1%,AC View
266,Kanker,19,ST,Madhya Pradesh [1947 - 1999],Sohan Potai,Bharatiya Janta Party,1036799,586231,56.5 %,88191,15.0%,AC View
267,Kannauj,67,GEN,Uttar Pradesh [1947 - 1999],Mulayam Singh Yadav,Samajwadi Party,1157142,693752,60.0 %,79139,11.4%,AC View
268,Kanpur,65,GEN,Uttar Pradesh [1947 - 1999],Sriprakash Jaiswal,Indian National Congress,1417761,635651,44.8 %,34459,5.4%,AC View
269,Kapadvanj,16,GEN,Gujarat,Vaghela Shankarsinh Laxmansinh,Indian National Congress,1124201,674876,60.0 %,165381,24.5%,AC View
270,Karad,45,GEN,Maharashtra,Shriniwas Dadasaheb Patil (Marulkar),Nationalist Congress Party,1034700,760075,73.5 %,122961,16.2%,AC View
271,Karimganj,1,SC,Assam,Nepal Chandra Das,Indian National Congress,943163,695538,73.8 %,42259,6.1%,AC View
272,Karimnagar,37,GEN,Andhra Pradesh,Chennamaneni Vidyasagar Rao,Bharatiya Janta Party,1259045,840556,66.8 %,19370,2.3%,AC View
273,Karnal,3,SC,Haryana,I.D. Swami,Bharatiya Janta Party,1131448,771194,68.2 %,147854,19.2%,AC View
274,Karol Bagh,7,GEN,Delhi [1977 Onwards],Anita Arya,Bharatiya Janta Party,571657,258309,45.2 %,12454,4.8%,AC View
275,Karur,26,GEN,Tamil Nadu,"Chinnasamy, M.",All India Anna Dravida Munnetra Kazhagam,1170582,736708,62.9 %,2847,0.4%,AC View
276,Kasaragod,1,GEN,Kerala,T. Govindan,Communist Party Of India (MARXIST),1199964,931632,77.6 %,31578,3.4%,AC View
277,Katihar,25,GEN,Bihar [1947 - 1999],Nikhil Kumar Choudhary,Bharatiya Janta Party,1039500,647219,62.3 %,136852,21.1%,AC View
278,Katwa,40,GEN,West Bengal,Mahboob Zahedi,Communist Party Of India (MARXIST),1183616,933089,78.8 %,108362,11.6%,AC View
279,Kendrapara,5,ST,Orissa,Prabhat Kumar Samantray,Biju Janata Dal,1121183,624939,55.7 %,102139,16.3%,AC View
280,Keonjhar,21,ST,Orissa,Ananta Nayak,Bharatiya Janta Party,1092055,630104,57.7 %,222553,35.3%,AC View
281,Khagaria,31,GEN,Bihar [1947 - 1999],Renu Kumari,Janata Dal (United),1044431,672123,64.4 %,31822,4.7%,AC View
282,Khajuraho,6,GEN,Madhya Pradesh [1947 - 1999],Satyavrat Chaturvedi ( Vinod Bhaiya ),Indian National Congress,1379871,746829,54.1 %,81137,10.9%,AC View
283,Khalilabad,36,GEN,Uttar Pradesh [1947 - 1999],Bhal Chandra Yadav,Samajwadi Party,1215811,672974,55.4 %,30028,4.5%,AC View
284,Khammam,40,GEN,Andhra Pradesh,Renuka Chowdhury,Indian National Congress,1228365,948088,77.2 %,8398,0.9%,AC View
285,Khandwa,34,GEN,Madhya Pradesh [1947 - 1999],Nandkumarsingh Chouhan ( Nandu Bhaiya ),Bharatiya Janta Party,1110180,631109,56.9 %,126103,20.0%,AC View
286,Khargone,35,GEN,Madhya Pradesh [1947 - 1999],Tarachand Patel,Indian National Congress,1156862,698922,60.4 %,38146,5.5%,AC View
287,Khed,41,SC,Maharashtra,Ashok Namdeorao Mohol,Nationalist Congress Party,1070409,690884,64.5 %,57018,8.3%,AC View
288,Kheri,15,GEN,Uttar Pradesh [1947 - 1999],Ravi Prakash Verma,Samajwadi Party,1260158,717933,57.0 %,4515,0.6%,AC View
289,Khunti,52,ST,Bihar [1947 - 1999],Kariya Munda,Bharatiya Janta Party,832168,412090,49.5 %,26262,6.4%,AC View
290,Khurja,77,SC,Uttar Pradesh [1947 - 1999],Ashok Kumar Pradhan,Bharatiya Janta Party,1271984,489206,38.5 %,110298,22.5%,AC View
291,Kishanganj,23,GEN,Bihar [1947 - 1999],Syed Shahnawaz Hussain,Bharatiya Janta Party,1129430,727839,64.4 %,8648,1.2%,AC View
292,Kodarma,45,GEN,Bihar [1947 - 1999],Tilakdhari Pd Singh,Indian National Congress,1137548,602557,53.0 %,10178,1.7%,AC View
293,Kokrajhar,5,ST,Assam,Sansuma Khunggur Bwismuthiary,Independent,1168480,910953,78.0 %,87425,9.6%,AC View
294,Kolaba,3,GEN,Maharashtra,Ramsheth Thakur,Peasants And Workers Party Of India,1156456,710896,61.5 %,43097,6.1%,AC View
295,Kolar,10,GEN,Karnataka,K.H. Muniyappa,Indian National Congress,1145553,862812,75.3 %,82782,9.6%,AC View
296,Kolhapur,48,GEN,Maharashtra,Mandlik Sadashivrao Dadoba,Nationalist Congress Party,1071598,775000,72.3 %,108910,14.1%,AC View
297,Kopargaon,40,GEN,Maharashtra,E V Alias Balasaheb Vikhe Patil,Shiv Sena,952408,688637,72.3 %,47415,6.9%,AC View
298,Koppal,4,SC,Karnataka,H.G.Ramulu,Indian National Congress,1243426,799066,64.3 %,12512,1.6%,AC View
299,Koraput,12,ST,Orissa,Hema Gamang,Indian National Congress,1120784,567490,50.6 %,12154,2.1%,AC View
300,Kota,14,GEN,Rajasthan,Raghuveer Singh Koushal,Bharatiya Janta Party,1219405,636456,52.2 %,24769,3.9%,AC View
301,Kottayam,13,GEN,Kerala,Suresh Kurup,Communist Party Of India (MARXIST),1018385,733725,72.1 %,10599,1.4%,AC View
302,Krishnagar,11,GEN,West Bengal,Satyabrata Mookherjee,Bharatiya Janta Party,1084449,845489,78.0 %,22234,2.6%,AC View
303,Krishnagiri,14,GEN,Tamil Nadu,"Vetriselvan, V.",Dravida Munetra Kazhagam,1163690,697903,60.0 %,31824,4.6%,AC View
304,Kurnool,26,GEN,Andhra Pradesh,Kambhalapati E. Krishna Murthy,Telugu Desam,1163375,773629,66.5 %,24487,3.2%,AC View
305,Kurukshetra,2,GEN,Haryana,Prof Kailasho Devi,Indian National Lok Dal,1073147,730566,68.1 %,163610,22.4%,AC View
306,Kutch,1,SC,Gujarat,Gadhvi Pushpadan Sambhudan,Bharatiya Janta Party,872937,393586,45.1 %,4315,1.1%,AC View
307,Ladakh,4,GEN,Jammu & Kashmir,Hassan Khan,Jammu & Kashmir National Conference,143719,117671,81.9 %,2090,1.8%,AC View
308,Lakhimpur,14,GEN,Assam,Ranee Narah,Indian National Congress,1060744,767004,72.3 %,54523,7.1%,AC View
309,Lakshadweep,1,ST,Lakshadweep,P.M. Sayeed,Indian National Congress,37619,30174,80.2 %,3189,10.6%,AC View
310,Lalganj,46,SC,Uttar Pradesh [1947 - 1999],Dr. Bali Ram,Bahujan Samaj Party,1313973,698220,53.1 %,30999,4.4%,AC View
311,Latur,35,GEN,Maharashtra,Patil Shivraj Vishwanath,Indian National Congress,1097040,794945,72.5 %,40290,5.1%,AC View
312,Lohardaga,53,ST,Bihar [1947 - 1999],Dukha Bhagat,Bharatiya Janta Party,938658,369875,39.4 %,3823,1.0%,AC View
313,Lucknow,20,GEN,Uttar Pradesh [1947 - 1999],Atal Bihari Vajpayee,Bharatiya Janta Party,1552441,753961,48.6 %,123624,16.4%,AC View
314,Ludhiana,9,SC,Punjab,Gurcharan Singh Galib,Indian National Congress,1471530,674419,45.8 %,105246,15.6%,AC View
315,Machhlishahr,47,GEN,Uttar Pradesh [1947 - 1999],Chandra Nath Singh,Samajwadi Party,1263202,663055,52.5 %,21159,3.2%,AC View
316,Machilipatnam,12,GEN,Andhra Pradesh,Ambati Brahmanaiah,Telugu Desam,1006429,730278,72.6 %,82996,11.4%,AC View
317,Madhepura,21,GEN,Bihar [1947 - 1999],Sharad Yadav,Janata Dal (United),997210,660906,66.3 %,30320,4.6%,AC View
318,Madhubani,13,GEN,Bihar [1947 - 1999],Hukumdeo Narayan Yadav,Bharatiya Janta Party,1101089,717312,65.2 %,62615,8.7%,AC View
319,Madras Central,2,GEN,Tamil Nadu,Murasoli Maran,Dravida Munetra Kazhagam,1275067,617919,48.5 %,136949,22.2%,AC View
320,Madras North,1,SC,Tamil Nadu,"Kuppusamy, C.",Dravida Munetra Kazhagam,2041341,893936,43.8 %,159789,17.9%,AC View
321,Madras South,3,GEN,Tamil Nadu,"Baalu, T.R.",Dravida Munetra Kazhagam,2074130,936541,45.2 %,240184,25.6%,AC View
322,Madurai,24,GEN,Tamil Nadu,"Mohan, P.",Communist Party Of India (MARXIST),1429975,749441,52.4 %,37223,5.0%,AC View
323,Mahabubnagar,29,GEN,Andhra Pradesh,A.P.Jitender Reddy,Bharatiya Janta Party,1249455,830725,66.5 %,50895,6.1%,AC View
324,Maharajganj,6,GEN,Bihar [1947 - 1999],Prabhunath Singh,Janata Dal (United),981566,710396,72.4 %,104063,14.6%,AC View
325,Maharajganj,39,GEN,Uttar Pradesh [1947 - 1999],Akhilesh Singh,Samajwadi Party,1129627,685963,60.7 %,10644,1.6%,AC View
326,Mahasamund,18,GEN,Madhya Pradesh [1947 - 1999],Shyama Charan Shukla,Indian National Congress,1071547,692070,64.6 %,15435,2.2%,AC View
327,Mahendragarh,7,GEN,Haryana,Dr. Sudha Yadav,Bharatiya Janta Party,1236918,752654,60.9 %,139140,18.5%,AC View
328,Mainpuri,69,GEN,Uttar Pradesh [1947 - 1999],Balram Singh Yadav,Samajwadi Party,1109097,580084,52.3 %,28026,4.8%,AC View
329,Malda,7,GEN,West Bengal,Abul Barkat Ataul Ghani Khan Choudhury,Indian National Congress,1047279,819770,78.3 %,24553,3.0%,AC View
330,Malegaon,13,GEN,Maharashtra,Mahale Haribahu Shankar,Janata Dal (Secular),1083181,698630,64.5 %,4392,0.6%,AC View
331,Mandi,2,GEN,Himachal Pradesh,Maheshwar Singh,Bharatiya Janta Party,968826,528637,54.6 %,131025,24.8%,AC View
332,Mandla,24,ST,Madhya Pradesh [1947 - 1999],Faggan Singh Kulaste,Bharatiya Janta Party,1001537,494306,49.4 %,6572,1.3%,AC View
333,Mandsaur,40,GEN,Madhya Pradesh [1947 - 1999],Dr. Lakshaminarayan Pandey,Bharatiya Janta Party,1243364,754129,60.7 %,55485,7.4%,AC View
334,Mandvi,25,GEN,Gujarat,Patel Mansinhbhai Kalyanji,Bharatiya Janta Party,1063704,616960,58.0 %,56831,9.2%,AC View
335,Mandya,14,GEN,Karnataka,Ambareesh @ Amaranatha .M.H,Indian National Congress,1099732,832028,75.7 %,152180,18.3%,AC View
336,Mangaldoi,8,GEN,Assam,Madhab Rajbangshi,Indian National Congress,1180131,858529,72.8 %,16434,1.9%,AC View
337,Mangalore,17,GEN,Karnataka,V.Dhananjaya Kumar,Bharatiya Janta Party,1002419,733255,73.2 %,8469,1.2%,AC View
338,Manjeri,5,GEN,Kerala,E. Ahamed,Muslim League Kerala State Committee,1217888,816573,67.1 %,123411,15.1%,AC View
339,Mathura,74,GEN,Uttar Pradesh [1947 - 1999],Ch. Tejvir Singh,Bharatiya Janta Party,1176548,540511,45.9 %,41727,7.7%,AC View
340,Mathurapur,16,GEN,West Bengal,Radhika Ranjan Pramanik,Communist Party Of India (MARXIST),1076730,828886,77.0 %,51725,6.2%,AC View
341,Mavelikara,16,SC,Kerala,Ramesh Chennithala,Indian National Congress,936952,667157,71.2 %,33443,5.0%,AC View
342,Mayiladuturai,29,SC,Tamil Nadu,Manishankar Aiyar,Indian National Congress,1030626,655586,63.6 %,40131,6.1%,AC View
343,Mayurbhanj,1,GEN,Orissa,Salkhan Murmu,Bharatiya Janta Party,964354,577766,59.9 %,148082,25.6%,AC View
344,Medak,33,GEN,Andhra Pradesh,A. Narendra,Bharatiya Janta Party,1219960,868547,71.2 %,22083,2.5%,AC View
345,Meerut,80,GEN,Uttar Pradesh [1947 - 1999],Avtar Singh Bhadana,Indian National Congress,1269454,756275,59.6 %,24836,3.3%,AC View
346,Mehsana,12,GEN,Gujarat,Patel Atmaram Maganbhai,Indian National Congress,1104439,636573,57.6 %,55735,8.8%,AC View
347,Midnapore,32,GEN,West Bengal,Indrajit Gupta,Communist Party Of India,1099512,862567,78.5 %,28773,3.3%,AC View
348,Miryalguda,42,GEN,Andhra Pradesh,Jaipal Reddy Sudini,Indian National Congress,1206229,931826,77.3 %,52077,5.6%,AC View
349,Mirzapur,54,GEN,Uttar Pradesh [1947 - 1999],Phoolan Devi,Samajwadi Party,1356017,782304,57.7 %,84476,10.8%,AC View
350,Misrikh,18,SC,Uttar Pradesh [1947 - 1999],Sushila Saroj,Samajwadi Party,1089677,619588,56.9 %,4207,0.7%,AC View
351,Mizoram,1,ST,Mizoram,Vanlalzawma,Independent,449406,293513,65.3 %,68659,23.4%,AC View
352,Mohanlalganj,21,SC,Uttar Pradesh [1947 - 1999],Reena Chowdhary,Samajwadi Party,1149478,618329,53.8 %,35358,5.7%,AC View
353,Monghyr,32,GEN,Bihar [1947 - 1999],Brahma Nand Mandal,Janata Dal (United),1147663,712195,62.1 %,21815,3.1%,AC View
354,Moradabad,7,GEN,Uttar Pradesh [1947 - 1999],Chandra Vijay Singh Alias Baby Raja,Akhil Bhartiya Lok Tantrik Congress,1156172,647988,56.1 %,96450,14.9%,AC View
355,Morena,1,SC,Madhya Pradesh [1947 - 1999],Ashok Chhaviram Argal,Bharatiya Janta Party,1258860,500327,39.7 %,62226,12.4%,AC View
356,Mormugao,2,GEN,Goa,Angle Ramakant Soiru,Bharatiya Janta Party,495208,218851,44.2 %,14457,6.6%,AC View
357,Motihari,3,GEN,Bihar [1947 - 1999],Radha Mohan Singh,Bharatiya Janta Party,1112639,685679,61.6 %,21670,3.2%,AC View
358,Mukundapuram,10,GEN,Kerala,K. Karunakaran,Indian National Congress,1083445,792212,73.1 %,52463,6.6%,AC View
359,Mumbai North,9,SC,Maharashtra,Ram Naik,Bharatiya Janta Party,2222240,954260,42.9 %,154136,16.2%,AC View
360,Mumbai North Central,6,GEN,Maharashtra,Manohar Gajanan Joshi,Shiv Sena,1148316,528342,46.0 %,168995,32.0%,AC View
361,Mumbai North East,7,SC,Maharashtra,Kirit Somaiya,Bharatiya Janta Party,1990340,929549,46.7 %,7276,0.8%,AC View
362,Mumbai North West,8,GEN,Maharashtra,Sunil Dutt,Indian National Congress,1553015,713586,46.0 %,85539,12.0%,AC View
363,Mumbai South,4,GEN,Maharashtra,Jayawanti Mehta,Bharatiya Janta Party,719281,303022,42.1 %,10243,3.4%,AC View
364,Mumbai South Central,5,GEN,Maharashtra,Mohan Vishnu Rawale,Shiv Sena,812576,369130,45.4 %,79036,21.4%,AC View
365,Murshidabad,9,GEN,West Bengal,Moinul Hassan,Communist Party Of India (MARXIST),1172830,836120,71.3 %,123360,14.8%,AC View
366,Muvattupuzha,12,GEN,Kerala,Adv. P.C. Thomas,Kerala Congress(M),1020153,692278,67.9 %,76939,11.1%,AC View
367,Muzaffarnagar,82,GEN,Uttar Pradesh [1947 - 1999],Saiduzzaman,Indian National Congress,1217407,691547,56.8 %,25751,3.7%,AC View
368,Muzaffarpur,10,GEN,Bihar [1947 - 1999],Captain Jai Na. Pd. Nishad,Janata Dal (United),1067836,730490,68.4 %,60720,8.3%,AC View
369,Mysore,16,GEN,Karnataka,Srikantadatta Narasimharaja Wadiyar,Indian National Congress,1302736,899492,69.1 %,13431,1.5%,AC View
370,Nabadwip,12,GEN,West Bengal,Ananda Mohan Biswas,All India Trinamool Congress,1320358,1014379,76.8 %,39135,3.9%,AC View
371,Nagaland,1,ST,Nagaland,K. Asungba Sangtam,Indian National Congress,955914,728843,76.3 %,353598,48.5%,AC View
372,Nagapattinam,30,GEN,Tamil Nadu,"Vijayan, A.K.S.",Dravida Munetra Kazhagam,1054666,696288,66.0 %,22466,3.2%,AC View
373,Nagarkurnool,28,SC,Andhra Pradesh,Dr.Manda Jagannath,Telugu Desam,1212569,843025,69.5 %,66900,7.9%,AC View
374,Nagaur,25,GEN,Rajasthan,Ram Raghunath Choudhary,Indian National Congress,1233531,711267,57.7 %,48469,6.8%,AC View
375,Nagercoil,39,GEN,Tamil Nadu,"Radhakrishnan,p.",Bharatiya Janta Party,1057712,621860,58.8 %,145643,23.4%,AC View
376,Nagpur,23,GEN,Maharashtra,Vilas Muttemwar,Indian National Congress,1551380,829946,53.5 %,72695,8.8%,AC View
