#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0
#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
222,Jaipur,334,GEN,Rajasthan,G. Devi,Swatantra,538899,315765,58.6 %,94251,29.8%
223,Jajpur,300,SC,Orissa,B. Behera,Praja Socialist Party,537526,295054,54.9 %,64037,21.7%
224,Jalaun,414,SC,Uttar Pradesh [1947 - 1999],C.R. Sewak,Indian National Congress,500897,330503,66.0 %,24113,7.3%
225,Jalgaon,238,GEN,Maharashtra,S. S. Samadali,Indian National Congress,507204,313623,61.8 %,66061,21.1%
226,Jalna,253,GEN,Maharashtra,V. N. Jadhav,Indian National Congress,488622,243219,49.8 %,43550,17.9%
227,Jalore,349,GEN,Rajasthan,D. Patodia,Swatantra,536296,251526,46.9 %,9376,3.7%
228,Jalpaiguri,439,ST,West Bengal,B. N. Katham,Indian National Congress,447882,290975,65.0 %,16888,5.8%
229,Jammu,147,GEN,Jammu & Kashmir,I.J. Malhotra,Indian National Congress,440581,297653,67.6 %,58168,19.5%
230,Jamnagar,112,GEN,Gujarat,N. Dandekar,Swatantra,414134,231351,55.9 %,13033,5.6%
231,Jamshedpur,104,GEN,Bihar [1947 - 1999],S. C. Prasad,Indian National Congress,442633,209553,47.3 %,40702,19.4%
232,Jamui,85,SC,Bihar [1947 - 1999],N. T. Das,Indian National Congress,576715,329385,57.1 %,14852,4.5%
233,Jangipur,444,GEN,West Bengal,H. L. Haque,Indian National Congress,519789,298529,57.4 %,51689,17.3%
234,Janjgir,159,SC,Madhya Pradesh [1947 - 1999],Minimata,Indian National Congress,500141,229422,45.9 %,81240,35.4%
235,Jaunpur,400,GEN,Uttar Pradesh [1947 - 1999],R. Deo,Indian National Congress,515153,281624,54.7 %,83075,29.5%
236,Jehanabad,96,GEN,Bihar [1947 - 1999],C. S. Singh,Communist Party Of India,560459,287539,51.3 %,51412,17.9%
237,Jhabua,183,ST,Madhya Pradesh [1947 - 1999],Sursingh,Indian National Congress,461943,232551,50.3 %,28385,12.2%
238,Jhajjar,137,GEN,Haryana,S. Singh,Indian National Congress,501785,367852,73.3 %,142091,38.6%
239,Jhalawar,343,GEN,Rajasthan,B. Singh,Bhartiya Jan Sangh,473659,237173,50.1 %,81233,34.3%
240,Jhansi,413,GEN,Uttar Pradesh [1947 - 1999],S. Nayar,Indian National Congress,500450,272525,54.5 %,37378,13.7%
241,Jhargram,468,ST,West Bengal,A. K. Kisku.,Bangla Congress,497007,290845,58.5 %,45766,15.7%
242,Jhunjhunu,332,GEN,Rajasthan,R. K. Birla,Swatantra,549787,368501,67.0 %,46573,12.6%
243,Jodhpur,351,GEN,Rajasthan,N. K. Sanghi,Indian National Congress,545070,330871,60.7 %,20348,6.1%
244,Jorhat,53,GEN,Assam,R. Barua,Indian National Congress,385806,209122,54.2 %,44778,21.4%
245,Joynagar,451,SC,West Bengal,C. Roy,Independent,525872,373749,71.1 %,29071,7.8%
246,Jullundur,323,GEN,Punjab,S. Singh,Indian National Congress,460109,331910,72.1 %,31480,9.5%
247,Junagadh,113,GEN,Gujarat,V.J. Shah,Swatantra,403474,233907,58.0 %,10886,4.7%
248,Kaira,125,GEN,Gujarat,P.N. Solanki,Swatantra,443349,325534,73.4 %,27740,8.5%
249,Kairana,435,GEN,Uttar Pradesh [1947 - 1999],G.A. Khan,Samyukta Socialist Party,513381,313720,61.1 %,1665,0.5%
250,Kaisarganj,382,GEN,Uttar Pradesh [1947 - 1999],S. Nayar,Bhartiya Jan Sangh,492785,237166,48.1 %,70416,29.7%
251,Kaithal,135,GEN,Haryana,G.L. Nanda,Indian National Congress,484420,372708,76.9 %,27010,7.2%
252,Kakinada,7,GEN,Andhra Pradesh,T.R. Mosaliganti,Indian National Congress,532127,393678,74.0 %,30000,7.6%
253,Kalahandi,309,GEN,Orissa,P. K. Deo,Swatantra,415610,174994,42.1 %,58679,33.5%
254,Kaliabor,52,GEN,Assam,B. Barua,Indian National Congress,394501,227659,57.7 %,47889,21.0%
255,Kallakurichi,196,GEN,Madras,M. Deiveekan,Dravida Munetra Kazhagam,498804,377238,75.6 %,26523,7.0%
256,Kanakapura,280,GEN,Mysore,M. V. Rajasekharan,Indian National Congress,444344,281621,63.4 %,48196,17.1%
257,Kanara,289,GEN,Mysore,D. D. Dattatraya,Independent,463555,297779,64.2 %,27797,9.3%
258,Kangra,512,GEN,Himachal Pradesh,H. Raj,Indian National Congress,261580,141834,54.2 %,5402,3.8%
259,Kanker,163,ST,Madhya Pradesh [1947 - 1999],T.L.P. Shah,Bhartiya Jan Sangh,473390,257823,54.5 %,3523,1.4%
260,Kannauj,419,GEN,Uttar Pradesh [1947 - 1999],R.M. Lohia,Samyukta Socialist Party,537550,294581,54.8 %,472,0.2%
261,Kanpur,417,GEN,Uttar Pradesh [1947 - 1999],S.M. Banerji,Independent,464670,251114,54.0 %,6517,2.6%
262,Karad,265,GEN,Maharashtra,D. R. Chavan,Indian National Congress,463878,331331,71.4 %,171422,51.7%
263,Karimganj,43,SC,Assam,N. R. Laskar,Indian National Congress,472190,303128,64.2 %,76923,25.4%
264,Karimnagar,37,GEN,Andhra Pradesh,J. R. Rao,Indian National Congress,513265,287041,55.9 %,2176,0.8%
265,Karnal,134,GEN,Haryana,M. Ram,Indian National Congress,463594,350081,75.5 %,203,0.1%
266,Karol Bagh,506,SC,Delhi,R. S. Vidhyarthi,Bhartiya Jan Sangh,233745,160433,68.6 %,4494,2.8%
267,Karur,209,GEN,Madras,M. Gounder,Swatantra,554715,408382,73.6 %,23718,5.8%
268,Kasargod,478,GEN,Kerala,A. K. Gopalan,Communist Party Of India (MARXIST),467371,351097,75.1 %,118510,33.8%
269,Kasganj,422,GEN,Uttar Pradesh [1947 - 1999],M.A. Khan,Indian National Congress,522973,306527,58.6 %,6099,2.0%
270,Katihar,78,GEN,Bihar [1947 - 1999],S. Keshari,Indian National Congress,498435,274547,55.1 %,973,0.4%
271,Katwa,475,GEN,West Bengal,D. Sen,Indian National Congress,485894,334989,68.9 %,10955,3.3%
272,Kavali,18,GEN,Andhra Pradesh,R.D. Reddy,Indian National Congress,567859,402038,70.8 %,48154,12.0%
273,Kendrapara,301,GEN,Orissa,S. Dwivedy,Praja Socialist Party,561875,344263,61.3 %,111397,32.4%
274,Keonjhar,314,ST,Orissa,G. Naik,Swatantra,426034,126766,29.8 %,40824,32.2%
275,Kessaria,63,GEN,Bihar [1947 - 1999],K. M. Madhukar,Communist Party Of India,523959,246560,47.1 %,3661,1.5%
276,Khagaria,86,GEN,Bihar [1947 - 1999],K. Singh,Samyukta Socialist Party,566989,358219,63.2 %,96245,26.9%
277,Khalilabad,388,GEN,Uttar Pradesh [1947 - 1999],R. Singh,Bhartiya Jan Sangh,506466,291241,57.5 %,21645,7.4%
278,Khamgaon,240,SC,Maharashtra,A. S. Kasture,Indian National Congress,496280,350435,70.6 %,76295,21.8%
279,Khammam,39,GEN,Andhra Pradesh,T. Lakshmikantamma,Indian National Congress,497926,392684,78.9 %,111328,28.4%
280,Khandwa,181,GEN,Madhya Pradesh [1947 - 1999],G. Dikshit,Indian National Congress,496852,309249,62.2 %,1698,0.5%
281,Khargone,182,GEN,Madhya Pradesh [1947 - 1999],S.C.K. Bajpai,Indian National Congress,477890,255641,53.5 %,9164,3.6%
282,Khed,261,GEN,Maharashtra,R. K. Khadilkar,Indian National Congress,475268,283057,59.6 %,76327,27.0%
283,Kheri,366,GEN,Uttar Pradesh [1947 - 1999],B. Verma,Indian National Congress,509557,239999,47.1 %,1347,0.6%
284,Khunti,106,ST,Bihar [1947 - 1999],J. Singh,Indian National Congress,463401,193385,41.7 %,5277,2.7%
285,Khurja,429,SC,Uttar Pradesh [1947 - 1999],R. Charan,Praja Socialist Party,505893,281142,55.6 %,1017,0.4%
286,Kishanganj,76,GEN,Bihar [1947 - 1999],L. L. Kapoor,Praja Socialist Party,464508,208354,44.9 %,34283,16.5%
287,Kokrajhar,46,ST,Assam,R. Brahma,Indian National Congress,415618,RU,,RU,
288,Kolaba,226,GEN,Maharashtra,D. K. Kunte,Peasants & Workers Party,480867,328864,68.4 %,34808,10.6%
289,Kolar,277,SC,Mysore,G. Y. Krishnan,Indian National Congress,461527,291752,63.2 %,63889,21.9%
290,Kolhapur,268,GEN,Maharashtra,S. D. Mane,Indian National Congress,456905,323990,70.9 %,32710,10.1%
291,Kopargaon,260,GEN,Maharashtra,A. P. Shince,Indian National Congress,475212,313343,65.9 %,14962,4.8%
292,Koppal,272,GEN,Mysore,A. Sanganna,Indian National Congress,519702,327016,62.9 %,24602,7.5%
293,Koraput,307,ST,Orissa,U. Ramachandra,Indian National Congress,481761,127105,26.4 %,2990,2.4%
294,Kota,342,SC,Rajasthan,Onkarlal,Bhartiya Jan Sangh,513800,285321,55.5 %,25883,9.1%
295,Kottayam,490,GEN,Kerala,K. M. Abraham,Communist Party Of India (MARXIST),426210,344933,80.9 %,48581,14.1%
296,Kozhikode,481,GEN,Kerala,E. S. Sait,Muslim Leage,495721,387366,78.1 %,81873,21.1%
297,Krishnagar,447,GEN,West Bengal,H. Chattopadhyay,Independent,464751,343935,74.0 %,32797,9.5%
298,Krishnagiri,197,GEN,Madras,M. Kamalanathan,Dravida Munetra Kazhagam,503298,336999,67.0 %,18294,5.4%
299,Kumbakonam,213,GEN,Madras,S. Era,Dravida Munetra Kazhagam,534001,440213,82.4 %,20039,4.6%
300,Kurnool,26,GEN,Andhra Pradesh,Y. G. Linganagowda,Swatantra,510823,340816,66.7 %,10783,3.2%
301,Kutch,109,GEN,Gujarat,T.M. Sheth,Indian National Congress,370407,219384,59.2 %,6675,3.0%
302,Laccadive Minicoy And Amindivi,515,ST,"Laccadive, Minicoy And Amindivi Islands",M.S. Padanatha,Independent,14505,11897,82.0 %,386,3.2%
303,Ladakh,145,GEN,Jammu & Kashmir,K. Bakula,Indian National Congress,51381,RU,,RU,
304,Lakhimpur,54,GEN,Assam,B. Sastri.,Indian National Congress,397099,213392,53.7 %,53686,25.2%
305,Lalganj,398,SC,Uttar Pradesh [1947 - 1999],R. Dhan,Indian National Congress,507852,250502,49.3 %,36858,14.7%
306,Latur,251,SC,Maharashtra,T. D. Kamble,Indian National Congress,536980,243197,45.3 %,38674,15.9%
307,Lohardaga,107,ST,Bihar [1947 - 1999],K. Doraon,Indian National Congress,463997,168102,36.2 %,33486,19.9%
308,Lucknow,371,GEN,Uttar Pradesh [1947 - 1999],A. N. Mulla,Independent,458070,265136,57.9 %,20972,7.9%
309,Ludhiana,325,GEN,Punjab,D. Singh,Indian National Congress,519908,372870,71.7 %,13074,3.5%
310,Machhlishahr,399,GEN,Uttar Pradesh [1947 - 1999],Mageshwar,Indian National Congress,503271,253671,50.4 %,30875,12.2%
311,Machilipatnam,14,GEN,Andhra Pradesh,Y.A. Arasad,Indian National Congress,505282,396723,78.5 %,77592,19.6%
312,Madhipura,74,GEN,Bihar [1947 - 1999],B. P. Mandal,Samyukta Socialist Party,535701,293767,54.8 %,37426,12.7%
313,Madhubani,69,GEN,Bihar [1947 - 1999],S. C. Jha,Samyukta Socialist Party,535332,321457,60.1 %,16407,5.1%
314,Madras North,185,GEN,Madras,K. Manoharan,Dravida Munetra Kazhagam,550302,411868,74.8 %,61334,14.9%
315,Madras South,186,GEN,Madras,C. N. Annadurai,Dravida Munetra Kazhagam,575015,423235,73.6 %,81978,19.4%
316,Madurai,208,GEN,Madras,P. Ramamurti,Communist Party Of India (MARXIST),572490,446802,78.1 %,105468,23.6%
317,Maharajganj,62,GEN,Bihar [1947 - 1999],M. P. Singh,Indian National Congress,566098,280751,49.6 %,17244,6.1%
318,Maharajganj,391,GEN,Uttar Pradesh [1947 - 1999],M. Prasad,Indian National Congress,463161,251456,54.3 %,46727,18.6%
319,Mahasamund,161,GEN,Madhya Pradesh [1947 - 1999],V. Shukla,Indian National Congress,512663,205419,40.1 %,66086,32.2%
320,Mahasu,509,GEN,Himachal Pradesh,V. Singh,Indian National Congress,258163,133460,51.7 %,59510,44.6%
321,Mahbubnagar,29,GEN,Andhra Pradesh,J. R. Rao,Indian National Congress,528864,311485,58.9 %,89817,28.8%
322,Mahendragarh,139,GEN,Haryana,G. Singh,Indian National Congress,491115,332233,67.7 %,46738,14.1%
323,Mainpuri,421,GEN,Uttar Pradesh [1947 - 1999],M. Singh,Indian National Congress,498845,296665,59.5 %,30088,10.1%
324,Malda,443,GEN,West Bengal,U. Roy,Indian National Congress,453070,308145,68.0 %,27749,9.0%
325,Malegaon,235,ST,Maharashtra,Z. M. Kahandole,Indian National Congress,453548,283893,62.6 %,9202,3.2%
326,Mandi,514,GEN,Himachal Pradesh,L. Sen,Indian National Congress,284025,127105,44.8 %,34265,27.0%
327,Mandla,168,ST,Madhya Pradesh [1947 - 1999],M. Uikey,Indian National Congress,479138,167815,35.0 %,33821,20.2%
328,Mandsaur,184,GEN,Madhya Pradesh [1947 - 1999],K.S. Singh,Bhartiya Jan Sangh,482032,294871,61.2 %,28791,9.8%
329,Mandvi,131,ST,Gujarat,C.M. Kedaria,Indian National Congress,428977,267704,62.4 %,61737,23.1%
330,Mandya,281,GEN,Mysore,M. K. Shivananjappa,Indian National Congress,503529,355772,70.7 %,46484,13.1%
331,Mangaldai,49,GEN,Assam,N. Barua,Praja Socialist Party,440526,226863,51.5 %,37000,16.3%
332,Mangalore,284,GEN,Mysore,C. M. Poonacha,Indian National Congress,448646,317224,70.7 %,28522,9.0%
333,Manjeri,482,GEN,Kerala,M. M. Ismail,Muslim Leage,453637,302322,66.6 %,107494,35.6%
334,Marmagoa,508,GEN,"Goa, Daman And Diu",S.E.D Jesus,United Goans - Seqveria Group,216538,141159,65.2 %,2552,1.8%
335,Mathura,426,GEN,Uttar Pradesh [1947 - 1999],G.S.S.A.B. Singh,Independent,512124,318742,62.2 %,84431,26.5%
336,Mathurapur,452,SC,West Bengal,K. Haldar,Communist Party Of India,546374,420969,77.1 %,13115,3.1%
337,Mavelikara,492,GEN,Kerala,G. P. Mangalathumadom,Samyukta Socialist Party,459888,361923,78.7 %,18694,5.2%
338,Mayuram,214,SC,Madras,K. Subravelu,Dravida Munetra Kazhagam,466790,383119,82.1 %,52044,13.6%
339,Mayurbhanj,297,ST,Orissa,M. Majhi,Swatantra,448482,159380,35.5 %,37026,23.2%
340,Medak,33,GEN,Andhra Pradesh,S. L. Bai .,Indian National Congress,498348,296187,59.4 %,84665,28.6%
341,Meerut,432,GEN,Uttar Pradesh [1947 - 1999],M.S. Bharti,Samyukta Socialist Party,488752,315363,64.5 %,38896,12.3%
342,Mehsana,119,GEN,Gujarat,R.J. Amin,Swatantra,493885,356842,72.3 %,36946,10.4%
343,Mettur,199,GEN,Madras,S. Kandappan,Dravida Munetra Kazhagam,544859,358490,65.8 %,56845,15.9%
344,Midnapore,467,GEN,West Bengal,S. N. Maity,Bangla Congress,476288,339374,71.3 %,43283,12.8%
345,Miryalguda,41,GEN,Andhra Pradesh,"G. S, Reddy",Indian National Congress,503494,370735,73.6 %,42044,11.3%
346,Mirzapur,406,GEN,Uttar Pradesh [1947 - 1999],V. Narain,Bhartiya Jan Sangh,507113,306758,60.5 %,17271,5.6%
347,Mishrikh,369,SC,Uttar Pradesh [1947 - 1999],S. Prasad,Indian National Congress,521651,244097,46.8 %,4934,2.0%
348,Mohanlalganj,372,SC,Uttar Pradesh [1947 - 1999],G. Devi,Indian National Congress,467551,226659,48.5 %,35804,15.8%
349,Monghyr,84,GEN,Bihar [1947 - 1999],L. M. Ramchandra,Samyukta Socialist Party,521986,320157,61.3 %,96684,30.2%
350,Moradabad,359,GEN,Uttar Pradesh [1947 - 1999],O. P. T. Pursharthi,Bhartiya Jan Sangh,467589,277516,59.4 %,27305,9.8%
351,Morena,148,SC,Madhya Pradesh [1947 - 1999],Atamdas,Independent,514135,272748,53.1 %,80309,29.4%
352,Motihari,57,GEN,Bihar [1947 - 1999],B. Misra,Indian National Congress,463766,231462,49.9 %,35184,15.2%
353,Mukundapuram,486,GEN,Kerala,P. G. Menon,Indian National Congress,451269,368349,81.6 %,5338,1.4%
354,Murshidabad,445,GEN,West Bengal,S. Badrudduja,Independent,480134,306654,63.9 %,14966,4.9%
355,Muvattu Puzha,488,GEN,Kerala,P. P. Esthose,Communist Party Of India (MARXIST),423640,327971,77.4 %,42154,12.9%
356,Muzaffarnagar,434,GEN,Uttar Pradesh [1947 - 1999],L.A. Khan,Communist Party Of India,490868,319006,65.0 %,11602,3.6%
357,Muzaffarpur,65,GEN,Bihar [1947 - 1999],D. N. Singh,Indian National Congress,543563,328990,60.5 %,37229,11.3%
358,Mysore,283,GEN,Mysore,H. D. Tulasidas,Indian National Congress,466278,286026,61.3 %,15289,5.3%
359,Nabadwip,448,SC,West Bengal,P. R. Thakur.,Bangla Congress,503900,364599,72.4 %,79096,21.7%
360,Nadhugiri,276,GEN,Mysore,Malimariyappa,Indian National Congress,505434,303235,60.0 %,91167,30.1%
361,Nagaland,296,GEN,Nagaland,Chubatoshi,Nagaland Nationalist Organisation,214951,RU,,RU,
362,Nagapattinam,215,GEN,Madras,V. Sambasivam,Indian National Congress,477019,403971,84.7 %,11219,2.8%
363,Nagarkurnool,28,SC,Andhra Pradesh,J. B. M. Rao,Indian National Congress,488772,283912,58.1 %,39659,14.0%
364,Nagaur,352,GEN,Rajasthan,N. Kumar,Swatantra,573723,364764,63.6 %,23796,6.5%
365,Nagercoil,223,GEN,Madras,A. Nesamony,Indian National Congress,474210,345406,72.8 %,52014,15.1%
366,Nagpur,244,GEN,Maharashtra,N. R. Deoghare,Indian National Congress,566904,371919,65.6 %,31969,8.6%
367,Nainital,356,GEN,Uttar Pradesh [1947 - 1999],K. C. Pant,Indian National Congress,438131,244276,55.8 %,33859,13.9%
368,Nalanda,88,GEN,Bihar [1947 - 1999],S. Prasad,Indian National Congress,594698,329789,55.5 %,78093,23.7%
369,Nalgonda,40,GEN,Andhra Pradesh,M. Y. Salim,Indian National Congress,506698,324498,64.0 %,92278,28.4%
370,Nandeo,250,GEN,Maharashtra,V. B. Tarodekar,Indian National Congress,555017,305704,55.1 %,48005,15.7%
371,Nandurbar,236,ST,Maharashtra,T. H. Gavit,Indian National Congress,477176,277257,58.1 %,39467,14.2%
372,Nandyal,27,GEN,Andhra Pradesh,P. V.Subbaiah,Indian National Congress,536794,409857,76.4 %,168825,41.2%
373,Narasapur,10,GEN,Andhra Pradesh,D. Balaramarajau,Indian National Congress,544802,427350,78.4 %,36553,8.6%
374,Narasaraopet,17,GEN,Andhra Pradesh,M. Sudarsanam,Indian National Congress,584076,417272,71.4 %,64431,15.4%
375,Nasik,234,GEN,Maharashtra,B. R. Kavade,Indian National Congress,436875,287435,65.8 %,36307,12.6%
376,Nawada,97,GEN,Bihar [1947 - 1999],M. S. P. N. Puri,Independent,572864,314878,55.0 %,20220,6.4%
377,Nellore,19,SC,Andhra Pradesh,B. Anjanappa,Indian National Congress,562683,414702,73.7 %,16983,4.1%
378,New Delhi,500,GEN,Delhi,M.L Sondhi,Bhartiya Jan Sangh,208755,152918,73.3 %,24860,16.3%
379,Nilgiris,201,GEN,Madras,M. K. N. Gowder,Swatantra,502089,363063,72.3 %,19702,5.4%
380,Nizamabad,34,GEN,Andhra Pradesh,M.N. Reddy,Independent,507608,292527,57.6 %,70245,24.0%
381,Nowgong,51,GEN,Assam,L. Keteki,Indian National Congress,388255,251522,64.8 %,46666,18.6%
382,Nowrangpur,308,ST,Orissa,K. Pradhani,Indian National Congress,477248,123545,25.9 %,1887,1.5%
383,Ongole,15,GEN,Andhra Pradesh,K. Jaggaiah,Indian National Congress,538338,407047,75.6 %,80458,19.8%
384,Osmanabad,256,GEN,Maharashtra,T. A. Patil,Indian National Congress,511526,342503,67.0 %,25191,7.4%
385,Outer Delhi,502,GEN,Delhi,B. Parkash,Indian National Congress,258107,176794,68.5 %,9223,5.2%
386,Outer Manipur,517,ST,Manipur,P. Haokip,Independent,219554,120008,54.7 %,1541,1.3%
387,Padrauna,392,GEN,Uttar Pradesh [1947 - 1999],K. N. Pandey,Indian National Congress,505919,263411,52.1 %,13415,5.1%
388,Palamau,108,SC,Bihar [1947 - 1999],K. Kumari,Indian National Congress,504969,225069,44.6 %,41764,18.6%
389,Palghat,484,GEN,Kerala,E. K. Nayanar,Communist Party Of India (MARXIST),465825,285472,61.3 %,67358,23.6%
390,Pali,348,GEN,Rajasthan,S. K. Tapuriah,Swatantra,541982,311909,57.6 %,26071,8.4%
391,Pandharpur,258,SC,Maharashtra,T. H. Sonavane,Indian National Congress,488018,333717,68.4 %,1079,0.3%
392,Panjim,507,GEN,"Goa, Daman And Diu",S. J. Jaganath,Independent,201856,144891,71.8 %,10954,7.6%
393,Parbhani,252,GEN,Maharashtra,S. S. Deshmukh,Indian National Congress,516182,258437,50.1 %,26469,10.2%
394,Parvathipuram,2,ST,Andhra Pradesh,V.N. Rao,Swatantra,500375,307954,61.5 %,35580,11.6%
395,Patan,120,SC,Gujarat,D.R. Parmar,Swatantra,485424,318131,65.5 %,15001,4.7%
396,Patiala,327,GEN,Punjab,M. Kaur,Indian National Congress,460603,332533,72.2 %,110210,33.1%
397,Patna,90,GEN,Bihar [1947 - 1999],R. A. Shastri,Communist Party Of India,526885,327555,62.2 %,82141,25.1%
398,Peddapalli,36,SC,Andhra Pradesh,M.R. Krishna,Indian National Congress,497627,312320,62.8 %,72195,23.1%
399,Peermade,489,GEN,Kerala,P. K. V. Nair,Communist Party Of India,449574,321043,71.4 %,42466,13.2%
400,Perambalur,211,SC,Madras,A. Durairasu,Dravida Munetra Kazhagam,537811,439321,81.7 %,33828,7.7%
401,Periyakulam,206,GEN,Madras,H. Ajmalkhan,Swatantra,540711,417928,77.3 %,27621,6.6%
402,Phillaur,324,SC,Punjab,S. Ram,Indian National Congress,481616,349046,72.5 %,31286,9.0%
403,Phulbani,310,SC,Orissa,A. Dipa,Swatantra,468645,147798,31.5 %,21611,14.6%
404,Phulpur,407,GEN,Uttar Pradesh [1947 - 1999],V. L. Pandit,Indian National Congress,483204,237650,49.2 %,36183,15.2%
405,Pilibhit,364,GEN,Uttar Pradesh [1947 - 1999],M. Swaroop,Praja Socialist Party,499546,266993,53.5 %,4104,1.5%
406,Pollachi,203,GEN,Madras,Narayanan,Dravida Munetra Kazhagam,549500,421464,76.7 %,81754,19.4%
407,Pondicherry,518,GEN,Pondicherry,N. Sethuraman,Indian National Congress,216689,162193,74.9 %,10425,6.4%
408,Ponnani,483,SC,Kerala,C. K. Chakrapani,Communist Party Of India (MARXIST),441611,278696,63.1 %,62780,22.5%
409,Poona,262,GEN,Maharashtra,S. M. Joshi,Samyukta Socialist Party,437596,304742,69.6 %,13538,4.4%
410,Pratapgarh,375,GEN,Uttar Pradesh [1947 - 1999],R. D. Singh,Indian National Congress,484834,227396,46.9 %,21692,9.5%
411,Pudukkottai,212,GEN,Madras,R. Umanath,Communist Party Of India (MARXIST),537531,427795,79.6 %,9382,2.2%
412,Pupari,67,GEN,Bihar [1947 - 1999],S. P. Sahu,Indian National Congress,569060,345346,60.7 %,78978,22.9%
413,Puri,303,GEN,Orissa,R. Ray,Samyukta Socialist Party,520581,256875,49.3 %,59258,23.1%
414,Purnea,77,GEN,Bihar [1947 - 1999],P. G. S. Gupta,Indian National Congress,489476,250487,51.2 %,4620,1.8%
415,Purulia,469,GEN,West Bengal,B. Mahato,Independent,514651,280923,54.6 %,31405,11.2%
416,Quilon,494,GEN,Kerala,N.S. Nair,Independent,459508,371498,80.9 %,79858,21.5%
417,Rae Bareli,374,GEN,Uttar Pradesh [1947 - 1999],I. N. Gandhi,Indian National Congress,479640,272736,56.9 %,91703,33.6%
418,Raichur,271,GEN,Mysore,R. V. Naik,Swatantra,495088,235984,47.7 %,11439,4.8%
419,Raiganj,441,GEN,West Bengal,C. K. Bhattacharyya,Indian National Congress,487220,276115,56.7 %,990,0.4%
420,Raigarh,158,ST,Madhya Pradesh [1947 - 1999],R. Gandha,Indian National Congress,504247,251730,49.9 %,29146,11.6%
421,Raipur,162,GEN,Madhya Pradesh [1947 - 1999],L. Gupta,Indian National Congress,538719,295774,54.9 %,24415,8.3%
422,Rajahmundry,8,GEN,Andhra Pradesh,D.S. Raju,Indian National Congress,530740,410324,77.3 %,134913,32.9%
423,Rajampet,22,GEN,Andhra Pradesh,P. Parthasarathy,Indian National Congress,518951,374210,72.1 %,66549,17.8%
424,Rajapur,224,GEN,Maharashtra,N. B. Pai,Praja Socialist Party,396063,235909,59.6 %,59084,25.0%
425,Rajkot,111,GEN,Gujarat,M.R. Masani,Swatantra,460286,288480,62.7 %,6476,2.2%
426,Rajmahal,79,ST,Bihar [1947 - 1999],I. Marandi,Indian National Congress,454582,156295,34.4 %,6405,4.1%
427,Rajnandgaon,166,GEN,Madhya Pradesh [1947 - 1999],P. Devi,Indian National Congress,512194,271482,53.0 %,86440,31.8%
428,Ramanathapuram,218,GEN,Madras,M. Sheriff,Independent,526959,395457,75.1 %,32025,8.1%
429,Rampur,360,GEN,Uttar Pradesh [1947 - 1999],N. S. Z. A. Khan,Swatantra,499114,335197,67.2 %,48899,14.6%
430,Ramsanehighat,380,SC,Uttar Pradesh [1947 - 1999],B. Kureel,Indian National Congress,490633,229552,46.8 %,13469,5.9%
431,Ramtek,243,GEN,Maharashtra,A. G. Sonar,Indian National Congress,508935,354511,69.7 %,105349,29.7%
432,Ranchi,103,GEN,Bihar [1947 - 1999],P. K. Ghosh,Indian National Congress,465018,181946,39.1 %,4167,2.3%
433,Ratnagiri,225,GEN,Maharashtra,S. Mukherjee,Indian National Congress,451201,275868,61.1 %,50439,18.3%
434,Rewa,154,GEN,Madhya Pradesh [1947 - 1999],S.N. Shukla,Indian National Congress,559625,339588,60.7 %,57839,17.0%
435,Robertsganj,405,SC,Uttar Pradesh [1947 - 1999],R. Swarup,Indian National Congress,500334,247604,49.5 %,17376,7.0%
436,Rohtak,136,GEN,Haryana,R. Singh,Indian National Congress,477706,362943,76.0 %,55596,15.3%
437,Rosera,72,SC,Bihar [1947 - 1999],K. Paswan,Samyukta Socialist Party,510872,292428,57.2 %,11388,3.9%
438,Rupar,326,SC,Punjab,B. Singh,Indian National Congress,475396,348741,73.4 %,4072,1.2%
439,Sabarkantha,122,GEN,Gujarat,C.C. Desai,Swatantra,415763,276327,66.5 %,44799,16.2%
440,Sagar,171,SC,Madhya Pradesh [1947 - 1999],Ramsingh,Bhartiya Jan Sangh,496617,260318,52.4 %,297,0.1%
441,Saharanpur,436,SC,Uttar Pradesh [1947 - 1999],S. Lal,Indian National Congress,506832,326163,64.4 %,37652,11.5%
442,Saharsa,73,GEN,Bihar [1947 - 1999],G. Thakur,Samyukta Socialist Party,535539,323072,60.3 %,4619,1.4%
443,Saidpur,401,SC,Uttar Pradesh [1947 - 1999],S. Nath,Indian National Congress,516279,270057,52.3 %,13437,5.0%
444,Salem,198,GEN,Madras,K. Rajaram,Dravida Munetra Kazhagam,520373,393435,75.6 %,63509,16.1%
445,Salempur,394,GEN,Uttar Pradesh [1947 - 1999],V. Pandey,Indian National Congress,515742,279698,54.2 %,24301,8.7%
446,Samastipur,70,GEN,Bihar [1947 - 1999],Y. P. Mandal,Indian National Congress,532604,324023,60.8 %,31672,9.8%
447,Sambalpur,312,GEN,Orissa,S. Supakar,Indian National Congress,533170,205646,38.6 %,15762,7.7%
448,Sangli,266,GEN,Maharashtra,S. D. Patil,Indian National Congress,506419,359507,71.0 %,108892,30.3%
