#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0
#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout
226,Kaira North,61,GEN,Bombay,Dabhi Fulsinhjee Bharatsinhji,Indian National Congress,391562,230681,58.9 %
227,Kaira South,62,GEN,Bombay,Patel Maniben Vallabhbhai,Indian National Congress,368127,233148,63.3 %
228,Kakinada,120,GEN,Madras,Chelikani Venkata Rama Rao,Communist Party Of India,346057,219834,63.5 %
229,Kalahandi Bolangir,179,GEN,Orissa,Giridhari Bhoi,All India Gantantra Parishad,790404,553858,35.0 %
230,Kalahandi Bolangir,179,GEN,Orissa,Rajendra Narayan Singh Deo,All India Gantantra Parishad,790404,553858,35.0 %
231,Kalna Katwa,293,GEN,West Bengal,Jonab Abdus Sattar,Indian National Congress,377219,185672,49.2 %
232,Kanara,88,GEN,Bombay,Alva Jaochim Piedade,Indian National Congress,370650,230512,62.2 %
233,Kancheepuram,142,GEN,Madras,A. Krishnaswami,Common Weal Party,332827,199957,60.1 %
234,Kangra,204,GEN,Punjab,Hem Raj,Indian National Congress,338943,159053,46.9 %
235,Kanpur District Central,237,GEN,Uttar Pradesh [1947 - 1999],Hari Har Nath Shastri,Indian National Congress,395486,136821,34.6 %
236,Kanpur District South Cum Etawah District,238,GEN,Uttar Pradesh [1947 - 1999],Bal Krishna Sharma,Indian National Congress,376278,160257,42.6 %
237,Kanpur Distt North Cum Farrukhabad Distt South,236,GEN,Uttar Pradesh [1947 - 1999],V. N. Tiwari,Indian National Congress,365691,166635,45.6 %
238,Kapurthala Bhatinda,345,GEN,Patiala And East Punj,Hukam Singh,Shiromani Akali Dal,713275,863273,60.5 %
239,Kapurthala Bhatinda,345,GEN,Patiala And East Punj,Ajit Singh,Shiromani Akali Dal,713275,863273,60.5 %
240,Karimnagar,320,GEN,Hyderabad,Badan Yella Reddy,Peoples Democratic Front,750904,715873,47.7 %
241,Karimnagar,320,GEN,Hyderabad,M. R. Krishnan,All India Scheduled Caste Federation,750904,715873,47.7 %
242,Karnal,194,GEN,Punjab,Subhadra Joshi,Indian National Congress,765032,842918,55.1 %
243,Karnal,194,GEN,Punjab,Virendra Kumar,Indian National Congress,765032,842918,55.1 %
244,Kendrapara,187,GEN,Orissa,Nityananda Kanungo,Indian National Congress,400630,173806,43.4 %
245,Khammam,322,GEN,Hyderabad,T. B. Vittala Rao,Peoples Democratic Front,354276,188064,53.1 %
246,Khurda,190,GEN,Orissa,Lingraj Misra,Indian National Congress,395605,138531,35.0 %
247,Kolaba,78,GEN,Bombay,Deshmukh Chintaman Dwarkanath,Indian National Congress,352119,183658,52.2 %
248,Kolar,333,GEN,Mysore,Doddathimmiah,Indian National Congress,741116,717848,48.4 %
249,Kolar,333,GEN,Mysore,M. V. Krishnappa,Indian National Congress,741116,717848,48.4 %
250,Kolhapur Cum Satara,76,GEN,Bombay,Kumbhar Ratnappa Bharamappa,Indian National Congress,749539,832165,55.5 %
251,Kolhapur Cum Satara,76,GEN,Bombay,Khardekar Balasaheb Hasanmantrao,Independent,749539,832165,55.5 %
252,Kotab Bundi,362,GEN,Rajasthan,Chandra Sen,Akhil Bharatiya Ram Rajya Parishad,411738,93005,22.6 %
253,Kotah Jhalawar,363,GEN,Rajasthan,Nemichand Kasilwal,Indian National Congress,361030,94936,26.3 %
254,Kottayam,377,GEN,Travancore Cochin,C. P. Mathew,Indian National Congress,354046,284961,80.5 %
255,Kozhikode,174,GEN,Madras,Achuthan Damodaran Menon,Kisan Mazdoor Praja Party,355807,236008,66.3 %
256,Krishnagiri,145,GEN,Madras,C. R. Narasimhan,Indian National Congress,355317,147253,41.4 %
257,Kumbakonam,157,GEN,Madras,C. Ramaswamy Mudaliar,Indian National Congress,361514,229457,63.5 %
258,Kurnool,132,GEN,Madras,H. Sitharama Reddy,Indian National Congress,354755,194213,54.8 %
259,Kustagi,306,GEN,Hyderabad,Shiv Murthy Swamy,Independent,356258,170259,47.8 %
260,Kutch East,392,GEN,Kutch,Dholakia Gulabshanker Amrutlal,Indian National Congress,147409,49236,33.4 %
261,Kutch West,393,GEN,Kutch,Khimji Bhawanji Arjun,Indian National Congress,140991,70344,49.9 %
262,Lucknow District Central,247,GEN,Uttar Pradesh [1947 - 1999],Vijayalakshmi Pandit,Indian National Congress,353447,148569,42.0 %
263,Lucknow Distt Cum Bara Banki Distt,246,GEN,Uttar Pradesh [1947 - 1999],Ganga Devi,Indian National Congress,730269,498095,34.1 %
264,Lucknow Distt Cum Bara Banki Distt,246,GEN,Uttar Pradesh [1947 - 1999],Mohan Lal Saxena,Indian National Congress,730269,498095,34.1 %
265,Madhya Saurashtra,365,GEN,Saurashtra,Joshi Jethalal Harikrishna,Indian National Congress,312441,139962,44.8 %
266,Madras,139,GEN,Madras,T. T. Krishnamachari,Indian National Congress,369299,195370,52.9 %
267,Madurai,167,GEN,Madras,S. Balasubramaniam,Indian National Congress,757254,733762,48.5 %
268,Madurai,167,GEN,Madras,P. M. Kakkan,Indian National Congress,757254,733762,48.5 %
269,Mahasamund,95,GEN,Madhya Pradesh [1947 - 1999],Sheodas Daga,Indian National Congress,392827,159178,40.5 %
270,Mahboobnagar,305,GEN,Hyderabad,Janardhan Reddy,Indian National Congress,756778,344270,45.5 %
271,Mahboobnagar,305,GEN,Hyderabad,P. Ramaswamy,Indian National Congress,756778,RU,
272,Mainpuri District (EAST),234,GEN,Uttar Pradesh [1947 - 1999],Badshah Gupta,Indian National Congress,340120,139345,41.0 %
273,Malappuram,175,GEN,Madras,B. Pocker,Madras State Muslim League Party,369412,203899,55.2 %
274,Malda,279,GEN,West Bengal,Surendra Mohan Ghose,Indian National Congress,354919,145601,41.0 %
275,Manbhum North,52,GEN,Bihar [1947 - 1999],Mohan Hari,Indian National Congress,688360,435123,31.6 %
276,Manbhum North,52,GEN,Bihar [1947 - 1999],Prabhat Chandra Bose,Indian National Congress,688360,435123,31.6 %
277,Manbhum South Cum Dhalbhum,53,GEN,Bihar [1947 - 1999],Bhajahari Mahaton,Lok Sewak Sangh,730957,481518,32.9 %
278,Manbhum South Cum Dhalbhum,53,GEN,Bihar [1947 - 1999],Chaitan Manjhi,Lok Sewak Sangh,730957,481518,32.9 %
279,Mandi Mahasu,390,GEN,Himachal Pradesh,Amrit Kaur,Indian National Congress,350437,175377,25.0 %
280,Mandi Mahasu,390,GEN,Himachal Pradesh,Gopi Ram,Indian National Congress,350437,175377,25.0 %
281,Mandla Jabalpur South,100,GEN,Madhya Pradesh [1947 - 1999],Govind Das Maheshwari,Indian National Congress,686330,593342,43.2 %
282,Mandla Jabalpur South,100,GEN,Madhya Pradesh [1947 - 1999],Mangroo,Indian National Congress,686330,593342,43.2 %
283,Mandsaur,329,GEN,Madhya Bharat,Kailash Nath Katju,Indian National Congress,371375,140861,37.9 %
284,Mandya,337,GEN,Mysore,M. K. Sivananjappa,Indian National Congress,360464,212015,58.8 %
285,Masulipatnam,123,GEN,Madras,Sanka Butehikottaiah,Communist Party Of India,332940,253728,76.2 %
286,Mathura District (WEST),228,GEN,Uttar Pradesh [1947 - 1999],Krishna Chandra,Indian National Congress,376706,182335,48.4 %
287,Mayuram,158,GEN,Madras,K. Ananda Nambiar,Communist Party Of India,730234,883765,60.5 %
288,Mayuram,158,GEN,Madras,V. Veeraswami,Independent,730234,883765,60.5 %
289,Mayurbhanj,185,ST,Orissa,Ramchandra Majhi,Indian National Congress,376957,108238,28.7 %
290,Medak,319,GEN,Hyderabad,Jaisoorya,Peoples Democratic Front,360324,197637,54.9 %
291,Meenachil,376,GEN,Travancore Cochin,P. T. Chacko,Indian National Congress,355235,267829,75.4 %
292,Meerut District (NORTH EAST),223,GEN,Uttar Pradesh [1947 - 1999],Shah Nawaz Khan,Indian National Congress,394599,209089,53.0 %
293,Meerut District (SOUTH),222,GEN,Uttar Pradesh [1947 - 1999],Krishna Chandra Sharma,Indian National Congress,374338,185764,49.6 %
294,Meerut District (WEST),221,GEN,Uttar Pradesh [1947 - 1999],Khushi Ram Sharma,Indian National Congress,357437,205243,57.4 %
295,Mehsana East,58,GEN,Bombay,Parekh Shantilal Girdharlal,Indian National Congress,366111,202822,55.4 %
296,Mehsana West,59,GEN,Bombay,Kilachand Tulshidas Kilachand,Independent,380505,225034,59.1 %
297,Midnapore Jhargram,284,GEN,West Bengal,Bandopadhyaya Durga Charan,All India Bhartiya Jan Sangh,742739,569207,38.3 %
298,Midnapore Jhargram,284,GEN,West Bengal,Tudu Bharat Lal,Indian National Congress,742739,569207,38.3 %
299,Mirzapur District Cum Banaras District (WEST),256,GEN,Uttar Pradesh [1947 - 1999],Rup Narain,Indian National Congress,720697,517177,35.9 %
300,Mirzapur District Cum Banaras District (WEST),256,GEN,Uttar Pradesh [1947 - 1999],J. N. Wilson,Indian National Congress,720697,517177,35.9 %
301,Mohindergarh,342,GEN,Patiala And East Punj,Hira Singh,Indian National Congress,333436,180559,54.2 %
302,Monghyr North East,39,GEN,Bihar [1947 - 1999],Suresh Chandra Mishra,Socialist Party,271581,146688,54.0 %
303,Monghyr North West,38,GEN,Bihar [1947 - 1999],Mathura Prasad Misra,Indian National Congress,216737,115332,53.2 %
304,Monghyr Sadar Cum Jamui,37,GEN,Bihar [1947 - 1999],Banarsi Pd. Sinha,Indian National Congress,534168,518714,48.6 %
305,Monghyr Sadar Cum Jamui,37,GEN,Bihar [1947 - 1999],Nayan Tara Das,Indian National Congress,534168,518714,48.6 %
306,Moradabad District (CENTRAL),216,GEN,Uttar Pradesh [1947 - 1999],Hifzul Rehman,Indian National Congress,387330,163085,42.1 %
307,Moradabad District (WEST),215,GEN,Uttar Pradesh [1947 - 1999],Ram Saran,Indian National Congress,367788,156871,42.7 %
308,Morena Bhind,332,GEN,Madhya Bharat,Radha Charan,Indian National Congress,743114,462963,31.2 %
309,Morena Bhind,332,GEN,Madhya Bharat,Suraj Prasad Alias Surya Prasad,Indian National Congress,743114,462963,31.2 %
310,Murshidabad,281,GEN,West Bengal,Muhammed Khuda Bukhsh,Indian National Congress,380477,186684,49.1 %
311,Muzafarpur East,30,GEN,Bihar [1947 - 1999],Awadeshwar Pd. Sinha,Indian National Congress,298268,139632,46.8 %
312,Muzaffarnagar District (SOUTH),220,GEN,Uttar Pradesh [1947 - 1999],Tripathi Hira Ballabh,Indian National Congress,375540,199562,53.1 %
313,Muzaffarpur Central,29,GEN,Bihar [1947 - 1999],Shyam Nandan Sahay,Indian National Congress,332006,141330,42.6 %
314,Muzaffarpur Cum Darbhanga,31,GEN,Bihar [1947 - 1999],Rajeshwar Patel,Indian National Congress,716634,318538,44.5 %
315,Muzaffarpur Cum Darbhanga,31,GEN,Bihar [1947 - 1999],Rameshwar Sahu,Indian National Congress,716634,RU,
316,Muzaffarpur North East,28,GEN,Bihar [1947 - 1999],Dig Vijoy Narayan Singh,Indian National Congress,329849,154884,47.0 %
317,Muzaffarpur North West,27,GEN,Bihar [1947 - 1999],Chandeswar Narain Prasad Sinha,Indian National Congress,293890,134435,45.7 %
318,Mysore,338,GEN,Mysore,N. Rachiah,Indian National Congress,728247,712318,48.9 %
319,Mysore,338,GEN,Mysore,M. S. Gurupadaswamy,Kisan Mazdoor Praja Party,728247,712318,48.9 %
320,Nabadwip,294,GEN,West Bengal,Lakshmi Kanta Maitra,Indian National Congress,381812,159025,41.7 %
321,Nagaur Pali,354,GEN,Rajasthan,Gajadhar,Independent,383209,200411,52.3 %
322,Nagercoil,370,GEN,Travancore Cochin,A. Nesamony,Travancore Tamil Nad Congress Party,343195,227904,66.4 %
323,Nagpur,108,GEN,Madhya Pradesh [1947 - 1999],Anusayabai Purushottam Kale,Indian National Congress,352870,210078,59.5 %
324,Naini Tal Distt Cum Almora Distt (SOUTH WEST) CUM BAREILLY DISTT (NORTH),212,GEN,Uttar Pradesh [1947 - 1999],C. D. Pande,Indian National Congress,341976,129142,37.8 %
325,Nalgonda,323,GEN,Hyderabad,Ravi Narayan Reddy,Peoples Democratic Front,729504,807033,55.3 %
326,Nalgonda,323,GEN,Hyderabad,Sukam Atchalu,Peoples Democratic Front,729504,807033,55.3 %
327,Nanded,316,GEN,Hyderabad,Shanker Rao Srinivas Rao,Indian National Congress,710146,444504,31.3 %
328,Nanded,316,GEN,Hyderabad,Deo Rao Namdeo Rao,Indian National Congress,710146,444504,31.3 %
329,Nandyal,131,GEN,Madras,Seshagiri Rao,Independent,380100,244765,64.4 %
330,Narasaraopet,128,GEN,Madras,Chapalamadugu Ramiah Chowdry,Independent,366257,216472,59.1 %
331,Nasik Central,72,GEN,Bombay,Deshpande Govind Hari,Indian National Congress,385868,205175,53.2 %
332,Nawan Shahr,201,GEN,Punjab,Baldev Singh,Indian National Congress,398321,250375,62.9 %
333,Nellore,130,GEN,Madras,Bezwada Ramachandra Reddy,Independent,347698,207004,59.5 %
334,New Delhi,387,GEN,Delhi,Suchetia Kripalani,Kisan Mazdoor Praja Party,182293,102175,56.1 %
335,Nimar,103,GEN,Madhya Pradesh [1947 - 1999],Tiwari Babulal Surajbhan,Indian National Congress,387579,175023,45.2 %
336,Nimar,324,GEN,Madhya Bharat,Bajinath Mahodaya,Indian National Congress,375327,127499,34.0 %
337,Nizamabad,318,GEN,Hyderabad,Harish Chandra Heda,Indian National Congress,335863,160995,47.9 %
338,North Bengal,277,GEN,West Bengal,Upendra Nath Barman,Indian National Congress,931845,862056,30.8 %
339,North Bengal,277,GEN,West Bengal,Birendra Nath Katham,Indian National Congress,931845,862056,30.8 %
340,North Bengal,277,GEN,West Bengal,Amiya Kanta Basu,Indian National Congress,931845,862056,30.8 %
341,North Satara,75,GEN,Bombay,Altekar Ganesh Sadashiv,Indian National Congress,359731,198739,55.3 %
342,Nowgong,7,GEN,Assam,"Barooah, Dev Kanta",Indian National Congress,342855,173832,50.7 %
343,Nowrangpur,177,GEN,Orissa,Ponnada Subarao,All India Gantantra Parishad,402950,143222,35.5 %
344,Ongole,129,GEN,Madras,M. Nanadass,Independent,729786,723926,49.6 %
345,Ongole,129,GEN,Madras,P. Venkataraghaviah,Independent,729786,723926,49.6 %
346,Osmanabad,311,GEN,Hyderabad,Diwan Raghevendra Srinivas Rao,Indian National Congress,373951,194043,51.9 %
347,Outer Delhi,388,GEN,Delhi,C. Krisnan Nair,Indian National Congress,387853,452135,58.3 %
348,Outer Delhi,388,GEN,Delhi,Naval Prabhakar,Indian National Congress,387853,452135,58.3 %
349,Outer Manipur,395,GEN,Manipur,Rishang,Socialist Party,148935,77561,52.1 %
350,Palamau Cum Hazaribagh Cum Ranchi,51,GEN,Bihar [1947 - 1999],Jithan Kherwar,Indian National Congress,649178,463405,35.7 %
351,Palamau Cum Hazaribagh Cum Ranchi,51,GEN,Bihar [1947 - 1999],Gajendra Prasad Sinha,Indian National Congress,649178,463405,35.7 %
352,Pancchmahals Cum Baroda East,57,GEN,Bombay,Gandhi Maneklal Magan,Indian National Congress,741930,318085,42.9 %
353,Pancchmahals Cum Baroda East,57,GEN,Bombay,Parmar Rupajee Bhavji,Indian National Congress,741930,RU,
354,Parbhani,315,GEN,Hyderabad,Narayan Rao Waghmare,Peasants & Workers Party,370348,140434,37.9 %
355,Parvathipuram,117,GEN,Madras,N. Rama Seshiah,Independent,368440,198166,53.8 %
356,Pataliputra,11,GEN,Bihar [1947 - 1999],Sarangdhar Singh,Indian National Congress,288982,133645,46.3 %
357,Pathapatnam,115,GEN,Madras,V. V. Giri,Indian National Congress,338485,167679,49.5 %
358,Patiala,344,GEN,Patiala And East Punj,Ram Partap,Indian National Congress,367485,219562,59.8 %
359,Patna Central,12,GEN,Bihar [1947 - 1999],Kailash Pati Sinha,Indian National Congress,236799,131506,55.5 %
360,Patna Cum Shahabad,14,GEN,Bihar [1947 - 1999],Balram Bhagat,Indian National Congress,287272,136851,47.6 %
361,Patna East,13,GEN,Bihar [1947 - 1999],Tarkeshwari Devi,Indian National Congress,250896,132716,52.9 %
362,Penukonda,135,GEN,Madras,K. S. Raghavachari,Kisan Mazdoor Praja Party,352629,217626,61.7 %
363,Perambalur,154,GEN,Madras,V. Boorarangaswami Pandayachi,The Tamil Nad Toilers Party,359221,225858,62.9 %
364,Periyakulam,168,GEN,Madras,A/ Sakthivadivel Gounder,Indian National Congress,370312,242777,65.6 %
365,Pilibhit Distt Cum Bareilly Distt (EAST),214,GEN,Uttar Pradesh [1947 - 1999],Mukund Lal Agarwala,Indian National Congress,328961,128991,39.2 %
366,Pollachi,151,GEN,Madras,Damodaram,Indian National Congress,368310,210359,57.1 %
367,Ponnani,176,GEN,Madras,Kelappan Koyhapali,Kisan Mazdoor Praja Party,739656,774286,52.3 %
368,Ponnani,176,GEN,Madras,Eacheran Iyyani,Indian National Congress,739656,774286,52.3 %
369,Poona Central,73,GEN,Bombay,Gadgil Narhar Vishnu,Indian National Congress,388404,192406,49.5 %
370,Poona South,74,GEN,Bombay,Maydeo Indira Anant,Indian National Congress,378892,179289,47.3 %
371,Pratapgarh Distt (EAST),249,GEN,Uttar Pradesh [1947 - 1999],Munishwar Dutt Upadhyaya,Indian National Congress,362654,122001,33.6 %
372,Pratapgarh Distt (WEST) CUM RAE BARELI DISTT (EAST),248,GEN,Uttar Pradesh [1947 - 1999],Feroze Gandhi,Indian National Congress,696634,481131,34.5 %
373,Pratapgarh Distt (WEST) CUM RAE BARELI DISTT (EAST),248,GEN,Uttar Pradesh [1947 - 1999],Baij Nath Kureel,Indian National Congress,696634,481131,34.5 %
374,Pudukkottai,153,GEN,Madras,K. M. Vallatharsu,Kisan Mazdoor Praja Party,374269,191697,51.2 %
375,Puri,189,GEN,Orissa,Lokanath Misra,Indian National Congress,387950,155622,40.1 %
376,Purnea Central,44,GEN,Bihar [1947 - 1999],Phani Gopal Sen Gupta,Indian National Congress,357038,138412,38.8 %
377,Purnea Cum Santal Parganas,45,GEN,Bihar [1947 - 1999],Bhagat Jha (AZAD),Indian National Congress,752822,659217,43.8 %
378,Purnea Cum Santal Parganas,45,GEN,Bihar [1947 - 1999],Jughar Soren Paul,Jharkhand Party,752822,659217,43.8 %
379,Purnea North East,43,GEN,Bihar [1947 - 1999],Mohammad Islamuddin,Indian National Congress,369596,120467,32.6 %
380,Quilon Cum Mavelikara,373,GEN,Travancore Cochin,Sreekantan Nair,Revolutionary Socialist Party,705598,1028391,72.9 %
381,Quilon Cum Mavelikara,373,GEN,Travancore Cochin,R. Velayudhan,Independent,705598,1028391,72.9 %
382,Raisen,384,GEN,Bhopal,Chatrunarain Malvia,Indian National Congress,188498,74501,39.5 %
383,Rajahmundry,121,GEN,Madras,Kaneti Mohana Rao,Communist Party Of India,741484,900175,60.7 %
384,Rajahmundry,121,GEN,Madras,Nalla Reddi Naidu,Socialist Party,741484,900175,60.7 %
385,Ramanathapuram,165,GEN,Madras,V. Vr. N. Ar. Nagappa Chettiar,Indian National Congress,359891,193589,53.8 %
386,Rampur District Cum Bareilly District (WEST),217,GEN,Uttar Pradesh [1947 - 1999],Abul Kalam Azad,Indian National Congress,376635,181607,48.2 %
387,Ranchi North East,49,GEN,Bihar [1947 - 1999],Abdul Ibrahim,Indian National Congress,344542,133505,38.8 %
388,Ranchi West,50,ST,Bihar [1947 - 1999],Jaipal Singh,Jharkhand Party,367835,228856,62.2 %
389,Ratnagiri North,82,GEN,Bombay,Bhosale Jagannathrao Krishnarao,Indian National Congress,374668,151181,40.4 %
390,Ratnagiri South,83,GEN,Bombay,Joshi Moreshwar Dinkar,Indian National Congress,372880,144239,38.7 %
391,Rayagada Phulbani,178,ST,Orissa,T. Sangana,Indian National Congress,393599,RU,
392,Rewa,399,GEN,Vindhya Pradesh,Rajbhan Singh,Indian National Congress,284152,97630,34.4 %
393,Rohtak,195,GEN,Punjab,Ranbir Singh,Indian National Congress,363546,253188,69.6 %
394,Sabarkantha,56,GEN,Bombay,Nanda Gulzarilal Bulaqiram,Indian National Congress,372222,201468,54.1 %
395,Sagar,102,GEN,Madhya Pradesh [1947 - 1999],Sodhia Khubchand Daryao Singh,Indian National Congress,396406,157374,39.7 %
396,Saharanpur Distt (WEST) CUM MUZAFFER NAGAR DISTT NORTH),219,GEN,Uttar Pradesh [1947 - 1999],Sunder Lal,Indian National Congress,717483,711289,49.6 %
397,Saharanpur Distt (WEST) CUM MUZAFFER NAGAR DISTT NORTH),219,GEN,Uttar Pradesh [1947 - 1999],Ajit Prashad,Indian National Congress,717483,711289,49.6 %
398,Salem,147,GEN,Madras,S. V. Ramaswami,Indian National Congress,366410,203792,55.6 %
399,Samastipur East,32,GEN,Bihar [1947 - 1999],Satya Narain Sinha,Indian National Congress,339720,122946,36.2 %
400,Sambalpur,181,GEN,Orissa,Natabar Pandey,All India Gantantra Parishad,390596,128485,32.9 %
401,Sangrur,343,GEN,Patiala And East Punj,Ranjit Singh,Independent,349335,211718,60.6 %
402,Sankaranainarkoil,163,GEN,Madras,M. Sankarapandian,Indian National Congress,373989,246936,66.0 %
403,Santal Parganas Cum Hazaribaug,46,GEN,Bihar [1947 - 1999],Ram Raj Jajware,Indian National Congress,720478,634118,44.0 %
404,Santal Parganas Cum Hazaribaug,46,GEN,Bihar [1947 - 1999],Lal Hembrom,Indian National Congress,720478,634118,44.0 %
405,Santipur,295,GEN,West Bengal,Arun Chandra Guha,Indian National Congress,371454,160938,43.3 %
406,Saran Central,21,GEN,Bihar [1947 - 1999],Mahendra Nath Singh,Indian National Congress,358504,121823,34.0 %
407,Saran Cum Champaran,24,GEN,Bihar [1947 - 1999],Bibhuti Missir,Indian National Congress,694144,438883,31.6 %
408,Saran Cum Champaran,24,GEN,Bihar [1947 - 1999],Bhola Raut,Indian National Congress,694144,438883,31.6 %
409,Saran East,22,GEN,Bihar [1947 - 1999],Satya Narain Singh,Indian National Congress,307256,104790,34.1 %
410,Saran North,20,GEN,Bihar [1947 - 1999],Jhulan Sinha,Indian National Congress,370681,111627,30.1 %
411,Saran South,23,GEN,Bihar [1947 - 1999],Dwarka Nath Tiwari,Indian National Congress,276217,117340,42.5 %
412,Satna,400,GEN,Vindhya Pradesh,Upadhiya S. D.,Indian National Congress,293454,101641,34.6 %
413,Sehore,383,GEN,Bhopal,Saeed Ullah Razmi,Indian National Congress,231472,94956,41.0 %
414,Serampore,290,GEN,West Bengal,Tusar Kanti Chattopadhyaya,Communist Party Of India,381914,190924,50.0 %
415,Shahabad North West,19,GEN,Bihar [1947 - 1999],Kamal Singh,Independent,364184,150612,41.4 %
416,Shahabad South,18,GEN,Bihar [1947 - 1999],Ram Subhag Singh,Indian National Congress,697896,584689,41.9 %
417,Shahabad South,18,GEN,Bihar [1947 - 1999],Jagjiwan Ram,Indian National Congress,697896,584689,41.9 %
418,Shahdol Sidhi,398,GEN,Vindhya Pradesh,Bhagwan Dutta Shastri,Socialist Party,595865,159557,26.8 %
419,Shahdol Sidhi,398,GEN,Vindhya Pradesh,Randaman Singh,Kisan Mazdoor Praja Party,595865,RU,
420,Shajahanpur Distt (NORTH) CUM KHERI DISTT (EAST),244,GEN,Uttar Pradesh [1947 - 1999],Rameshwar Prasad Neva,Indian National Congress,800993,479588,29.9 %
421,Shajahanpur Distt (NORTH) CUM KHERI DISTT (EAST),244,GEN,Uttar Pradesh [1947 - 1999],Ganeshi Lal Chowdhry,Indian National Congress,800993,479588,29.9 %
422,Shajapur Rajgarh,328,GEN,Madhya Bharat,Liladhar Joshi,Indian National Congress,734582,485562,33.1 %
423,Shajapur Rajgarh,328,GEN,Madhya Bharat,Bhagu Nandu,Indian National Congress,734582,485562,33.1 %
424,Shimoga,340,GEN,Mysore,K. G. Wodeyar,Indian National Congress,313647,235659,75.1 %
425,Sholapur,77,GEN,Bombay,More Shankar Shantaram,Peasants & Workers Party,801712,780170,48.7 %
426,Sholapur,77,GEN,Bombay,Rajbhoj Pandurang Nathuji,All India Scheduled Caste Federation,801712,780170,48.7 %
427,Sibsagar North Lakhimpur,9,GEN,Assam,"Buragohain, Surendranath",Indian National Congress,345910,169015,48.9 %
428,Sikar,355,GEN,Rajasthan,Nand Lal,Akhil Bharatiya Ram Rajya Parishad,323013,134158,41.5 %
429,Sirohi Pali,353,GEN,Rajasthan,Ajit Singh,Independent,380210,159335,41.9 %
430,Sitapur Distt Cum Kheri Distt (WEST),245,GEN,Uttar Pradesh [1947 - 1999],Pragi Lal,Indian National Congress,772283,531924,34.4 %
431,Sitapur Distt Cum Kheri Distt (WEST),245,GEN,Uttar Pradesh [1947 - 1999],Uma Nehru,Indian National Congress,772283,531924,34.4 %
432,Sorath,369,GEN,Saurashtra,Nathiwani Narendra,Indian National Congress,316584,170901,54.0 %
433,South Kanara (NORTH),170,GEN,Madras,U. Srinivasa Mallyya,Indian National Congress,344159,220761,64.2 %
434,South Kanara South,171,GEN,Madras,B. Shiva Rao,Indian National Congress,340360,206101,60.6 %
435,South Satara,79,GEN,Bombay,Pawar Vyankatrao Pirajirao,Indian National Congress,369033,223955,60.7 %
436,Srikakulam,116,GEN,Madras,Boddapalli Rajagopala Rao,Independent,367407,185675,50.5 %
437,Srivaikuntam,162,GEN,Madras,A. V. Thomas,Indian National Congress,353299,172254,48.8 %
438,Srivilliputtur,166,GEN,Madras,K. Kamaraj Nadar,Indian National Congress,339344,224114,66.0 %
439,Sultanpur District (SOUTH),250,GEN,Uttar Pradesh [1947 - 1999],B. V. Keskar,Indian National Congress,362718,136044,37.5 %
440,Sultanpur Distt (NORTH) CUM FAIZABAD DISTT (SOUTH WEST),251,GEN,Uttar Pradesh [1947 - 1999],M. A. Kazmi,Indian National Congress,377670,112311,29.7 %
441,Sundargarh,182,ST,Orissa,Sibnarayan Singh,Indian National Congress,389204,179734,46.2 %
442,Surat,65,GEN,Bombay,Desai Kanhaiyalal Nanabhai,Indian National Congress,745093,861336,57.8 %
443,Surat,65,GEN,Bombay,Patel Bahadurbhai Kuthabhai,Indian National Congress,745093,861336,57.8 %
444,Surguja Raigarh,92,GEN,Madhya Pradesh [1947 - 1999],Babunath Singh,Indian National Congress,804512,624338,38.8 %
445,Surguja Raigarh,92,GEN,Madhya Pradesh [1947 - 1999],Maharajkumar Chandikeshwar Sharan Singh Ju Deo,Independent,804512,624338,38.8 %
446,Tamluk,286,GEN,West Bengal,"Samanta, Satish Chandra",Indian National Congress,375461,255379,68.0 %
447,Tanjore,156,GEN,Madras,R. Venkataraman,Indian National Congress,367963,201724,54.8 %
448,Tarn Taran,206,GEN,Punjab,Surjit Singh,Indian National Congress,377664,212396,56.2 %
449,Tellicherry,173,GEN,Madras,N. Damodaran,Kisan Mazdoor Praja Party,323528,231138,71.4 %
450,Tenali,126,GEN,Madras,Kotha Raghuramiah,Indian National Congress,341801,259773,76.0 %
451,Thana,66,GEN,Bombay,Nandkar Anant Savalaram,Indian National Congress,712902,718242,50.4 %
452,Thana,66,GEN,Bombay,Vartak Govind Dharmaji,Indian National Congress,712902,718242,50.4 %
453,Thiruvella,375,GEN,Travancore Cochin,Mathen C. P.,Indian National Congress,352821,257600,73.0 %
454,Tindivanam,160,GEN,Madras,A. Jayaraman,The Tamil Nad Toilers Party,721419,789592,54.7 %
455,Tindivanam,160,GEN,Madras,V. Muniswami,The Tamil Nad Toilers Party,721419,789592,54.7 %
456,Tiruchengode,149,GEN,Madras,S. K. Baby Alias Kandaswami,Independent,370121,174637,47.2 %
457,Tiruchirapalli,155,GEN,Madras,E. Mathuram,Independent,353822,214952,60.8 %
458,Tirunelvali,161,GEN,Madras,Thanu Pillai,Indian National Congress,352281,194203,55.1 %
459,Tirupathi,138,GEN,Madras,M. Ananthasayanam Ayyanagar,Indian National Congress,376107,223527,59.4 %
