#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0
#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
202,Godda,28,GEN,Bihar [1947 - 1999],Jagdambi Prasad Yadav,Bharatiya Lok Dal,630768,365300,57.9 %,158991,43.5%
203,Godhra,18,GEN,Gujarat,Desai Hitendrabhai Kanaiyalal,Indian National Congress,517416,295163,57.1 %,1380,0.5%
204,Gonda,33,GEN,Uttar Pradesh [1947 - 1999],Satya Deo Singh,Bharatiya Lok Dal,601635,272227,45.3 %,71273,26.2%
205,Gopalganj,4,GEN,Bihar [1947 - 1999],Dwarikanath Tiwary,Bharatiya Lok Dal,674703,425830,63.1 %,172992,40.6%
206,Gorakhpur,38,GEN,Uttar Pradesh [1947 - 1999],Harikesh Bahadur,Bharatiya Lok Dal,570532,327828,57.5 %,183054,55.8%
207,Gulbarga,2,GEN,Karnataka,Sidram Reddi,Indian National Congress,629721,322935,51.3 %,85392,26.4%
208,Guna,4,GEN,Madhya Pradesh [1947 - 1999],Madhav Rao Scindia,Independent,634123,336579,53.1 %,76451,22.7%
209,Guntur,15,GEN,Andhra Pradesh,Kotha Raghuramaiah,Indian National Congress,790342,518885,65.7 %,85529,16.5%
210,Gurdaspur,1,GEN,Punjab,Yagya Datt,Bharatiya Lok Dal,563497,412085,73.1 %,28122,6.8%
211,Gwalior,3,GEN,Madhya Pradesh [1947 - 1999],Narayan Krishna Shejwalker,Bharatiya Lok Dal,587078,338230,57.6 %,152192,45.0%
212,Hajipur,8,SC,Bihar [1947 - 1999],Ram Vilas Paswan,Bharatiya Lok Dal,686969,529440,77.1 %,424545,80.2%
213,Hamirpur,4,SC,Himachal Pradesh,Ranjit Singh,Bharatiya Lok Dal,524805,323501,61.6 %,50122,15.5%
214,Hamirpur,60,GEN,Uttar Pradesh [1947 - 1999],Tej Pratap Singh,Bharatiya Lok Dal,549096,317289,57.8 %,81275,25.6%
215,Hanamkonda,38,GEN,Andhra Pradesh,P. V. Narsimha Rao,Indian National Congress,615143,403940,65.7 %,77683,19.2%
216,Hapur,79,GEN,Uttar Pradesh [1947 - 1999],Kunwar Mahood Ali Khan,Bharatiya Lok Dal,631729,432445,68.5 %,135397,31.3%
217,Hardoi,19,SC,Uttar Pradesh [1947 - 1999],Parmai Lal,Bharatiya Lok Dal,595289,310249,52.1 %,114287,36.8%
218,Hardwar,85,SC,Uttar Pradesh [1947 - 1999],Bhagwan Dass,Bharatiya Lok Dal,554184,363336,65.6 %,177203,48.8%
219,Hassan,19,GEN,Karnataka,S. Nanjesha Gowda,Bharatiya Lok Dal,619773,429300,69.3 %,1081,0.3%
220,Hathras,75,SC,Uttar Pradesh [1947 - 1999],Ram Prasad Deshmukh,Bharatiya Lok Dal,648461,401699,62.0 %,207925,51.8%
221,Hazaribagh,48,GEN,Bihar [1947 - 1999],Kunwar Basant Narain Singh,Bharatiya Lok Dal,618989,295432,47.7 %,141117,47.8%
222,Hindupur,24,GEN,Andhra Pradesh,P. Bayapa Reddy,Indian National Congress,650347,402073,61.8 %,90033,22.4%
223,Hingoli,29,GEN,Maharashtra,Patil Chandrakant Ramkrishna,Bharatiya Lok Dal,596387,322463,54.1 %,35751,11.1%
224,Hissar,9,GEN,Haryana,Inder Singh,Bharatiya Lok Dal,553756,409400,73.9 %,243384,59.4%
225,Hooghly,27,GEN,West Bengal,Bijoy Krishna Modak,Communist Party Of India (MARXIST),560707,367205,65.5 %,106259,28.9%
226,Hoshangabad,29,GEN,Madhya Pradesh [1947 - 1999],Kamath Hari Vishnu,Bharatiya Lok Dal,561979,327492,58.3 %,108171,33.0%
227,Hoshiarpur,6,GEN,Punjab,Balbir Singh,Bharatiya Lok Dal,626330,427246,68.2 %,114617,26.8%
228,Howrah,24,GEN,West Bengal,Samar Mukherjee 11dharmatala Lane,Communist Party Of India (MARXIST),669642,389263,58.1 %,104731,26.9%
229,Hyderabad,30,GEN,Andhra Pradesh,K. S. Narayana,Indian National Congress,586201,351047,59.9 %,65068,18.5%
230,Ichalkaranji,47,GEN,Maharashtra,Mane Rajaram Alias Balasaheb Shankarrao,Indian National Congress,575336,399422,69.4 %,33364,8.4%
231,Idukki,14,GEN,Kerala,C. M. Stephen,Indian National Congress,578434,426869,73.8 %,79257,18.6%
232,Indore,37,GEN,Madhya Pradesh [1947 - 1999],Kalyan Jain,Bharatiya Lok Dal,560665,363014,64.8 %,36636,10.1%
233,Inner Manipur,1,GEN,Manipur,N. Tombi Singh,Indian National Congress,407918,251631,61.7 %,25659,10.2%
234,Jabalpur,25,GEN,Madhya Pradesh [1947 - 1999],Sharad Yadav,Bharatiya Lok Dal,587198,341316,58.1 %,75891,22.2%
235,Jadavpur,18,GEN,West Bengal,Somnath Chatterjee,Communist Party Of India (MARXIST),624264,356636,57.1 %,138635,38.9%
236,Jagatsinghpur,7,SC,Orissa,Pradyumna Kishore Bal,Bharatiya Lok Dal,654214,410182,62.7 %,109951,26.8%
237,Jahanabad,41,GEN,Bihar [1947 - 1999],Hari Lal Prasad Sinha,Bharatiya Lok Dal,751428,499226,66.4 %,250970,50.3%
238,Jaipur,6,GEN,Rajasthan,Satish Chander,Bharatiya Lok Dal,610124,357974,58.7 %,189482,52.9%
239,Jajpur,4,ST,Orissa,Rama Chandra Mallick,Bharatiya Lok Dal,611181,316767,51.8 %,49660,15.7%
240,Jalaun,62,SC,Uttar Pradesh [1947 - 1999],Ramcharan,Bharatiya Lok Dal,602642,375548,62.3 %,185275,49.3%
241,Jalesar,70,GEN,Uttar Pradesh [1947 - 1999],Multan Singh Chaudhary,Bharatiya Lok Dal,576262,370895,64.4 %,206546,55.7%
242,Jalgaon,17,GEN,Maharashtra,Borole Yashwant Mansaram,Bharatiya Lok Dal,589742,362064,61.4 %,12186,3.4%
243,Jalna,32,GEN,Maharashtra,Pundalik Hari Danve,Bharatiya Lok Dal,615197,326829,53.1 %,24574,7.5%
244,Jalore,22,GEN,Rajasthan,Hukam Ram,Bharatiya Lok Dal,648497,299420,46.2 %,56002,18.7%
245,Jalpaiguri,3,SC,West Bengal,Khagendra Nath Dasgupta,Independent,529606,315866,59.6 %,57698,18.3%
246,Jammu,6,GEN,Jammu & Kashmir,Thakur Baldev Singh,Independent,601007,355660,59.2 %,27939,7.9%
247,Jamnagar,3,GEN,Gujarat,Vinodbhai B. Sheth,Bharatiya Lok Dal,479585,251803,52.5 %,2670,1.1%
248,Jamshedpur,50,GEN,Bihar [1947 - 1999],Rudra Pratap Sarangi,Bharatiya Lok Dal,575923,269834,46.9 %,63753,23.6%
249,Jangipur,8,GEN,West Bengal,Sasankasekher Sanyal,Communist Party Of India (MARXIST),565255,328222,58.1 %,2186,0.7%
250,Janjgir,14,GEN,Madhya Pradesh [1947 - 1999],Madan Bhaiya,Bharatiya Lok Dal,581342,258652,44.5 %,13569,5.2%
251,Jaunpur,48,GEN,Uttar Pradesh [1947 - 1999],Yadvendra Dutta Dubey,Bharatiya Lok Dal,616192,340943,55.3 %,99872,29.3%
252,Jhabua,39,ST,Madhya Pradesh [1947 - 1999],Bhagirath Bhawar,Bharatiya Lok Dal,518465,267704,51.6 %,62672,23.4%
253,Jhalawar,15,GEN,Rajasthan,Chaturbhuj,Bharatiya Lok Dal,549344,343827,62.6 %,131617,38.3%
254,Jhanjharpur,14,GEN,Bihar [1947 - 1999],Dhanik Lal Mandal,Bharatiya Lok Dal,629783,470515,74.7 %,157481,33.5%
255,Jhansi,61,GEN,Uttar Pradesh [1947 - 1999],Sushila Naiyar,Bharatiya Lok Dal,633446,351040,55.4 %,130485,37.2%
256,Jhargram,33,ST,West Bengal,Jadunath Kisku,Communist Party Of India (MARXIST),575907,358585,62.3 %,47595,13.3%
257,Jhunjhunu,4,GEN,Rajasthan,Kanhaiya Lal,Bharatiya Lok Dal,681587,368888,54.1 %,126951,34.4%
258,Jodhpur,24,GEN,Rajasthan,Ranchordas Gattani,Bharatiya Lok Dal,610912,352632,57.7 %,21685,6.1%
259,Jorhat,12,GEN,Assam,Tarun Gogoi,Indian National Congress,585721,311008,53.1 %,28687,9.2%
260,Joynagar,15,GEN,West Bengal,Sakti Kumar Sarkar,Bharatiya Lok Dal,626050,380213,60.7 %,60637,15.9%
261,Jullundur,4,SC,Punjab,Iqbal Singh Dhillon,Shiromani Akali Dal,592262,427902,72.3 %,118108,27.6%
262,Junagadh,6,GEN,Gujarat,Nathwani Narendra Pragji,Bharatiya Lok Dal,516292,335230,64.9 %,11853,3.5%
263,Kaira,19,ST,Gujarat,Desai Dharmsingh Dadubhai,Indian National Congress,573138,404195,70.5 %,41844,10.4%
264,Kairana,83,GEN,Uttar Pradesh [1947 - 1999],Chandan Singh,Bharatiya Lok Dal,570885,381053,66.8 %,146858,38.5%
265,Kaiserganj,30,GEN,Uttar Pradesh [1947 - 1999],Rudra Sen,Bharatiya Lok Dal,641526,307332,47.9 %,124796,40.6%
266,Kakinada,7,GEN,Andhra Pradesh,Sanjeevirao M. S.,Indian National Congress,656501,446438,68.0 %,123268,27.6%
267,Kalahandi,14,GEN,Orissa,Pratap Keshari Deo,Independent,542033,193140,35.6 %,53261,27.6%
268,Kaliabor,11,GEN,Assam,Bedabrata Barua,Indian National Congress,585312,299220,51.1 %,71157,23.8%
269,Kanakapura,11,GEN,Karnataka,M. V. Chandrasekhara Murthy,Indian National Congress,673583,418814,62.2 %,4652,1.1%
270,Kanara,22,SC,Karnataka,Kadam Balsu Pursu,Indian National Congress,583855,391234,67.0 %,34394,8.8%
271,Kangra,3,GEN,Himachal Pradesh,Durga Chand,Bharatiya Lok Dal,477075,305117,64.0 %,39004,12.8%
272,Kanker,19,ST,Madhya Pradesh [1947 - 1999],Aghansingh,Bharatiya Lok Dal,546877,278807,51.0 %,53777,19.3%
273,Kannauj,67,GEN,Uttar Pradesh [1947 - 1999],Ram Prakash Tripathi,Bharatiya Lok Dal,618335,418893,67.8 %,171042,40.8%
274,Kanpur,65,GEN,Uttar Pradesh [1947 - 1999],Manohar Lal,Bharatiya Lok Dal,657627,383842,58.4 %,174289,45.4%
275,Kapadvanj,16,GEN,Gujarat,Vaghela Shankarji Laxmanji,Bharatiya Lok Dal,561342,330969,59.0 %,67971,20.5%
276,Karad,45,GEN,Maharashtra,Chavan Premlabai Dajisaheb,Indian National Congress,629569,339680,54.0 %,170815,50.3%
277,Karimganj,1,SC,Assam,Nihar Ranjan Laskar,Indian National Congress,535378,239772,44.8 %,30300,12.6%
278,Karimnagar,37,GEN,Andhra Pradesh,M. Satyanarayan Rao,Indian National Congress,650519,370915,57.0 %,114048,30.7%
279,Karnal,3,SC,Haryana,Bhagwat Dayal,Bharatiya Lok Dal,556203,422745,76.0 %,276836,65.5%
280,Karol Bagh,7,GEN,Delhi [1977 Onwards],Shiv Narain Sarsonia,Bharatiya Lok Dal,315305,217380,68.9 %,65068,29.9%
281,Karur,26,GEN,Tamil Nadu,Gopal K.,Indian National Congress,732872,517913,70.7 %,145520,28.1%
282,Kasaragod,1,GEN,Kerala,Ramachandran Kadannappally,Indian National Congress,578474,462875,80.0 %,5042,1.1%
283,Katihar,25,GEN,Bihar [1947 - 1999],Yuvraj,Bharatiya Lok Dal,528137,317800,60.2 %,129789,40.8%
284,Katwa,40,GEN,West Bengal,Dhirendra Nath Basu,Indian National Congress,575293,369898,64.3 %,11880,3.2%
285,Kendrapara,5,ST,Orissa,Bijayananda Pattanayak,Bharatiya Lok Dal,629067,396224,63.0 %,144376,36.4%
286,Keonjhar,21,ST,Orissa,Govinda Munda,Bharatiya Lok Dal,561230,194821,34.7 %,47745,24.5%
287,Khagaria,31,GEN,Bihar [1947 - 1999],Gyaneshwar Prasad Yadav,Bharatiya Lok Dal,653356,412527,63.1 %,149292,36.2%
288,Khajuraho,6,GEN,Madhya Pradesh [1947 - 1999],Laxmi Narain Nayak,Bharatiya Lok Dal,666008,348780,52.4 %,161785,46.4%
289,Khalilabad,36,GEN,Uttar Pradesh [1947 - 1999],Brij Bhushan Tiwari,Bharatiya Lok Dal,641772,387762,60.4 %,177460,45.8%
290,Khammam,40,GEN,Andhra Pradesh,Jalagam Kondala Rao,Indian National Congress,596499,419829,70.4 %,85989,20.5%
291,Khandwa,34,GEN,Madhya Pradesh [1947 - 1999],Parmanand Thakurdas Govindjiwala,Bharatiya Lok Dal,524670,330516,63.0 %,54023,16.3%
292,Khargone,35,GEN,Madhya Pradesh [1947 - 1999],Rameshwar Patidar,Bharatiya Lok Dal,537398,344491,64.1 %,35858,10.4%
293,Khed,41,SC,Maharashtra,Annasaheb Magar,Indian National Congress,553342,308317,55.7 %,19526,6.3%
294,Kheri,15,GEN,Uttar Pradesh [1947 - 1999],S.B. Shah,Bharatiya Lok Dal,612725,294415,48.1 %,74304,25.2%
295,Khunti,52,ST,Bihar [1947 - 1999],Karia Munda,Bharatiya Lok Dal,560524,190162,33.9 %,34883,18.3%
296,Khurja,77,SC,Uttar Pradesh [1947 - 1999],Mohan Lal,Bharatiya Lok Dal,611632,364979,59.7 %,225817,61.9%
297,Kishanganj,23,GEN,Bihar [1947 - 1999],Halimuddin Ahmed,Bharatiya Lok Dal,598944,292961,48.9 %,80130,27.4%
298,Kodarma,45,GEN,Bihar [1947 - 1999],Ritlal Prasad Verma,Bharatiya Lok Dal,602764,261508,43.4 %,116028,44.4%
299,Kokrajhar,5,ST,Assam,Charan Narzary,Independent,550061,344818,62.7 %,42903,12.4%
300,Kolaba,3,GEN,Maharashtra,Dinkar Balu Patil,Peasants & Workers Party,587580,363056,61.8 %,53321,14.7%
301,Kolar,10,GEN,Karnataka,G. Y. Krishnan,Indian National Congress,594814,361610,60.8 %,73016,20.2%
302,Kolhapur,48,GEN,Maharashtra,Desai Dajiba Balwantrao,Peasants & Workers Party,551595,384229,69.7 %,165,0.0%
303,Kopargaon,40,GEN,Maharashtra,Vikhe Eknathrao Vithalrao,Indian National Congress,510732,277932,54.4 %,98544,35.5%
304,Koppal,4,SC,Karnataka,Sidrameshwara Swamy Basayya,Indian National Congress,613378,344340,56.1 %,125779,36.5%
305,Koraput,12,ST,Orissa,Giridhar Gomango,Indian National Congress,581428,151124,26.0 %,14429,9.5%
306,Kota,14,GEN,Rajasthan,Krishna Kumar Goyal,Bharatiya Lok Dal,549045,357258,65.1 %,149384,41.8%
307,Kottayam,13,GEN,Kerala,Skariah Thomas,Kerala Congress,575946,469180,81.5 %,68695,14.6%
308,Krishnagar,11,GEN,West Bengal,Renupada Das,Communist Party Of India (MARXIST),534845,331367,62.0 %,91368,27.6%
309,Krishnagiri,14,GEN,Tamil Nadu,Periasamy P.V.,All India Anna Dravida Munnetra Kazhagam,583179,349648,60.0 %,119228,34.1%
310,Kurnool,26,GEN,Andhra Pradesh,K. Vijaya Bhaskara Reddy,Indian National Congress,722409,370223,51.3 %,199356,53.8%
311,Kurukshetra,2,GEN,Haryana,Raghbir Singh,Bharatiya Lok Dal,538852,425945,79.1 %,250842,58.9%
312,Kutch,1,SC,Gujarat,Dave Anantray Devshankar,Bharatiya Lok Dal,438528,240319,54.8 %,10817,4.5%
313,Ladakh,4,GEN,Jammu & Kashmir,Parvati Devi,Indian National Congress,64706,45581,70.4 %,2877,6.3%
314,Lakhimpur,14,GEN,Assam,Lalit Kumar Doley,Indian National Congress,555812,287875,51.8 %,65232,22.7%
315,Lakshadweep,1,ST,Lakshadweep,Muhammed Sayeed Padannatha,Indian National Congress,19471,16480,84.6 %,2814,17.1%
316,Lalganj,46,SC,Uttar Pradesh [1947 - 1999],Ramdhan,Bharatiya Lok Dal,666278,349841,52.5 %,164080,46.9%
317,Latur,35,GEN,Maharashtra,Patil Uddhavrao Sahebrrao,Peasants & Workers Party,605229,361142,59.7 %,7851,2.2%
318,Lohardaga,53,ST,Bihar [1947 - 1999],Lalu Oraon,Bharatiya Lok Dal,566103,258952,45.7 %,64883,25.1%
319,Lucknow,20,GEN,Uttar Pradesh [1947 - 1999],Hemwati Nandan Bahuguna,Bharatiya Lok Dal,620406,336306,54.2 %,165345,49.2%
320,Ludhiana,9,SC,Punjab,Jagdev Singh Talwandi,Shiromani Akali Dal,665954,502599,75.5 %,103594,20.6%
321,Machhlishahr,47,GEN,Uttar Pradesh [1947 - 1999],Raj Keshar Singh,Bharatiya Lok Dal,633108,328690,51.9 %,127056,38.7%
322,Machilipatnam,12,GEN,Andhra Pradesh,Ankineedu Maganti,Indian National Congress,642258,465844,72.5 %,76929,16.5%
323,Madhepura,21,GEN,Bihar [1947 - 1999],Bindhyeshwari Prasad Mandal,Bharatiya Lok Dal,655834,469461,71.6 %,200717,42.8%
324,Madhubani,13,GEN,Bihar [1947 - 1999],Hukmdeo Narain Yadav,Bharatiya Lok Dal,694797,475219,68.4 %,57121,12.0%
325,Madras Central,2,GEN,Tamil Nadu,Ramachandran P.,Indian National Congress (ORGANISATION),860316,465600,54.1 %,73411,15.8%
326,Madras North,1,SC,Tamil Nadu,Asai Thambi A.V.P.,Dravida Munetra Kazhagam,852627,470323,55.2 %,45103,9.6%
327,Madras South,3,GEN,Tamil Nadu,Venkataraman R.,Indian National Congress,818878,480835,58.7 %,14829,3.1%
328,Madurai,24,GEN,Tamil Nadu,Swaminathan R.V.,Indian National Congress,761202,489074,64.3 %,134345,27.5%
329,Mahabubnagar,29,GEN,Andhra Pradesh,J. Rameshwara Rao,Indian National Congress,698700,355740,50.9 %,94489,26.6%
330,Maharajganj,6,GEN,Bihar [1947 - 1999],Ram Deo Singh,Bharatiya Lok Dal,682823,448583,65.7 %,251898,56.2%
331,Maharajganj,39,GEN,Uttar Pradesh [1947 - 1999],Shibban Lal Saksena,Bharatiya Lok Dal,567992,303976,53.5 %,131991,43.4%
332,Mahasamund,18,GEN,Madhya Pradesh [1947 - 1999],Brijlal Verma,Bharatiya Lok Dal,567454,325640,57.4 %,79527,24.4%
333,Mahendragarh,7,GEN,Haryana,Manoharlal,Bharatiya Lok Dal,652913,472459,72.4 %,63014,13.3%
334,Mainpuri,69,GEN,Uttar Pradesh [1947 - 1999],Raghunath Singh Verma,Bharatiya Lok Dal,603450,374342,62.0 %,225122,60.1%
335,Malda,7,GEN,West Bengal,Dinesh Chandra Joardar,Communist Party Of India (MARXIST),550001,368914,67.1 %,29708,8.1%
336,Malegaon,13,GEN,Maharashtra,Mahale Hari Shankar,Bharatiya Lok Dal,553698,286484,51.7 %,15437,5.4%
337,Mandi,2,GEN,Himachal Pradesh,Ganga Singh,Bharatiya Lok Dal,493450,265820,53.9 %,35505,13.4%
338,Mandla,24,ST,Madhya Pradesh [1947 - 1999],Shyamlal Dhurve,Bharatiya Lok Dal,497295,195129,39.2 %,72799,37.3%
339,Mandsaur,40,GEN,Madhya Pradesh [1947 - 1999],Laxminarayan Pandey,Bharatiya Lok Dal,598330,409872,68.5 %,51107,12.5%
340,Mandvi,25,GEN,Gujarat,Gamit Chhitubhai Devjibhai,Indian National Congress,541832,340473,62.8 %,39603,11.6%
341,Mandya,14,GEN,Karnataka,K. Chickalingaiah,Indian National Congress,604439,425086,70.3 %,5321,1.3%
342,Mangaldoi,8,GEN,Assam,Hiralal Patowary,Bharatiya Lok Dal,560297,303095,54.1 %,50002,16.5%
343,Mangalore,17,GEN,Karnataka,Janardhana Poojari,Indian National Congress,555815,396203,71.3 %,78328,19.8%
344,Manjeri,5,GEN,Kerala,Ebrahim Sulaiman Sait,Muslim Leage,569228,442328,77.7 %,97201,22.0%
345,Mathura,74,GEN,Uttar Pradesh [1947 - 1999],Maniram,Bharatiya Lok Dal,624422,392137,62.8 %,215265,54.9%
346,Mathurapur,16,GEN,West Bengal,Mukunda Kumar Mondal,Communist Party Of India (MARXIST),601885,397485,66.0 %,41592,10.5%
347,Mavelikara,16,SC,Kerala,B. K. Nair,Indian National Congress,569041,452188,79.5 %,56552,12.5%
348,Mayiladuturai,29,SC,Tamil Nadu,Kudanthai Ramalingam N.,Indian National Congress,647843,496486,76.6 %,74265,15.0%
349,Mayurbhanj,1,GEN,Orissa,Chandra Mohan Sinha,Bharatiya Lok Dal,557848,215006,38.5 %,11349,5.3%
350,Medak,33,GEN,Andhra Pradesh,Mallikarjun,Indian National Congress,635388,371104,58.4 %,143510,38.7%
351,Meerut,80,GEN,Uttar Pradesh [1947 - 1999],Kailash Prakash,Bharatiya Lok Dal,595444,404051,67.9 %,124732,30.9%
352,Mehsana,12,GEN,Gujarat,Patel Maniben Vallabhbhai,Bharatiya Lok Dal,596154,388731,65.2 %,122112,31.4%
353,Midnapore,32,GEN,West Bengal,Ghosal Sudhir Kumar,Bharatiya Lok Dal,578798,338254,58.4 %,34124,10.1%
354,Miryalguda,42,GEN,Andhra Pradesh,G. S. Reddy,Indian National Congress,667777,451295,67.6 %,49679,11.0%
355,Mirzapur,54,GEN,Uttar Pradesh [1947 - 1999],Faqir Ali,Bharatiya Lok Dal,627411,321471,51.2 %,100960,31.4%
356,Misrikh,18,SC,Uttar Pradesh [1947 - 1999],Ram Lal Rahi,Bharatiya Lok Dal,608431,293393,48.2 %,126153,43.0%
357,Mizoram,1,ST,Mizoram,R. Rothuama,Independent,204480,102075,49.9 %,16008,15.7%
358,Mohanlalganj,21,SC,Uttar Pradesh [1947 - 1999],Ram Lal Kuril,Bharatiya Lok Dal,600008,273880,45.7 %,155742,56.9%
359,Monghyr,32,GEN,Bihar [1947 - 1999],Shri Krishna Singh,Bharatiya Lok Dal,699735,517831,74.0 %,173617,33.5%
360,Moradabad,7,GEN,Uttar Pradesh [1947 - 1999],Gulam Mohd. Khan,Bharatiya Lok Dal,551951,309125,56.0 %,138851,44.9%
361,Morena,1,SC,Madhya Pradesh [1947 - 1999],Chhabiram Argal,Bharatiya Lok Dal,588278,281908,47.9 %,81304,28.8%
362,Mormugao,2,GEN,"Goa, Daman And Diu",Faleiro Eduardo Martinho,Indian National Congress,233965,144942,62.0 %,9468,6.5%
363,Motihari,3,GEN,Bihar [1947 - 1999],Thakur Rampati Singh,Bharatiya Lok Dal,658880,366506,55.6 %,73953,20.2%
364,Mukundapuram,10,GEN,Kerala,A. C. George,Indian National Congress,562082,472364,84.0 %,4220,0.9%
365,Murshidabad,9,GEN,West Bengal,Syed Kazim Ali Meerza,Bharatiya Lok Dal,587057,363744,62.0 %,36089,9.9%
366,Muvattupuzha,12,GEN,Kerala,George J. Mathew,Kerala Congress,560833,460769,82.2 %,44820,9.7%
367,Muzaffarnagar,82,GEN,Uttar Pradesh [1947 - 1999],Saeed Murtaza,Bharatiya Lok Dal,573365,405916,70.8 %,182659,45.0%
368,Muzaffarpur,10,GEN,Bihar [1947 - 1999],George Fernandes,Bharatiya Lok Dal,675405,512978,76.0 %,334217,65.2%
369,Mysore,16,GEN,Karnataka,H. D. Tulsidas,Indian National Congress,596468,375720,63.0 %,41668,11.1%
370,Nabadwip,12,GEN,West Bengal,Bibha Ghosh (Goswami ),Communist Party Of India (MARXIST),635456,371933,58.5 %,87286,23.5%
371,Nagaland,1,ST,Nagaland,Rano M. Shaiza,United Democratic Front,473257,250016,52.8 %,8100,3.2%
372,Nagapattinam,30,GEN,Tamil Nadu,Murugaiyan S.G.,Communist Party Of India,663463,523928,79.0 %,40810,7.8%
373,Nagarkurnool,28,SC,Andhra Pradesh,Mailala Bheeshma Dev,Indian National Congress,643692,368824,57.3 %,122763,33.3%
374,Nagaur,25,GEN,Rajasthan,Nathu Ram,Indian National Congress,639881,375278,58.7 %,20154,5.4%
375,Nagercoil,39,GEN,Tamil Nadu,Kumari Ananthan,Indian National Congress (ORGANISATION),646525,435474,67.4 %,74236,17.0%
376,Nagpur,23,GEN,Maharashtra,Awari Gev Mancharsha,Indian National Congress,608981,392163,64.4 %,41553,10.6%
377,Nainital,4,GEN,Uttar Pradesh [1947 - 1999],Bharat Bhushan,Bharatiya Lok Dal,540445,326678,60.5 %,84646,25.9%
378,Nalanda,34,GEN,Bihar [1947 - 1999],Birendra Prasad,Bharatiya Lok Dal,749243,536717,71.6 %,141022,26.3%
379,Nalgonda,41,GEN,Andhra Pradesh,Mohd. Abdul Lateef,Indian National Congress,631059,403761,64.0 %,107034,26.5%
380,Nanded,30,GEN,Maharashtra,Dhondge Keshavrao Shankarrao,Peasants & Workers Party,649735,385300,59.3 %,133820,34.7%
381,Nandurbar,15,GEN,Maharashtra,Naik Surupsingh Hariya,Indian National Congress,520515,322606,62.0 %,67440,20.9%
382,Nandyal,27,GEN,Andhra Pradesh,Neelam Sanjeeva Reddy,Bharatiya Lok Dal,675340,496200,73.5 %,35743,7.2%
383,Narasapur,10,GEN,Andhra Pradesh,Alluri Subhash Chandra Bose,Indian National Congress,670999,472161,70.4 %,114357,24.2%
384,Narasaraopet,17,GEN,Andhra Pradesh,K Brahmananda Reddy,Indian National Congress,750248,434640,57.9 %,88071,20.3%
385,Nashik,12,ST,Maharashtra,Hande Vithalrao Ganpatrao,Bharatiya Lok Dal,611491,334516,54.7 %,11241,3.4%
386,Nawada,42,SC,Bihar [1947 - 1999],Nathuni Ram,Bharatiya Lok Dal,741486,518053,69.9 %,362701,70.0%
387,Nellore,19,SC,Andhra Pradesh,Kamakshaiah Doddavarapu,Indian National Congress,752778,423182,56.2 %,142780,33.7%
388,New Delhi,1,GEN,Delhi [1977 Onwards],Atal Bihari Vajpayee,Bharatiya Lok Dal,270702,178112,65.8 %,77186,43.3%
389,Nilgiris,18,GEN,Tamil Nadu,Ramalingam P.S.,All India Anna Dravida Munnetra Kazhagam,695566,444544,63.9 %,59346,13.3%
390,Nizamabad,34,GEN,Andhra Pradesh,Mudaganti Ram Gopal Reddy,Indian National Congress,568014,372331,65.6 %,159393,42.8%
391,Nowgong,10,GEN,Assam,Dev Kanta Borooah,Indian National Congress,577927,319288,55.3 %,54219,17.0%
392,Nowrangpur,13,GEN,Orissa,Khagapati Pradhani,Indian National Congress,522394,144408,27.6 %,3031,2.1%
393,Ongole,18,GEN,Andhra Pradesh,Puli Venkata Reddy,Indian National Congress,741462,462001,62.3 %,89325,19.3%
394,Osmanabad,36,GEN,Maharashtra,Shrangare Tukaram Sadashiv,Indian National Congress,566631,281661,49.7 %,61544,21.9%
395,Ottapalam,8,GEN,Kerala,K. Kunhambu,Indian National Congress,574543,440315,76.6 %,35721,8.1%
396,Outer Delhi,3,GEN,Delhi [1977 Onwards],Brahm Perkash,Bharatiya Lok Dal,443858,316256,71.3 %,104366,33.0%
397,Outer Manipur,2,ST,Manipur,Yangmaso Shaiza,Indian National Congress,380305,222264,58.4 %,76062,34.2%
398,Padrauna,40,GEN,Uttar Pradesh [1947 - 1999],Ram Dhari Shastri,Bharatiya Lok Dal,620038,322441,52.0 %,119098,36.9%
399,Palamau,54,SC,Bihar [1947 - 1999],Ramdeni Ram,Bharatiya Lok Dal,579353,265364,45.8 %,162839,61.4%
400,Palani,22,GEN,Tamil Nadu,Subramaniam C.,Indian National Congress,738018,503041,68.2 %,221768,44.1%
401,Palghat,7,GEN,Kerala,A. Sunnasahib,Indian National Congress,589253,439779,74.6 %,14871,3.4%
402,Pali,21,GEN,Rajasthan,Amrit Nehata,Bharatiya Lok Dal,608370,334670,55.0 %,88247,26.4%
403,Panaji,1,GEN,"Goa, Daman And Diu",Kasar Amrut Shivram,Maharashtrawadi Gomantak,243439,154844,63.6 %,11066,7.1%
404,Pandharpur,38,SC,Maharashtra,Thorat Sandipan Bhagwan,Indian National Congress,618058,318855,51.6 %,98452,30.9%
405,Panskura,29,SC,West Bengal,Abha Maiti,Bharatiya Lok Dal,519863,373170,71.8 %,98137,26.3%
