No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
17,GEN,Maharashtra,Gunwantrao Rambhau Sarode,Bharatiya Janta Party,1056966,521257,49.3 %,84087,16.1%
32,GEN,Maharashtra,Pawar Uttamsing Rajdharsing,Bharatiya Janta Party,1072289,626742,58.5 %,118630,18.9%
22,GEN,Rajasthan,Parsa Ram Meghwal,Indian National Congress,1258268,474688,37.7 %,5842,1.2%
3,SC,West Bengal,Jitendra Nath Das,Communist Party Of India (MARXIST),1065484,919243,86.3 %,112462,12.2%
6,GEN,Jammu & Kashmir,Mangat Ram Sharma,Indian National Congress,1206499,581314,48.2 %,46733,8.0%
3,GEN,Gujarat,Koradia Chandreshbhai Valjibhai(C.PATEL),Bharatiya Janta Party,912427,324518,35.6 %,21747,6.7%
50,GEN,Bihar [1947 - 1999],Bhardwaj Nitish Janardan,Bharatiya Janta Party,1138130,673748,59.2 %,55137,8.2%
8,GEN,West Bengal,Md. Idris Ali,Indian National Congress,1047225,887589,84.8 %,13122,1.5%
14,GEN,Madhya Pradesh [1947 - 1999],Manaharan Lal Pandey,Bharatiya Janta Party,1149163,667588,58.1 %,33732,5.1%
48,GEN,Uttar Pradesh [1947 - 1999],Raj Keshar,Bharatiya Janta Party,1260933,585626,46.4 %,42645,7.3%
39,ST,Madhya Pradesh [1947 - 1999],Dileep Singh Bhuria,Indian National Congress,1059977,502609,47.4 %,27899,5.6%
15,GEN,Rajasthan,Vasundhara Raje,Bharatiya Janta Party,1054034,480543,45.6 %,48884,10.2%
14,GEN,Bihar [1947 - 1999],Devendra Prasad Yadav,Janata Dal,1057257,671933,63.6 %,78149,11.6%
61,GEN,Uttar Pradesh [1947 - 1999],Rajendra Agnihotri,Bharatiya Janta Party,1278326,687216,53.8 %,29684,4.3%
33,ST,West Bengal,Rupchand Murmu,Communist Party Of India (MARXIST),943958,827962,87.7 %,347264,41.9%
4,GEN,Rajasthan,Shees Ram Ola,All India Indira Congress (TIWARI),1284328,655953,51.1 %,12799,2.0%
24,GEN,Rajasthan,Ashok Gahlot,Indian National Congress,1391408,602985,43.3 %,54367,9.0%
12,GEN,Assam,Bijoy Krishna Handique,Indian National Congress,936286,677369,72.4 %,47239,7.0%
15,GEN,West Bengal,Sanat Kumar Mandal,Revolutionary Socialist Party,1063564,894592,84.1 %,143927,16.1%
4,SC,Punjab,Darbara Singh,Shiromani Akali Dal,1071422,627014,58.5 %,18555,3.0%
6,GEN,Gujarat,Chikhaliya Bhavnaben Devarajbhai,Bharatiya Janta Party,1051940,337702,32.1 %,108672,32.2%
19,ST,Gujarat,Dinsha Patel,Indian National Congress,1034342,371499,35.9 %,49571,13.3%
83,GEN,Uttar Pradesh [1947 - 1999],Munawwar Hasan,Samajwadi Party,1088513,572869,52.6 %,10022,1.7%
30,GEN,Uttar Pradesh [1947 - 1999],Beni Prasad Verma,Samajwadi Party,1095140,521141,47.6 %,23923,4.6%
7,GEN,Andhra Pradesh,Gopalakrishna Thota,Telugu Desam,1164878,745143,64.0 %,38499,5.2%
14,GEN,Orissa,Bhakta Charan Das,Samata Party,965322,584472,60.6 %,53033,9.1%
11,GEN,Assam,Keshab Mahanta,Asom Gana Parisad,999960,778723,77.9 %,1616,0.2%
11,GEN,Karnataka,H D Kumaraswamy,Janata Dal,1724264,1066862,61.9 %,107404,10.1%
22,SC,Karnataka,Anant D. Hegde,Bharatiya Janta Party,1068507,662500,62.0 %,55896,8.4%
3,GEN,Himachal Pradesh,Sat Mahajan,Indian National Congress,875520,536078,61.2 %,37524,7.0%
19,ST,Madhya Pradesh [1947 - 1999],Chhabila Arvind Netam,Indian National Congress,978117,579770,59.3 %,24420,4.2%
67,GEN,Uttar Pradesh [1947 - 1999],Chandra Bhusan Singh Alias Munoo Baboo,Bharatiya Janta Party,1140665,590007,51.7 %,54880,9.3%
65,GEN,Uttar Pradesh [1947 - 1999],Jagatveer Singh Dron,Bharatiya Janta Party,1394642,579199,41.5 %,151090,26.1%
16,GEN,Gujarat,Chauhan Jaysinhji Mansingji,Bharatiya Janta Party,1102487,309748,28.1 %,83937,27.1%
45,GEN,Maharashtra,Chavan Prithviraj Dajisaheb,Indian National Congress,1015322,627156,61.8 %,149596,23.9%
1,SC,Assam,Dwaraka Nath Das,Bharatiya Janta Party,876542,703354,80.2 %,32749,4.7%
37,GEN,Andhra Pradesh,Lgandula Ramana,Telugu Desam,1243641,700484,56.3 %,51761,7.4%
3,SC,Haryana,Ishwar Dayal Swami,Bharatiya Janta Party,1149141,829916,72.2 %,191865,23.1%
7,GEN,Delhi [1977 Onwards],Meira Kumar,Indian National Congress,543590,292042,53.7 %,41890,14.3%
26,GEN,Tamil Nadu,Natrayan.K,Tamil Maanila Congress (MOOPANAR),1072924,763924,71.2 %,168274,22.0%
1,GEN,Kerala,T. Govindan,Communist Party Of India (MARXIST),1119715,812375,72.6 %,74730,9.2%
25,GEN,Bihar [1947 - 1999],Tariq Anwar,Indian National Congress,995649,646733,65.0 %,88286,13.7%
40,GEN,West Bengal,Mahaboob Zahedi,Communist Party Of India (MARXIST),1114733,960916,86.2 %,106202,11.1%
5,ST,Orissa,Srikanta Kumar Jena,Janata Dal,1046128,655988,62.7 %,39712,6.1%
21,ST,Orissa,Madhaba Sardar,Indian National Congress,1008499,627576,62.2 %,125910,20.1%
31,GEN,Bihar [1947 - 1999],Anil Kumar Yadav,Janata Dal,1033568,683001,66.1 %,12377,1.8%
6,GEN,Madhya Pradesh [1947 - 1999],Uma Bharti,Bharatiya Janta Party,1286423,673043,52.3 %,131090,19.5%
36,GEN,Uttar Pradesh [1947 - 1999],Surendra Yadav,Janata Dal,1173445,596019,50.8 %,43188,7.2%
40,GEN,Andhra Pradesh,Veerabhadram Tammineni,Communist Party Of India (MARXIST),1232719,895441,72.6 %,63291,7.1%
34,GEN,Madhya Pradesh [1947 - 1999],Nand Kumar Singh Chouhan (NANDU BHAIYA),Bharatiya Janta Party,1050533,589011,56.1 %,94350,16.0%
35,GEN,Madhya Pradesh [1947 - 1999],Rameshwar Pattidhar,Bharatiya Janta Party,1050923,604964,57.6 %,45207,7.5%
41,SC,Maharashtra,Sherkar Nivruttisheth Namdeo,Indian National Congress,1029058,575342,55.9 %,18569,3.2%
15,GEN,Uttar Pradesh [1947 - 1999],Gaindanlal Kanaujiya,Bharatiya Janta Party,1211803,486835,40.2 %,5444,1.1%
52,ST,Bihar [1947 - 1999],Kariya Munda,Bharatiya Janta Party,823012,432147,52.5 %,27672,6.4%
77,SC,Uttar Pradesh [1947 - 1999],Ashok Kumar Pradhan,Bharatiya Janta Party,1250559,442382,35.4 %,160803,36.3%
23,GEN,Bihar [1947 - 1999],Taslimuddin,Janata Dal,1130883,694288,61.4 %,164583,23.7%
45,GEN,Bihar [1947 - 1999],Ritlal Prasad Verma,Bharatiya Janta Party,1114679,629464,56.5 %,46954,7.5%
5,ST,Assam,Louis Islary,Independent,977897,807919,82.6 %,31554,3.9%
3,GEN,Maharashtra,Antulay Abdul Rahiman A. Gafoor,Indian National Congress,1085702,639816,58.9 %,4007,0.6%
10,GEN,Karnataka,K H Muniyappa,Indian National Congress,1045861,714163,68.3 %,17042,2.4%
48,GEN,Maharashtra,Gaikwad Udaysingrao Nanasaheb,Indian National Congress,1038333,548946,52.9 %,68325,12.4%
40,GEN,Maharashtra,Badade Bhimrao Vishnuji,Bharatiya Janta Party,924596,520793,56.3 %,20251,3.9%
4,SC,Karnataka,Basavaraj Raya Reddy,Janata Dal,1167339,623051,53.4 %,75841,12.2%
12,ST,Orissa,Giridhari Gamang,Indian National Congress,1016453,543960,53.5 %,137653,25.3%
14,GEN,Rajasthan,Dau Dayal Joshi,Bharatiya Janta Party,1166466,526810,45.2 %,685,0.1%
13,GEN,Kerala,Remesh Chennithala,Indian National Congress,968334,701660,72.5 %,67048,9.6%
11,GEN,West Bengal,Ajoay Mukhopadhyay,Communist Party Of India (MARXIST),1069985,911616,85.2 %,38910,4.3%
14,GEN,Tamil Nadu,Narasimhan C,Tamil Maanila Congress (MOOPANAR),1077964,715036,66.3 %,194676,27.2%
26,GEN,Andhra Pradesh,Kotla Vijaya Bhaskara Reddy,Indian National Congress,1149138,712995,62.1 %,32819,4.6%
2,GEN,Haryana,Om Parkash Jindal,Haryana Vikas Party,1100534,829029,75.3 %,51777,6.2%
1,SC,Gujarat,Gadhvi Pushpadan Shambhudan,Bharatiya Janta Party,826716,316711,38.3 %,101972,32.2%
4,GEN,Jammu & Kashmir,Phuntsog Namgyal,Indian National Congress,131402,106347,80.9 %,10135,9.5%
14,GEN,Assam,Arun Kr. Sarma,Asom Gana Parisad,921444,707589,76.8 %,3440,0.5%
1,ST,Lakshadweep,P M Sayeed,Indian National Congress,34111,30373,89.0 %,1034,3.4%
46,SC,Uttar Pradesh [1947 - 1999],Bali Ram,Bahujan Samaj Party,1302152,618690,47.5 %,54190,8.8%
35,GEN,Maharashtra,Shivraj Vishwanath Patil,Indian National Congress,1045017,683273,65.4 %,79372,11.6%
53,ST,Bihar [1947 - 1999],Lalit Oraon,Bharatiya Janta Party,938725,486746,51.9 %,40569,8.3%
20,GEN,Uttar Pradesh [1947 - 1999],Atal Bihari Vajpayee,Bharatiya Janta Party,1488169,769886,51.7 %,118671,15.4%
9,SC,Punjab,Amrik Singh Aliwal,Shiromani Akali Dal,1337591,803903,60.1 %,71250,8.9%
47,GEN,Uttar Pradesh [1947 - 1999],Ram Vilas Veddanti,Bharatiya Janta Party,1240619,592055,47.7 %,43130,7.3%
12,GEN,Andhra Pradesh,Satyanarayana Kaikala,Telugu Desam,1002527,710399,70.9 %,81507,11.5%
21,GEN,Bihar [1947 - 1999],Sharad Yadav,Janata Dal,999278,624787,62.5 %,237144,38.0%
13,GEN,Bihar [1947 - 1999],Chaturanan Mishra,Communist Party Of India,1106232,607552,54.9 %,53980,8.9%
2,GEN,Tamil Nadu,Murasoli Maran,Dravida Munetra Kazhagam,1036649,598008,57.7 %,280467,46.9%
1,SC,Tamil Nadu,Somu N.V.N,Dravida Munetra Kazhagam,1553112,867464,55.9 %,389617,44.9%
3,GEN,Tamil Nadu,Baalu T.R,Dravida Munetra Kazhagam,1572764,885229,56.3 %,339181,38.3%
24,GEN,Tamil Nadu,Ram Babu A.G.S,Tamil Maanila Congress (MOOPANAR),1200197,747383,62.3 %,189806,25.4%
29,GEN,Andhra Pradesh,Mallikarjun,Indian National Congress,1243625,744665,59.9 %,5498,0.7%
6,GEN,Bihar [1947 - 1999],Ram Bahadur Singh,Samata Party,985888,606896,61.6 %,152854,25.2%
39,GEN,Uttar Pradesh [1947 - 1999],Pankaj Chaudhary,Bharatiya Janta Party,1090652,616754,56.6 %,33550,5.4%
18,GEN,Madhya Pradesh [1947 - 1999],Pawan Diwan,Indian National Congress,1018379,625749,61.5 %,6940,1.1%
7,GEN,Haryana,Ram Singh,Bharatiya Janta Party,1237989,819455,66.2 %,48035,5.9%
69,GEN,Uttar Pradesh [1947 - 1999],Mulayam Singh Yadav,Samajwadi Party,1095625,651766,59.5 %,51958,8.0%
7,GEN,West Bengal,Abul Barkat Ataul G K Choudhury,Indian National Congress,1013006,876253,86.5 %,89822,10.3%
13,GEN,Maharashtra,Raut Kacharu Bhau,Bharatiya Janta Party,1056717,440882,41.7 %,12881,2.9%
2,GEN,Himachal Pradesh,Sukh Ram,Indian National Congress,909750,530204,58.3 %,153223,28.9%
24,ST,Madhya Pradesh [1947 - 1999],Faggansingh Kulaste,Bharatiya Janta Party,955278,595112,62.3 %,64620,10.9%
40,GEN,Madhya Pradesh [1947 - 1999],Laxminarian Pandey,Bharatiya Janta Party,1157505,712130,61.5 %,79848,11.2%
25,GEN,Gujarat,Gamit Chhitubhai Devjibhai,Indian National Congress,1043773,501507,48.1 %,30360,6.1%
14,GEN,Karnataka,Krishna,Janata Dal,1040251,745896,71.7 %,33386,4.5%
8,GEN,Assam,Birendra Prasad Baishya,Asom Gana Parisad,1049353,835009,79.6 %,99132,11.9%
17,GEN,Karnataka,V Dhananjaya Kumar,Bharatiya Janta Party,964856,694171,72.0 %,14499,2.1%
5,GEN,Kerala,E.Ahammed,Muslim Leage,1153025,795721,69.0 %,54971,6.9%
74,GEN,Uttar Pradesh [1947 - 1999],Tej Veer Singh,Bharatiya Janta Party,1161051,505120,43.5 %,64572,12.8%
16,GEN,West Bengal,Radhika Ranjan Pramanik,Communist Party Of India (MARXIST),1015000,875404,86.3 %,16068,1.8%
16,SC,Kerala,P.J.Kurien,Indian National Congress,880820,633593,71.9 %,21076,3.3%
29,SC,Tamil Nadu,Rajendiran P.V,Tamil Maanila Congress (MOOPANAR),950926,690094,72.6 %,153544,22.2%
1,GEN,Orissa,Sushila Tiriya,Indian National Congress,935029,574112,61.4 %,111189,19.4%
33,GEN,Andhra Pradesh,M. Baaga Reddy,Indian National Congress,1228169,787529,64.1 %,27489,3.5%
80,GEN,Uttar Pradesh [1947 - 1999],Amar Pal Singh,Bharatiya Janta Party,1247506,646183,51.8 %,168116,26.0%
12,GEN,Gujarat,Dr. A.K. Patel,Bharatiya Janta Party,1060992,478683,45.1 %,125151,26.1%
32,GEN,West Bengal,Indrajit Gupta,Communist Party Of India,1051814,889188,84.5 %,210649,23.7%
42,GEN,Andhra Pradesh,Narsimha Reddy Baddam,Indian National Congress,1267248,846166,66.8 %,43876,5.2%
54,GEN,Uttar Pradesh [1947 - 1999],Phulan Devi,Samajwadi Party,1315877,716958,54.5 %,37046,5.2%
18,SC,Uttar Pradesh [1947 - 1999],Chaudhary Paragi Lal,Bharatiya Janta Party,1081246,466046,43.1 %,9215,2.0%
1,ST,Mizoram,Silvera C.,Indian National Congress,408094,299593,73.4 %,14481,4.8%
21,SC,Uttar Pradesh [1947 - 1999],Purnima Verma,Bharatiya Janta Party,1114946,473918,42.5 %,32439,6.8%
32,GEN,Bihar [1947 - 1999],Brahmanand Mandal,Samata Party,1132807,742042,65.5 %,21146,2.8%
7,GEN,Uttar Pradesh [1947 - 1999],Shafiqur Rahman Warq,Samajwadi Party,1122457,644081,57.4 %,1885,0.3%
1,SC,Madhya Pradesh [1947 - 1999],Ashok Argal,Bharatiya Janta Party,1217163,410375,33.7 %,37979,9.3%
2,GEN,Goa,Alemao Churchil Braz,United Goans Democratic Party,481634,273466,56.8 %,25292,9.2%
3,GEN,Bihar [1947 - 1999],Radha Mohan Singh,Bharatiya Janta Party,1115608,618512,55.4 %,127809,20.7%
10,GEN,Kerala,P. C.Chacko,Indian National Congress,1004427,749439,74.6 %,24757,3.3%
9,SC,Maharashtra,Ram Naik,Bharatiya Janta Party,2156292,871802,40.4 %,256260,29.4%
6,GEN,Maharashtra,Narayan Gajanan Athawale,Shiv Sena,1118207,512190,45.8 %,89199,17.4%
7,SC,Maharashtra,Pramod Mahajan,Bharatiya Janta Party,1930084,926340,48.0 %,191563,20.7%
8,GEN,Maharashtra,Madhukar Sirpotdar,Shiv Sena,1517813,714962,47.1 %,88469,12.4%
4,GEN,Maharashtra,Jayawantiben Mehta,Bharatiya Janta Party,710750,314158,44.2 %,23208,7.4%
5,GEN,Maharashtra,Mohan Vishnu Rawale,Shiv Sena,802038,371168,46.3 %,58652,15.8%
9,GEN,West Bengal,Masudal Hossain Syed,Communist Party Of India (MARXIST),1137493,996549,87.6 %,37185,3.7%
12,GEN,Kerala,P C Thomas,Kerala Congress(M),975024,719419,73.8 %,121896,16.9%
82,GEN,Uttar Pradesh [1947 - 1999],Sohan Veer,Bharatiya Janta Party,1193451,578981,48.5 %,34652,6.0%
10,GEN,Bihar [1947 - 1999],Jai Narain Pd. Nishad,Janata Dal,1056122,645837,61.2 %,80074,12.4%
16,GEN,Karnataka,Srikantadatta Narasimharaja Wadeyay,Indian National Congress,1210602,757105,62.5 %,11676,1.5%
12,GEN,West Bengal,Asim Bala,Communist Party Of India (MARXIST),1306288,1135004,86.9 %,39068,3.4%
1,ST,Nagaland,Imchalemba,Indian National Congress,874518,772402,88.3 %,197403,25.6%
30,GEN,Tamil Nadu,Selvarasu M,Communist Party Of India,982040,727883,74.1 %,221346,30.4%
28,SC,Andhra Pradesh,M. Jagannath,Telugu Desam,1196561,782603,65.4 %,76375,9.8%
25,GEN,Rajasthan,Nathuram Mirdha,Indian National Congress,1169910,568281,48.6 %,159034,28.0%
39,GEN,Tamil Nadu,Dennis N.,Tamil Maanila Congress (MOOPANAR),974018,583299,59.9 %,27697,4.7%
23,GEN,Maharashtra,Banwarilal Purohit,Bharatiya Janta Party,1514336,784944,51.8 %,121502,15.5%
4,GEN,Uttar Pradesh [1947 - 1999],Narayan Dutt Tiwari,All India Indira Congress (TIWARI),1337954,791948,59.2 %,155845,19.7%
34,GEN,Bihar [1947 - 1999],George Ferandes,Samata Party,1173101,890894,75.9 %,167864,18.8%
41,GEN,Andhra Pradesh,Bommagani Dharma Bixam,Communist Party Of India,1427026,851118,59.6 %,71757,8.4%
30,GEN,Maharashtra,Kunturkar Gangadharrao Mohanrao Deshmukh,Indian National Congress,1154935,642602,55.6 %,11936,1.9%
15,GEN,Maharashtra,Gavit Manikrao Hodlya,Indian National Congress,1041333,523303,50.3 %,33309,6.4%
27,GEN,Andhra Pradesh,P.V.Narasimha Rao,Indian National Congress,1123150,740886,66.0 %,98530,13.3%
10,GEN,Andhra Pradesh,Kothapalli Subbarayudu (PEDABABU),Telugu Desam,1020648,723415,70.9 %,17626,2.4%
17,GEN,Andhra Pradesh,Saidaiah Kota,Telugu Desam,1274459,728500,57.2 %,18958,2.6%
12,ST,Maharashtra,Godase Rajaram Parashram,Shiv Sena,1305210,634101,48.6 %,73539,11.6%
42,SC,Bihar [1947 - 1999],Kameshwar Paswan,Bharatiya Janta Party,1177385,751302,63.8 %,96914,12.9%
19,SC,Andhra Pradesh,Panabaka Lakshmi,Indian National Congress,1182875,700857,59.3 %,68185,9.7%
1,GEN,Delhi [1977 Onwards],Jagmohan,Bharatiya Janta Party,505445,261159,51.7 %,58315,22.3%
18,GEN,Tamil Nadu,Balasubramaniyan S.R.,Tamil Maanila Congress (MOOPANAR),1199070,796437,66.4 %,281376,35.3%
34,GEN,Andhra Pradesh,Atmacharan Reddy,Indian National Congress,1134641,698512,61.6 %,43599,6.2%
10,GEN,Assam,Muhi Ram Saikia,Asom Gana Parisad,973312,765111,78.6 %,54128,7.1%
13,GEN,Orissa,Khagapati Pradhani,Indian National Congress,991756,575215,58.0 %,203804,35.4%
18,GEN,Andhra Pradesh,Parvathamma Magunta,Indian National Congress,1184978,765305,64.6 %,50060,6.5%
36,GEN,Maharashtra,Kamble Shivaji Vithalrao,Shiv Sena,915924,487084,53.2 %,15919,3.3%
8,GEN,Kerala,S. Ajayakumar,Communist Party Of India (MARXIST),1035900,695723,67.2 %,23064,3.3%
3,GEN,Delhi [1977 Onwards],Krishan Lal Sharma,Bharatiya Janta Party,2821566,1357799,48.1 %,233133,17.2%
2,ST,Manipur,Meijinlung Kamson,Indian National Congress,664337,554047,83.4 %,68108,12.3%
40,GEN,Uttar Pradesh [1947 - 1999],Ram Nagina Misra,Bharatiya Janta Party,1181908,608252,51.5 %,46520,7.6%
54,SC,Bihar [1947 - 1999],Braj Mohan Ram,Bharatiya Janta Party,1064450,486776,45.7 %,54415,11.2%
22,GEN,Tamil Nadu,Kaarvendhan .S.K,Tamil Maanila Congress (MOOPANAR),1067963,735759,68.9 %,192633,26.2%
7,GEN,Kerala,N N Krishnadas,Communist Party Of India (MARXIST),1062083,737849,69.5 %,23423,3.2%
21,GEN,Rajasthan,Gumanmal Lodha,Bharatiya Janta Party,1070655,373853,34.9 %,14471,3.9%
1,GEN,Goa,Khalap Ramakant D,Maharashtrawadi Gomantak,387459,216081,55.8 %,10545,4.9%
38,SC,Maharashtra,Thorat Sandipan Bhagwan,Indian National Congress,1058285,520828,49.2 %,75088,14.4%
29,SC,West Bengal,Geeta Mukherjee,Communist Party Of India,940752,845529,89.9 %,111388,13.2%
31,GEN,Maharashtra,Jadhav Suresh Ramrao,Shiv Sena,1017568,494696,48.6 %,114875,23.2%
2,ST,Andhra Pradesh,Pradeep Kumar Dev Vyricherla,Indian National Congress,914919,593995,64.9 %,8288,1.4%
13,GEN,Gujarat,Maheshkumar Mithabhai Kanodia,Bharatiya Janta Party,971332,313364,32.3 %,88823,28.3%
8,SC,Punjab,Prem Singh Chandumajra,Shiromani Akali Dal,1183865,697006,58.9 %,49066,7.0%
35,GEN,Bihar [1947 - 1999],Ramkripal Yadav,Janata Dal,1452297,781874,53.8 %,39467,5.0%
36,SC,Andhra Pradesh,G. Venkat Swamy,Indian National Congress,1308342,721246,55.1 %,65465,9.1%
28,GEN,Tamil Nadu,Raja A,Dravida Munetra Kazhagam,981968,721728,73.5 %,214247,29.7%
25,GEN,Tamil Nadu,Gnanagurusamy R,Dravida Munetra Kazhagam,1022160,686544,67.2 %,131337,19.1%
5,SC,Punjab,Harbhajan Lakha,Bahujan Samaj Party,1054420,628548,59.6 %,49867,7.9%
15,GEN,Orissa,Mrutyunjya Nayak,Indian National Congress,1048821,592938,56.5 %,33658,5.7%
55,GEN,Uttar Pradesh [1947 - 1999],Jang Bahadur Singh Patel,Samajwadi Party,1177561,564050,47.9 %,16021,2.8%
13,GEN,Uttar Pradesh [1947 - 1999],Maneka Gandhi,Janata Dal,1106846,673796,60.9 %,283310,42.0%
21,GEN,Tamil Nadu,Kandasamy .V,Tamil Maanila Congress (MOOPANAR),968739,696457,71.9 %,138891,19.9%
1,GEN,Pondicherry,M.O.H. Farook,Indian National Congress,633635,477437,75.4 %,284,0.1%
6,GEN,Kerala,G.M.Banatwalla,Muslim Leage,1091180,733423,67.2 %,79295,10.8%
5,GEN,Gujarat,Javiya Gordhanbhai Jadavbhai,Bharatiya Janta Party,881758,304353,34.5 %,75000,24.6%
24,GEN,Uttar Pradesh [1947 - 1999],Rajkumari Ratna Singh,Indian National Congress,1167505,475751,40.8 %,21637,4.5%
32,GEN,Tamil Nadu,"Siva,n.",Dravida Munetra Kazhagam,1124547,828411,73.7 %,177873,21.5%
42,SC,Maharashtra,Suresh Kalmadi,Indian National Congress,1364999,778102,57.0 %,86995,11.2%
8,SC,Orissa,Pinaki Mishra,Indian National Congress,1101266,689395,62.6 %,112308,16.3%
24,GEN,Bihar [1947 - 1999],Rajesh Ranjan,Samajwadi Party,1074893,679646,63.2 %,316155,46.5%
34,GEN,West Bengal,Bir Sing Mahato,All India Forward Bloc,967200,765833,79.2 %,109870,14.3%
18,GEN,Kerala,N.K.Premachandran,Revolutionary Socialist Party,1022175,738078,72.2 %,78370,10.6%
23,GEN,Uttar Pradesh [1947 - 1999],Ashok Singh S/o Devenra Nath Singh,Bharatiya Janta Party,1163423,499838,43.0 %,33887,6.8%
3,GEN,Karnataka,Raja Rangappa Naik,Janata Dal,1131242,497160,44.0 %,36405,7.3%
5,GEN,West Bengal,Subrata Mukherjee,Communist Party Of India (MARXIST),1111134,901716,81.2 %,10956,1.2%
13,ST,Madhya Pradesh [1947 - 1999],Nand Kumar Sai,Bharatiya Janta Party,923706,646380,70.0 %,9198,1.4%
17,GEN,Madhya Pradesh [1947 - 1999],Ramesh Vaish,Bharatiya Janta Party,1104342,570727,51.7 %,50739,8.9%
8,GEN,Andhra Pradesh,Chitturi Ravindra,Indian National Congress,1120483,769949,68.7 %,95166,12.4%
22,GEN,Andhra Pradesh,Annaiahgari Sai Prathap,Indian National Congress,984399,590161,60.0 %,50392,8.5%
1,ST,Maharashtra,Suresh Prabhu,Shiv Sena,796189,440744,55.4 %,66136,15.0%
32,GEN,Madhya Pradesh [1947 - 1999],Laxman Singh,Indian National Congress,1040216,602394,57.9 %,25201,4.2%
4,GEN,Gujarat,Dr. Kathiriya Vallabhbhai Ramjibhai,Bharatiya Janta Party,1349629,416933,30.9 %,40820,9.8%
26,ST,Bihar [1947 - 1999],Thomas Hansda,Indian National Congress,948273,569597,60.1 %,143162,25.1%
22,GEN,Madhya Pradesh [1947 - 1999],Ashok Sharma,Bharatiya Janta Party,968069,522111,53.9 %,59276,11.4%
34,GEN,Tamil Nadu,"Udayappan, S.P.",Tamil Maanila Congress (MOOPANAR),1044597,664914,63.7 %,195304,29.4%
8,GEN,Uttar Pradesh [1947 - 1999],Begam Nurbano Alias Mehtab Zamani Begum,Indian National Congress,1286323,746812,58.1 %,74747,10.0%
22,ST,Maharashtra,Meghe Dattatray Raghobaji,Indian National Congress,1032993,559065,54.1 %,25722,4.6%
49,GEN,Bihar [1947 - 1999],Ram Tahal Choudhary,Bharatiya Janta Party,1126150,611980,54.3 %,39292,6.4%
15,GEN,Tamil Nadu,Kandasamy K,Tamil Maanila Congress (MOOPANAR),1047694,694523,66.3 %,193178,27.8%
2,GEN,Maharashtra,Anant Gangaram Geete,Shiv Sena,836562,482511,57.7 %,131784,27.3%
9,GEN,Madhya Pradesh [1947 - 1999],Buddha Hasen Patel,Bahujan Samaj Party,1281030,600062,46.8 %,12382,2.1%
53,SC,Uttar Pradesh [1947 - 1999],Ramshakal,Bharatiya Janta Party,1399438,637343,45.5 %,71841,11.3%
5,GEN,Haryana,Bhupender,Indian National Congress,949760,644480,67.9 %,2664,0.4%
7,GEN,Punjab,Basant Singh,Shiromani Akali Dal,1172773,689353,58.8 %,71091,10.3%
16,SC,Bihar [1947 - 1999],Pitambar Paswan,Janata Dal,1059508,606085,57.2 %,122931,20.3%
15,GEN,Gujarat,Nisha Amarsinh Chaudhary,Indian National Congress,1095704,437460,39.9 %,40611,9.3%
5,SC,Madhya Pradesh [1947 - 1999],Virendra Kumar,Bharatiya Janta Party,1044260,481182,46.1 %,148317,30.8%
84,GEN,Uttar Pradesh [1947 - 1999],Nakli Singh,Bharatiya Janta Party,1217126,720217,59.2 %,2499,0.3%
20,GEN,Bihar [1947 - 1999],Dinesh Chandera Yadav,Janata Dal,1131004,709379,62.7 %,152445,21.5%
49,SC,Uttar Pradesh [1947 - 1999],Vidhyasagar,Bharatiya Janta Party,1277666,601061,47.0 %,24369,4.1%
16,GEN,Tamil Nadu,Devadass.R,Tamil Maanila Congress (MOOPANAR),1080762,706406,65.4 %,120885,17.1%
42,GEN,Uttar Pradesh [1947 - 1999],Harivansh Sahay,Samajwadi Party,1252901,517179,41.3 %,35696,6.9%
17,GEN,Rajasthan,Bheru Lal Meena,Indian National Congress,1086277,447955,41.2 %,34767,7.8%
17,GEN,Bihar [1947 - 1999],Ajit Kumar Mehta,Janata Dal,1217114,735266,60.4 %,141934,19.3%
17,GEN,Orissa,Krupasindhu Bhoi,Indian National Congress,1109875,661476,59.6 %,84507,12.8%
9,GEN,Uttar Pradesh [1947 - 1999],Dharmpal Yadav Alias D.P.Yadav,Bahujan Samaj Party,1065746,535704,50.3 %,4894,0.9%
46,GEN,Maharashtra,Patil Madan Vishwanath,Indian National Congress,1004670,596653,59.4 %,174713,29.3%
10,GEN,Punjab,Surjeet Singh Barnala,Shiromani Akali Dal,1058782,757827,71.6 %,75652,10.0%
16,SC,Madhya Pradesh [1947 - 1999],Paras Ram Bhardwaj,Indian National Congress,1021363,561458,55.0 %,33277,5.9%
38,SC,Bihar [1947 - 1999],Muni Lal,Bharatiya Janta Party,1138941,597226,52.4 %,53633,9.0%
44,GEN,Maharashtra,Naik Nimbalkar Hindurao Nilkanthrao,Shiv Sena,949934,548775,57.8 %,11809,2.2%
8,GEN,Madhya Pradesh [1947 - 1999],Sukhlal Kushwaha,Bahujan Samaj Party,1114739,665181,59.7 %,22238,3.3%
11,ST,Rajasthan,Usha Devi,Indian National Congress,1207736,398894,33.0 %,22250,5.6%
31,GEN,Andhra Pradesh,Rajeshwar Rao P.V.,Indian National Congress,1691418,877169,51.9 %,214358,24.4%
