Constituency Name,ConstituencyName (PC all relatives.csv),District Name,DistrictName (PC all relatives.csv),Family ID,FamilyID (PC all relatives.csv),Father/Husband Name,Table Name,UID,States,States Str,Name,Name (PC all relatives.csv),Winning Candidate,Party,pc name,Political Role,PoliticalRole (PC all relatives.csv),Relation,Relation (PC all relatives.csv),Name1,UID(AC/PC all relatives),Relation(AC/PC),state,State Name,StateName (PC all relatives.csv),PoliticalRole(AC and PC),Type,UID (AC all recent relatives.csv),UID (PC all relatives.csv),Years Held,YearsHeld (PC all relatives.csv),YearsHeld(AC/PC),Age,Poll %,Total electors(AC/PC),Total Votes(AC/PC),electors,Margin,Margin %,No,Total Electors,Total Votes,turnout,votes,if Dynasty
,,,,,,RAVJIBHAI NARANBHAI PATEL,AC_all_winning_cand.csv,GJ2022AC112,Gujarat,Gujarat,Anand,,Yogesh R. Patel (BAPJI),Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,57,0.609,314769,191767,,41623,0.217,112,314769,191767,,,0
Petlad,,Anand,,114,,Rameshbhai Patel,AC_all_winning_cand.csv,GJ2022AC113,Gujarat,Gujarat,Petlad,,Kamleshbhai Rameshbhai Patel (Master),Bharatiya Janta Party,,Former MLA (Petlad),,Father,,Rameshbhai Patel,GJ2022AC113,Father,,Gujarat,,Former MLA (Petlad),GEN,GJ2022AC113,,Unknown,,Unknown,53,0.702,239373,168041,,17954,0.107,113,239373,168041,,,1
,,,,,,VINUBHAI SHIVABHAI PATEL,AC_all_winning_cand.csv,GJ2022AC114,Gujarat,Gujarat,Sojitra,,Patel Vipulkumar Vinubhai,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,53,0.688,220782,151838,,29519,0.194,114,220782,151838,,,0
,,,,,,Ashabhai Parmar,AC_all_winning_cand.csv,GJ2022AC115,Gujarat,Gujarat,Matar,,Kalpeshbhai Ashabhai Parmar,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,53,0.693,252260,174870,,15851,0.091,115,252260,174870,,,0
,,,,,,DESAI VINUBHAI NARANBHAI,AC_all_winning_cand.csv,GJ2022AC116,Gujarat,Gujarat,Nadiad,,Desai Pankajbhai Vinubhai (GOTIYO),Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,61,0.591,274015,161896,,53871,0.333,116,274015,161896,,,0
,,,,,,Udesinh Takhatsinh Chauhan,AC_all_winning_cand.csv,GJ2022AC117,Gujarat,Gujarat,Mehmedabad,,Arjunsinh Udesinh Chauhan,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,46,0.713,250592,178765,,45604,0.255,117,250592,178765,,,0
,,,,,,VIJAYSINH,AC_all_winning_cand.csv,GJ2022AC118,Gujarat,Gujarat,Mahudha,,Sanjaysinh Vijaysinh Mahida,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,42,0.685,252220,172881,,25689,0.149,118,252220,172881,,,0
"Thasra (MLA), Panchmahal (Lok Sabha 2014 candidate)",,"Kheda (MLA Thasra), Panchmahal (LS)",,120,,Ramsinh Parmar,AC_all_winning_cand.csv,GJ2022AC119,Gujarat,Gujarat,Thasra,,Yogendrasinh Parmar (BAKABHAI),Bharatiya Janta Party,,"MLA (seven times) - Thasra (INC/BJP), Chairman of Gujarat Cooperative Milk Marketing Federation (Amul), Lok Sabha candidate (INC), Chairman of Amul Dairy (multiple terms), Contested Gujarat Assembly and Lok Sabha polls",,Father,,Ramsinh Parmar,GJ2022AC119,Father,,Gujarat,,"MLA (seven times) - Thasra (INC/BJP), Chairman of Gujarat Cooperative Milk Marketing Federation (Amul), Lok Sabha candidate (INC), Chairman of Amul Dairy (multiple terms), Contested Gujarat Assembly and Lok Sabha polls",GEN,GJ2022AC119,,"MLA (various terms between 1990 and 2017), Chairman Amul Dairy (2002-2017, re-elected 2019), Chairman GCMMF (2018-2019), Lok Sabha 2014 candidate, others",,"MLA (various terms between 1990 and 2017), Chairman Amul Dairy (2002-2017, re-elected 2019), Chairman GCMMF (2018-2019), Lok Sabha 2014 candidate, others",50,0.709,273169,193783,,61919,0.32,119,273169,193783,,,1
,,,,,,Zala Maganbhai,AC_all_winning_cand.csv,GJ2022AC120,Gujarat,Gujarat,Kapadvanj,,Zala Rajeshkumar Maganbhai,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,35,0.682,299484,204355,,31878,0.156,120,299484,204355,,,0
,,,,,,Kohyabhai Chauhan,AC_all_winning_cand.csv,GJ2022AC121,Gujarat,Gujarat,Balasinor,,Mansinh Kohyabhai Chauhan,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,72,0.623,288251,179519,,51422,0.286,121,288251,179519,,,0
,,,,,,SOMSINH CHAUHAN,AC_all_winning_cand.csv,GJ2022AC122,Gujarat,Gujarat,Lunawada,,Gulabsinh Somsinh Chauhan,Indian National Congress,,,,,,,,,,,,,GEN,,,,,,61,0.627,288177,180672,,26620,0.147,122,288177,180672,,,0
,,,,,,Mansukhbhai,AC_all_winning_cand.csv,GJ2022AC123,Gujarat,Gujarat,Santrampur,,Dr. Kuberbhai Mansukhbhai Dindor,Bharatiya Janta Party,,,,,,,,,,,,,ST,,,,,,51,0.586,238493,139769,,15577,0.111,123,238493,139769,,,0
,,,,,,Ghelabhai,AC_all_winning_cand.csv,GJ2022AC124,Gujarat,Gujarat,Shehra,,Ahir(Bharvad) Jethabhai Ghelabhai,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,72,0.677,260675,176565,,47281,0.268,124,260675,176565,,,0
,,,,,,MANHARSINH,AC_all_winning_cand.csv,GJ2022AC125,Gujarat,Gujarat,Morva Hadaf,,Suthar Nimishaben Manharsinh,Bharatiya Janta Party,,,,,,,,,,,,,ST,,,,,,39,0.608,228379,138912,,48877,0.352,125,228379,138912,,,0
,,,,,,RAULJI KANAKSINH,AC_all_winning_cand.csv,GJ2022AC126,Gujarat,Gujarat,Godhra,,C.K.Raulji,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,68,0.654,279523,182755,,35198,0.193,126,279523,182755,,,0
,,,,,,VAKHATSINH CHAUHAN,AC_all_winning_cand.csv,GJ2022AC127,Gujarat,Gujarat,Kalol,,Fatesinh Vakhatsinh Chauhan,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,59,0.715,258494,184851,,115679,0.626,127,258494,184851,,,0
,,,,,,CHANDRASINHJI PARMAR,AC_all_winning_cand.csv,GJ2022AC128,Gujarat,Gujarat,Halol,,Jaydrathsinhji Parmar,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,58,0.715,272951,195249,,42705,0.219,128,272951,195249,,,0
,,,,,,BHURABHAI,AC_all_winning_cand.csv,GJ2022AC129,Gujarat,Gujarat,Fatepura,,Katara Rameshbhai Bhurabhai,Bharatiya Janta Party,,,,,,,,,,,,,ST,,,,,,44,0.529,254977,134940,,19531,0.145,129,254977,134940,,,0
,,,,,,SOMJIBHAI BHURIYA,AC_all_winning_cand.csv,GJ2022AC130,Gujarat,Gujarat,Jhalod,,Maheshbhai Somjibhai Bhuriya,Bharatiya Janta Party,,,,,,,,,,,,,ST,,,,,,52,0.575,271789,156307,,35222,0.225,130,271789,156307,,,0
,,,,,,Sumanbhai,AC_all_winning_cand.csv,GJ2022AC131,Gujarat,Gujarat,Limkheda,,Bhabhor Shaileshbhai Sumanbhai,Bharatiya Janta Party,,,,,,,,,,,,,ST,,,,,,42,0.664,222933,148131,,3663,0.025,131,222933,148131,,,0
,,,,,,Bachubhai Kishori,AC_all_winning_cand.csv,GJ2022AC132,Gujarat,Gujarat,Dahod,,Kanaiyalal Bachubhai Kishori,Bharatiya Janta Party,,,,,,,,,,,,,ST,,,,,,40,0.588,278663,163848,,29350,0.179,132,278663,163848,,,0
,,,,,,BHABHOR RAMESHBHAI,AC_all_winning_cand.csv,GJ2022AC133,Gujarat,Gujarat,Garbada,,Bhabhor Mahendrabhai Rameshbhai,Bharatiya Janta Party,,,,,,,,,,,,,ST,,,,,,47,0.491,290463,142557,,27825,0.195,133,290463,142557,,,0
,,,,,,Maganbhai,AC_all_winning_cand.csv,GJ2022AC134,Gujarat,Gujarat,Devgadhbaria,,Khabad Bachubhai Maganbhai,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,67,0.714,266162,190018,,44201,0.233,134,266162,190018,,,0
,,,,,,MAHENDRABHAI,AC_all_winning_cand.csv,GJ2022AC135,Gujarat,Gujarat,Savli,,Inamdar Ketanbhai Mahendrabhai,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,43,0.75,230664,173059,,36926,0.213,135,230664,173059,,,0
,,,,,,RANUBHA VAGHELA,AC_all_winning_cand.csv,GJ2022AC136,Gujarat,Gujarat,Vaghodia,,Dharmendrasinh Ranubha Vaghela (BAPU),Independent,,,,,,,,,,,,,GEN,,,,,,54,0.73,246572,180037,,14006,0.078,136,246572,180037,,,0
Chhota Udaipur,,Vadodara,,140,,MOHANSINH CHHOTUBHAI RATHAVA,AC_all_winning_cand.csv,GJ2022AC137,Gujarat,Gujarat,Chhota Udaipur,,Rajendrasinh Mohansinh Rathva,Bharatiya Janta Party,,"Member of Legislative Assembly (MLA), Gujarat (ten terms); Former Congress leader, joined BJP in 2022",,Father,,Mohansinh Chhotubhai Rathava,GJ2022AC137,Father,,Gujarat,,"Member of Legislative Assembly (MLA), Gujarat (ten terms); Former Congress leader, joined BJP in 2022",ST,GJ2022AC137,,1972–2022 (various terms),,1972–2022 (various terms),51,0.621,271494,168707,,29450,0.175,137,271494,168707,,,1
,,,,,,RATHWA SAVJIBHAI NAYAKDABHAI,AC_all_winning_cand.csv,GJ2022AC138,Gujarat,Gujarat,Jetpur,,Rathwa Jayantibhai Savjibhai,Bharatiya Janta Party,,,,,,,,,,,,,ST,,,,,,47,0.651,271058,176410,,37779,0.214,138,271058,176410,,,0
,,,,,,Motibhai Raijibhai Tadvi,AC_all_winning_cand.csv,GJ2022AC139,Gujarat,Gujarat,Sankheda,,Abhesinh Motibhai Tadvi,Bharatiya Janta Party,,,,,,,,,,,,,ST,,,,,,66,0.69,276327,190601,,30674,0.161,139,276327,190601,,,0
,,,,,,Kanaiyalal Mehta,AC_all_winning_cand.csv,GJ2022AC140,Gujarat,Gujarat,Dabhoi,,Shaileshbhai Kanaiyalal Mehta (Shailesh Sotta),Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,62,0.723,232645,168166,,20476,0.122,140,232645,168166,,,0
Karjan,,Vadodara,,144,,RAJIVBHAI VAKIL,AC_all_winning_cand.csv,GJ2022AC141,Gujarat,Gujarat,Vadodara City,,Manisha Vakil,Bharatiya Janta Party,,Contested Gujarat Vidhan Sabha elections,,Father-in-law,,Dahya Rohit,GJ2022AC141,Father-in-law,,Gujarat,,Contested Gujarat Vidhan Sabha elections,SC,GJ2022AC141,,1995,,1995,47,0.591,306734,181189,,98597,0.544,141,306734,181189,,,1
,,,,,,NARAYANDAS ROKADIA,AC_all_winning_cand.csv,GJ2022AC142,Gujarat,Gujarat,Sayajigunj,,Keyur Narayandas Rokadia,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,43,0.581,300928,174904,,84013,0.48,142,300928,174904,,,0
Baroda City,,Vadodara,,146,,,AC_all_winning_cand.csv,GJ2022AC143,Gujarat,Gujarat,Akota,,Chaitanya Makarandbhai Desai,Bharatiya Janta Party,,"MLA, Gujarat Legislative Assembly (Baroda City, 1980); Key BJP and Jan Sangh organizer in Gujarat",,Father,,Makarandbhai Desai,GJ2022AC143,Father,,Gujarat,,"MLA, Gujarat Legislative Assembly (Baroda City, 1980); Key BJP and Jan Sangh organizer in Gujarat",GEN,GJ2022AC143,,1980,,1980,,0.587,275848,161955,,77753,0.48,143,275848,161955,,,1
,,,,,,KHANDERAO SHUKLA,AC_all_winning_cand.csv,GJ2022AC144,Gujarat,Gujarat,Raopura,,Balkrushna Khanderao Shukla (BALU SHUKLA),Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,59,0.57,297899,169816,,81035,0.477,144,297899,169816,,,0
,,,,,,NARANDAS PATEL,AC_all_winning_cand.csv,GJ2022AC145,Gujarat,Gujarat,Manjalpur,,Yogeshbhai Narandas Patel,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,76,0.589,263464,155141,,100754,0.649,145,263464,155141,,,0
,,,,,,PRATAPSINH ZALA,AC_all_winning_cand.csv,GJ2022AC146,Gujarat,Gujarat,Padra,,Chaitanyasinh Pratapsinh Zala,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,44,0.762,238164,181450,,6178,0.034,146,238164,181450,,,0
,,,,,,ISHVARBHAI PATEL,AC_all_winning_cand.csv,GJ2022AC147,Gujarat,Gujarat,Karjan,,Akshaykumar Ishvarbhai Patel,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,53,0.707,213329,150866,,26306,0.174,147,213329,150866,,,0
,,,,,,CHANDUBHAI DESHMUKH,AC_all_winning_cand.csv,GJ2022AC148,Gujarat,Gujarat,Nandod,,Dr. Darshna Chandubhai Deshmukh(VASAVA),Bharatiya Janta Party,,,,,,,,,,,,,ST,,,,,,54,0.742,235177,174413,,28202,0.162,148,235177,174413,,,0
,,,,,,Damjibhai Vasava,AC_all_winning_cand.csv,GJ2022AC149,Gujarat,Gujarat,Dediapada,,Chaitarbhai Damjibhai Vasava,Aam Aadmi Party,,,,,,,,,,,,,ST,,,,,,34,0.818,222701,182162,,40282,0.221,149,222701,182162,,,0
,,,,,,,AC_all_winning_cand.csv,GJ2022AC150,Gujarat,Gujarat,Jambusar,,Devkishordasji Bhaktisvarupdasji Swami,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,,0.67,241814,161934,,27380,0.169,150,241814,161934,,,0
,,,,,,AJITSINH,AC_all_winning_cand.csv,GJ2022AC151,Gujarat,Gujarat,Vagra,,Arunsinh Ajitsinh Rana,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,64,0.709,222613,157759,,13452,0.085,151,222613,157759,,,0
,,,,,,RAMANBHAI VASAVA,AC_all_winning_cand.csv,GJ2022AC152,Gujarat,Gujarat,Jhagadia,,Riteshkumar Ramanbhai Vasava (KALABHAI),Bharatiya Janta Party,,,,,,,,,,,,,ST,,,,,,46,0.751,258895,194444,,23500,0.121,152,258895,194444,,,0
,,,,,,NARANDAS MISTRY,AC_all_winning_cand.csv,GJ2022AC153,Gujarat,Gujarat,Bharuch,,Rameshbhai Narandas Mistry,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,60,0.576,293453,169097,,64473,0.381,153,293453,169097,,,0
Ankleshwar,,Bharuch,,156,,Thakorbhai Patel,AC_all_winning_cand.csv,GJ2022AC154,Gujarat,Gujarat,Ankleshwar,,Ishwarsinh Thakorbhai Patel,Bharatiya Janta Party,,"MLA, Bharatiya Janata Party (BJP), Ankleshwar",,Father,,Thakorsinh Patel,GJ2022AC154,Father,,Gujarat,,"MLA, Bharatiya Janata Party (BJP), Ankleshwar",GEN,GJ2022AC154,,1990,,1990,57,0.632,250724,158361,,40441,0.255,154,250724,158361,,,1
,,,,,,ZINABHAI ICHCHHUBHAI PATEL,AC_all_winning_cand.csv,GJ2022AC155,Gujarat,Gujarat,Olpad,,Mukeshbhai Zinabhai Patel,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,52,0.641,455536,292155,,115136,0.394,155,455536,292155,,,0
,,,,,,VESTABHAI NAVSABHAI VASAVA,AC_all_winning_cand.csv,GJ2022AC156,Gujarat,Gujarat,Mangrol,,Ganpatsinh Vestabhai Vasava,Bharatiya Janta Party,,,,,,,,,,,,,ST,,,,,,51,0.731,225699,165076,,51423,0.312,156,225699,165076,,,0
,,,,,,Narsinhbhai Halpati,AC_all_winning_cand.csv,GJ2022AC157,Gujarat,Gujarat,Mandvi,,Kunvarjibhai Narsinhbhai Halpati,Bharatiya Janta Party,,,,,,,,,,,,,ST,,,,,,55,0.756,246865,186700,,18109,0.097,157,246865,186700,,,0
,,,,,,CHHAGANBHAI,AC_all_winning_cand.csv,GJ2022AC158,Gujarat,Gujarat,Kamrej,,Praful Pansheriya,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,51,0.6,547619,328680,,74697,0.227,158,547619,328680,,,0
,,,,,,SHANTILAL RANA,AC_all_winning_cand.csv,GJ2022AC159,Gujarat,Gujarat,Surat East,,Arvind Shantilal Rana,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,61,0.642,214988,137966,,14017,0.102,159,214988,137966,,,0
,,,,,,HIMMATBHAI NARSHIBHAI BALAR,AC_all_winning_cand.csv,GJ2022AC160,Gujarat,Gujarat,Surat North,,Kantibhai Himmatbhai Balar,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,67,0.587,163175,95810,,34293,0.358,160,163175,95810,,,0
,,,,,,SHIVABHAI KANANI,AC_all_winning_cand.csv,GJ2022AC161,Gujarat,Gujarat,Varachha Road,,Kishor Kanani (KUMAR),Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,59,0.561,215919,121030,,16834,0.139,161,215919,121030,,,0
,,,,,,MANJIBHAI BHAGVANBHAI GHOGHRI,AC_all_winning_cand.csv,GJ2022AC162,Gujarat,Gujarat,Karanj,,Pravinbhai Manjibhai Ghoghari,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,55,0.502,176578,88633,,35974,0.406,162,176578,88633,,,0
,,,,,,Rajendra Patil,AC_all_winning_cand.csv,GJ2022AC163,Gujarat,Gujarat,Limbayat,,Sangitaben Rajendra Patil,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,46,0.583,305284,177988,,58009,0.326,163,305284,177988,,,0
,,,,,,M. PATEL,AC_all_winning_cand.csv,GJ2022AC164,Gujarat,Gujarat,Udhna,,Manubhai M. Patel (FOGWA),Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,60,0.543,270669,147011,,69896,0.475,164,270669,147011,,,0
,,,,,,RAMESH,AC_all_winning_cand.csv,GJ2022AC165,Gujarat,Gujarat,Majura,,Harsh Ramesh Sanghvi,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,37,0.575,278958,160346,,116675,0.728,165,278958,160346,,,0
,,,,,,AMARSHIBHAI HARJIVANBHAI MORADIYA,AC_all_winning_cand.csv,GJ2022AC166,Gujarat,Gujarat,Katargam,,Vinodbhai Amarshibhai Moradiya,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,55,0.637,322237,205340,,64627,0.315,166,322237,205340,,,0
,,,,,,Ishwarlal,AC_all_winning_cand.csv,GJ2022AC167,Gujarat,Gujarat,Surat West,,Purnesh Modi,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,57,0.623,256860,159957,,104312,0.652,167,256860,159957,,,0
,,,,,,JAYANTILAL DESAI,AC_all_winning_cand.csv,GJ2022AC168,Gujarat,Gujarat,Choryasi,,Sandip Desai,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,50,0.562,566484,318616,,186418,0.585,168,566484,318616,,,0
,,,,,,RAMANBHAI PARMAR,AC_all_winning_cand.csv,GJ2022AC169,Gujarat,Gujarat,Bardoli,,Ishvarbhai Alias Anilbhai Ramanbhai Parmar,Bharatiya Janta Party,,,,,,,,,,,,,SC,,,,,,51,0.648,270038,174983,,89948,0.514,169,270038,174983,,,0
,,,,,,Dhanjibhai Dhodiya,AC_all_winning_cand.csv,GJ2022AC170,Gujarat,Gujarat,Mahuva,,Mohanbhai Dhanjibhai Dhodiya,Bharatiya Janta Party,,,,,,,,,,,,,ST,,,,,,65,0.729,228911,166849,,31508,0.189,170,228911,166849,,,0
,,,,,,Kokani Dhedabhai Kasubhai,AC_all_winning_cand.csv,GJ2022AC171,Gujarat,Gujarat,Vyara,,Kokani Mohanbhai Dhedabhai,Bharatiya Janta Party,,,,,,,,,,,,,ST,,,,,,49,0.751,223087,167445,,22120,0.132,171,223087,167445,,,0
,,,,,,CHEMABHAI GAMIT,AC_all_winning_cand.csv,GJ2022AC172,Gujarat,Gujarat,Nizar,,Dr.Jayrambhai Chemabhai Gamit,Bharatiya Janta Party,,,,,,,,,,,,,ST,,,,,,47,0.772,282604,218090,,23160,0.106,172,282604,218090,,,0
,,,,,,RAMESHBHAI DANGYABHAI PATEL,AC_all_winning_cand.csv,GJ2022AC173,Gujarat,Gujarat,Dangs,,Vijaybhai Rameshbhai Patel,Bharatiya Janta Party,,,,,,,,,,,,,ST,,,,,,48,0.671,193326,129632,,19674,0.152,173,193326,129632,,,0
,,,,,,Patel Chhotubhai Sukhaabhai,AC_all_winning_cand.csv,GJ2022AC174,Gujarat,Gujarat,Jalalpore,,R.C.Patel,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,63,0.658,236192,155426,,68699,0.442,174,236192,155426,,,0
,,,,,,Gunvantbhai Desai,AC_all_winning_cand.csv,GJ2022AC175,Gujarat,Gujarat,Navsari,,Desai Rakesh Gunvantbhai,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,55,0.649,250047,162240,,72313,0.446,175,250047,162240,,,0
,,,,,,,AC_all_winning_cand.csv,GJ2022AC176,Gujarat,Gujarat,Gandevi,,Nareshbhai Maganbhai Patel,Bharatiya Janta Party,,,,,,,,,,,,,ST,,,,,,,0.707,292657,206884,,93166,0.45,176,292657,206884,,,0
,,,,,,HASMUKHBHAI,AC_all_winning_cand.csv,GJ2022AC177,Gujarat,Gujarat,Vansda,,Anantkumar Hasmukhbhai Patel,Indian National Congress,,,,,,,,,,,,,ST,,,,,,45,0.778,299622,232964,,35033,0.15,177,299622,232964,,,0
,,,,,,Chhotubhai Zinabhai Patel,AC_all_winning_cand.csv,GJ2022AC178,Gujarat,Gujarat,Dharampur,,Arvind Chhotubhai Patel,Bharatiya Janta Party,,,,,,,,,,,,,ST,,,,,,55,0.771,251084,193613,,33327,0.172,178,251084,193613,,,0
,,,,,,KIKUBHAI PATEL,AC_all_winning_cand.csv,GJ2022AC179,Gujarat,Gujarat,Valsad,,Bharatbhai Kikubhai Patel,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,64,0.655,264442,173233,,103776,0.599,179,264442,173233,,,0
,,,,,,MOHANLAL DESAI,AC_all_winning_cand.csv,GJ2022AC180,Gujarat,Gujarat,Pardi,,Kanubhai Mohanlal Desai,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,71,0.628,260629,163776,,97164,0.593,180,260629,163776,,,0
,,,,,,Harjibhai Chaudhari,AC_all_winning_cand.csv,GJ2022AC181,Gujarat,Gujarat,Kaprada,,Jitubhai Harjibhai Chaudhari,Bharatiya Janta Party,,,,,,,,,,,,,ST,,,,,,58,0.785,266803,209370,,32968,0.157,181,266803,209370,,,0
,,,,,,NANUBHAI PATKAR,AC_all_winning_cand.csv,GJ2022AC182,Gujarat,Gujarat,Umbergaon,,Patkar Ramanlal Nanubhai,Bharatiya Janta Party,,,,,,,,,,,,,ST,,,,,,71,0.596,286019,170466,,64786,0.38,182,286019,170466,,,0
"Ambala (Lok Sabha), Ambala City (Assembly)",,Ambala,,1,,VENOD SHARMA,AC_all_winning_cand.csv,HR2024AC01,Haryana,Haryana,Kalka,,Shakti Rani Sharma,Bharatiya Janta Party,,"Former Member of Parliament (Lok Sabha), Former Haryana Cabinet Minister",,Husband,,Venod Sharma,HR2024AC01,Husband,,Haryana,,"Former Member of Parliament (Lok Sabha), Former Haryana Cabinet Minister",GEN,HR2024AC01,,1998-2014 (various roles),,1998-2014 (various roles),71,0.718,202379,145220,,10883,0.075,1,202379,145220,,,1
Adampur and other seats,,Hisar,,3,,Bhajan Lal,AC_all_winning_cand.csv,HR2024AC02,Haryana,Haryana,Panchkula,,Chander Mohan,Indian National Congress,,"Chief Minister of Haryana (three terms), Union Minister of Agriculture and Environment",,Father,,Bhajan Lal,HR2024AC02,Father,,Haryana,,"Chief Minister of Haryana (three terms), Union Minister of Agriculture and Environment",GEN,HR2024AC02,,"1979–1986, 1991–1996, 2005 (CM); Various central roles",,"1979–1986, 1991–1996, 2005 (CM); Various central roles",58,0.59,236639,139515,,1997,0.014,2,236639,139515,,,1
Naraingarh,,Ambala,,6,,Ram Kishan,AC_all_winning_cand.csv,HR2024AC03,Haryana,Haryana,Naraingarh,,Shalley Chaudhary,Indian National Congress,,"MLA, Naraingarh (twice)",,Spouse,,Ram Kishan,HR2024AC03,Spouse,,Haryana,,"MLA, Naraingarh (twice)",GEN,HR2024AC03,,Unknown (prior to 2019),,Unknown (prior to 2019),58,0.729,193167,140879,,15094,0.107,3,193167,140879,,,1
,,,,,,BHIM SAIN,AC_all_winning_cand.csv,HR2024AC04,Haryana,Haryana,Ambala Cantt,,Anil Vij,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,71,0.641,207135,132682,,7277,0.055,4,207135,132682,,,0
,,,,,,HAZARA SINGH,AC_all_winning_cand.csv,HR2024AC05,Haryana,Haryana,Ambala City,,Nirmal Singh Mohra,Indian National Congress,,,,,,,,,,,,,GEN,,,,,,71,0.625,262827,164330,,11131,0.068,5,262827,164330,,,0
"Ambala (MP), Mulana (MLA)",,Ambala,,9,,Varun Chaudhry,AC_all_winning_cand.csv,HR2024AC06,Haryana,Haryana,Mulana,,Pooja,Indian National Congress,,"Member of Parliament (Lok Sabha), Former MLA (Mulana)",,Spouse,,Varun Chaudhary,HR2024AC06,Spouse,,Haryana,,"Member of Parliament (Lok Sabha), Former MLA (Mulana)",SC,HR2024AC06,,"MP: 2024–present, MLA: 2019–2024",,"MP: 2024–present, MLA: 2019–2024",38,0.707,225329,159357,,12865,0.081,6,225329,159357,,,1
,,,,,,RISHI PAL,AC_all_winning_cand.csv,HR2024AC07,Haryana,Haryana,Sadhaura,,Renu Bala,Indian National Congress,,,,,,,,,,,,,SC,,,,,,44,0.782,221830,173545,,1699,0.01,7,221830,173545,,,0
Chhachhrauli,,Yamunanagar,,12,,MOHD ASLAM KHAN,AC_all_winning_cand.csv,HR2024AC08,Haryana,Haryana,Jagadhri,,Akram Khan,Indian National Congress,,Member of the Haryana Legislative Assembly,,Father,,Mohd Aslam Khan,HR2024AC08,Father,,Haryana,,Member of the Haryana Legislative Assembly,GEN,HR2024AC08,,Prior to 1996,,Prior to 1996,54,0.778,234247,182283,,6868,0.038,8,234247,182283,,,1
,,,,,,ARJUN DASS,AC_all_winning_cand.csv,HR2024AC09,Haryana,Haryana,Yamunanagar,,Ghanshyam Dass,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,72,0.671,243268,163278,,22437,0.137,9,243268,163278,,,0
,,,,,,CHATTAR SINGH,AC_all_winning_cand.csv,HR2024AC10,Haryana,Haryana,Radaur,,Shyam Singh Rana,Bharatiya Janta Party,,,,,,,,,,,,,GEN,,,,,,76,0.728,209348,152480,,13132,0.086,10,209348,152480,,,0
District Zila Parishad Election (Ambala),,Ambala,,16,,TELU RAM,AC_all_winning_cand.csv,HR2024AC11,Haryana,Haryana,Ladwa,,Nayab Singh,Bharatiya Janta Party,,"Contested Zila Parishad Election, Ambala (2022); President, Ambala District BJP Mahila Morcha",,Spouse,,Suman Saini,HR2024AC11,Spouse,,Haryana,,"Contested Zila Parishad Election, Ambala (2022); President, Ambala District BJP Mahila Morcha",GEN,HR2024AC11,,2022-contested; 2023-present (as Mahila Morcha president; latest known),,2022-contested; 2023-present (as Mahila Morcha president; latest known),54,0.75,197233,147857,,16054,0.109,11,197233,147857,,,1
,,,,,,BACHNA RAM,AC_all_winning_cand.csv,HR2024AC12,Haryana,Haryana,Shahbad,,Ram Karan,Indian National Congress,,,,,,,,,,,,,SC,,,,,,55,0.702,172102,120771,,6441,0.053,12,172102,120771,,,0
