Age,Constituency Name,District Name,Family ID,Father/Husband Name,Winning Candidate,Name,Party,Pc Name,Political Role,Relation,State,State Name,Type,UID,UID (PC all relatives.csv),if dynasty,Year,Years Held,Electors,Margin,Margin %,No,Turnout,Votes,States
,,,,,Kalu Lal Shrimali,,Indian National Congress,Bhilwara,,,Rajasthan,,GEN,RJ1962PC352,,0,1962,,456499,42170,0.247,352,0.374,170723,Rajasthan
,,,,,Suraj Prasad Alias Surya Prashad,,Indian National Congress,Bhind,,,Madhya Pradesh [1947 - 1999],,SC,MP1962PC149,,0,1962,,467201,2787,0.012,149,0.511,238495,Madhya Pradesh
,,,,,Dwarkadasji Motilalji,,Indian National Congress,Bhir,,,Maharashtra,,GEN,MH1962PC266,,0,1962,,435591,20529,0.114,266,0.415,180582,Maharashtra
,,,,,Shrimant Maharaj Saheb Yashwantro Martanrao Mukane,,Indian National Congress,Bhiwandi,,,Maharashtra,,ST,MH1962PC231,,0,1962,,416369,39674,0.165,231,0.576,239968,Maharashtra
,,,,,Maimoona Sultan,,Indian National Congress,Bhopal,,,Madhya Pradesh [1947 - 1999],,GEN,MP1962PC176,,0,1962,,507527,19306,0.082,176,0.465,236088,Madhya Pradesh
,Daspalla,Nayagarh,79,,Raja Purna Chandra Deo Bhanj,Kishore Chandra Deo Bhanj,Indian National Congress,Bhubaneswar,"Member, Odisha Legislative Assembly",Father,Orissa,Odisha,GEN,OR1962PC309,OR1962PC309,1,1962,1951–1960,454994,37494,0.276,309,0.298,135778,Orissa
,,,,,Ramachander Veerappa,,Indian National Congress,Bidar,,,Mysore,,SC,KA1962PC270,,0,1962,,416621,54302,0.278,270,0.469,195447,Karnataka
,,,,,Rajaram Giridharalal Dubey,,Indian National Congress,Bijapur North,,,Mysore,,GEN,KA1962PC272,,0,1962,,393246,41996,0.21,272,0.51,200408,Karnataka
,,,,,Sanganagouda Basanagouda Patil,,Indian National Congress,Bijapur South,,,Mysore,,GEN,KA1962PC273,,0,1962,,430246,121029,0.451,273,0.624,268395,Karnataka
,,,,,Prakash Vir Shastri,,Independent,Bijnor,,,Uttar Pradesh [1947 - 1999],,GEN,UP1962PC364,,0,1962,,400418,49193,0.182,364,0.674,269931,Uttar Pradesh
,Bikaner,Bikaner,83,,Karni Singh,Sadul Singh,Independent,Bikaner,"Maharaja of Bikaner (titular head until 1950), Member of Constituent Assembly of India (representing Bikaner princely state)",Father,Rajasthan,Rajasthan,GEN,RJ1962PC357,RJ1962PC357,1,1962,"1943-1950 (Maharaja), 1947-1949 (Constituent Assembly)",468948,115067,0.442,357,0.555,260370,Rajasthan
,,,,,Ram Subhag Singh,,Indian National Congress,Bikramganj,,,Bihar [1947 - 1999],,GEN,BR1962PC93,,0,1962,,423247,10664,0.045,93,0.556,235421,Bihar
,,,,,Satya Prakash,,Independent,Bilaspur,,,Madhya Pradesh [1947 - 1999],,GEN,MP1962PC161,,0,1962,,439048,2171,0.013,161,0.371,162780,Madhya Pradesh
,,,,,Brij Behari Mehrotra,,Indian National Congress,Bilhaur,,,Uttar Pradesh [1947 - 1999],,GEN,UP1962PC425,,0,1962,,447601,5866,0.026,425,0.511,228694,Uttar Pradesh
,,,,,Sisir Kumar Saha,,Indian National Congress,Birbhum,,,West Bengal,,SC,WB1962PC481,,0,1962,,472551,32404,0.179,481,0.383,180916,West Bengal
,,,,,Ansar Harvani,,Indian National Congress,Bisauli,,,Uttar Pradesh [1947 - 1999],,GEN,UP1962PC368,,0,1962,,395128,17163,0.087,368,0.502,198322,Uttar Pradesh
,,,,,Mahanand Hrushikesh,,Ganatantra Parishad,Bolangir,,,Orissa,,SC,OR1962PC302,,0,1962,,420780,18019,0.194,302,0.22,92662,Orissa
,,,,,Narayan Sadoba Kajrolkar,,Indian National Congress,Bombay City Central North,,,Maharashtra,,SC,MH1962PC228,,0,1962,,505136,54144,0.171,228,0.628,317126,Maharashtra
,,,,,Vithal Balkrishna Gandhi,,Indian National Congress,Bombay City Central South,,,Maharashtra,,GEN,MH1962PC227,,0,1962,,504610,38578,0.125,227,0.613,309456,Maharashtra
,,,,,V. K. Krishna Menon,,Indian National Congress,Bombay City North,,,Maharashtra,,GEN,MH1962PC229,,0,1962,,764016,145358,0.301,229,0.632,483190,Maharashtra
,,,,,Sadashiv Kanoji Patil,,Indian National Congress,Bombay City South,,,Maharashtra,,GEN,MH1962PC226,,0,1962,,423466,100627,0.407,226,0.584,247339,Maharashtra
,,,,,Chhotubhai Makanbhai Patel,,Indian National Congress,Broach,,,Gujarat,,GEN,GJ1962PC127,,0,1962,,429499,28037,0.096,127,0.684,293564,Gujarat
,,,,,Omkar Singh,,Jan Sangh,Budaun,,,Uttar Pradesh [1947 - 1999],,GEN,UP1962PC369,,0,1962,,404385,16785,0.075,369,0.552,223283,Uttar Pradesh
,"Bharatpur, Mathura","Bharatpur, Mathura",98,,Surendra Pal Singh,Raja Bachchu Singh (Girraj Saran Singh),Indian National Congress,Bulandsahar,"Member of Parliament, Lok Sabha",Brother-in-law,Uttar Pradesh [1947 - 1999],"Rajasthan, Uttar Pradesh",GEN,UP1962PC438,UP1962PC438,1,1962,"1952 (Bharatpur), 1967 (Mathura), Lost 1957 (Bharatpur)",429674,16954,0.066,438,0.6,257956,Uttar Pradesh
,,,,,Shivaram Rango Rane,,Indian National Congress,Buldana,,,Maharashtra,,GEN,MH1962PC252,,0,1962,,428466,82179,0.273,252,0.703,301310,Maharashtra
,,,,,Nanubhai Nichhabhai Patel,,Indian National Congress,Bulsar,,,Gujarat,,ST,GJ1962PC130,,0,1962,,471481,3659,0.012,130,0.647,304863,Gujarat
,,,,,Gurugobinda Basu,,Indian National Congress,Burdwan,,,West Bengal,,GEN,WB1962PC479,,0,1962,,534273,32470,0.113,479,0.539,287685,West Bengal
,,,,,Anant Prasad Sharma,,Indian National Congress,Buxar,,,Bihar [1947 - 1999],,GEN,BR1962PC92,,0,1962,,453468,5516,0.024,92,0.516,234087,Bihar
,,,,,Jyotsna Chanda,,Indian National Congress,Cachar,,,Assam,,GEN,AS1962PC44,,0,1962,,383045,16440,0.082,44,0.526,201609,Assam
,,,,,Hirendra Nath Mukherjee,,Communist Party Of India,Calcutta Central,,,West Bengal,,GEN,WB1962PC463,,0,1962,,403254,43690,0.162,463,0.668,269526,West Bengal
,,,,,Ranendra Nath Sen,,Communist Party Of India,Calcutta East,,,West Bengal,,GEN,WB1962PC462,,0,1962,,471011,43467,0.136,462,0.68,320419,West Bengal
,Not applicable,Not applicable,108,,Asoke Kumar Sen,Sukumar Sen,Indian National Congress,Calcutta North West,"Chief Election Commissioner of India (first CEC of India, Sudan, and Nepal)",Brother,West Bengal,All India/National,GEN,WB1962PC464,WB1962PC464,1,1962,1950-1958 (India); various years for Sudan and Nepal,415122,33378,0.125,464,0.646,268078,West Bengal
,,,,,Indrajit Gupta,,Communist Party Of India,Calcutta South West,,,West Bengal,,GEN,WB1962PC461,,0,1962,,432966,10990,0.038,461,0.676,292873,West Bengal
,,,,,Masuriya Din,,Indian National Congress,Chail,,,Uttar Pradesh [1947 - 1999],,SC,UP1962PC417,,0,1962,,415664,33879,0.206,417,0.396,164522,Uttar Pradesh
,,,,,S. M. Siddaiah,,Indian National Congress,Chamarajanagar,,,Mysore,,SC,KA1962PC294,,0,1962,,414982,47398,0.184,294,0.619,256966,Karnataka
,,,,,Chattar Singh,,Indian National Congress,Chamba,,,Himachal Pradesh,,GEN,HP1962PC487,,0,1962,,181428,21875,0.415,487,0.291,52769,Himachal Pradesh
,,,,,Lal Shyamshah Lal Bhagwanshah,,Independent,Chanda,,,Maharashtra,,GEN,MH1962PC260,,0,1962,,424370,42911,0.154,260,0.656,278409,Maharashtra
,,,,,Bal Krishna,,Indian National Congress,Chandauli,,,Uttar Pradesh [1947 - 1999],,GEN,UP1962PC412,,0,1962,,422338,1785,0.007,412,0.571,241171,Uttar Pradesh
,,,,,Sham Nath,,Indian National Congress,Chandni Chowk,,,Delhi,,GEN,DL1962PC483,,0,1962,,201891,28948,0.201,483,0.714,144048,Delhi
,,,,,Ramsekhar Prasad Singh,,Indian National Congress,Chapra,,,Bihar [1947 - 1999],,GEN,BR1962PC61,,0,1962,,459344,21204,0.093,61,0.497,228117,Bihar
,,,,,Vijaya Raje,,Swatantra,Chatra,,,Bihar [1947 - 1999],,GEN,BR1962PC99,,0,1962,,379753,35304,0.238,99,0.391,148344,Bihar
,,,,,Sarma Ananta Tripathy,,Indian National Congress,Chatrapur,,,Orissa,,GEN,OR1962PC298,,0,1962,,413107,25215,0.305,298,0.2,82677,Orissa
,"Bobbili (Assembly for Andhra Pradesh), Madras Presidency",Vizianagaram,121,,Ravu Venkata Gopalakrishna Ranga Rao,Ramakrishna Ranga Rao of Bobbili,Indian National Congress,Cheepurupalli,Chief Minister of Madras Presidency; Member of Andhra Pradesh Legislative Assembly,Father,Andhra Pradesh,Andhra Pradesh (formerly Madras Presidency),GEN,AP1962PC03,AP1962PC03,1,1962,"Chief Minister: 1932–1936, 1937–1939; MLA (years not precisely specified in public sources)",410167,24964,0.092,3,0.659,270080,Andhra Pradesh
,,,,,Bhikulal Lachhmichand,,Indian National Congress,Chhindwara,,,Madhya Pradesh [1947 - 1999],,GEN,MP1962PC174,,0,1962,,462730,29715,0.165,174,0.389,179836,Madhya Pradesh
,,,,,R. Kangagosabai,,Indian National Congress,Chidambaram,,,Madras,,GEN,TN1962PC195,,0,1962,,457267,4060,0.012,195,0.715,327065,Tamil Nadu
,,,,,K. Changalaraya Reddy,,Indian National Congress,Chikballapur,,,Mysore,,GEN,KA1962PC289,,0,1962,,450873,51515,0.191,289,0.598,269677,Karnataka
,,,,,Vasantrao Lakhagounda Patil,,Indian National Congress,Chikodi,,,Mysore,,GEN,KA1962PC274,,0,1962,,396721,86776,0.342,274,0.64,254055,Karnataka
,,,,,O. V. Alagesan,,Indian National Congress,Chingleput,,,Madras,,GEN,TN1962PC188,,0,1962,,429553,19878,0.06,188,0.774,332465,Tamil Nadu
,,,,,M. K. Kumaran,,Communist Party Of India,Chirayinkil,,,Kerala,,GEN,KL1962PC147,,0,1962,,437189,33219,0.107,147,0.713,311762,Kerala
,,,,,S. Veerabasappa,,Indian National Congress,Chitradurga,,,Mysore,,GEN,KA1962PC282,,0,1962,,502170,44849,0.136,282,0.659,330704,Karnataka
,,,,,Madabhusi Ananthasayanam Ayyangar,,Indian National Congress,Chittor,,,Andhra Pradesh,,GEN,AP1962PC22,,0,1962,,437788,23964,0.081,22,0.677,296142,Andhra Pradesh
,Unknown,Unknown,130,,Manikyalal,Narayani Devi Verma,Indian National Congress,Chittorgarh,Member of Parliament,Wife,Rajasthan,Rajasthan,GEN,RJ1962PC350,RJ1962PC350,1,1962,Unknown,423187,20022,0.112,350,0.424,179397,Rajasthan
,,,,,P. R. Ramakrishnan,,Indian National Congress,Coimbatore,,,Madras,,GEN,TN1962PC205,,0,1962,,509869,42561,0.107,205,0.781,398104,Tamil Nadu
,Unknown,Midnapore,133,,Basanta Kumar Das,Tarangini Debi,Indian National Congress,Contai,"Independence Activist and Leading Political Organizer (non-elected, but prominent in Midnapore district women's political activity)",Spouse,West Bengal,West Bengal,GEN,WB1962PC471,WB1962PC471,1,1962,Unknown,513853,85408,0.257,471,0.647,332199,West Bengal
,,,,,Debendra Nath Karjee,,Forward Block,Cooch Behar,,,West Bengal,,SC,WB1962PC446,,0,1962,,533835,31760,0.122,446,0.486,259577,West Bengal
,,,,,T. Ramabadra Naidu,,Dravida Munetra Kazhagam,Cuddalore,,,Madras,,GEN,TN1962PC194,,0,1962,,479031,35387,0.109,194,0.678,324795,Tamil Nadu
,,,,,Yeddula Eswara Reddy,,Communist Party Of India,Cuddapah,,,Andhra Pradesh,,GEN,AP1962PC24,,0,1962,,497180,20867,0.056,24,0.748,371945,Andhra Pradesh
,Unknown,Unknown,137,,Nityanand Kanungo,Sarala Devi,Indian National Congress,Cuttack,"Member, Odisha Legislative Assembly",Sister,Orissa,Odisha,GEN,OR1962PC310,OR1962PC310,1,1962,Elected in 1937 and 1946 (first Odia woman elected to Odisha Legislative Assembly),484807,23953,0.147,310,0.336,162723,Orissa
,,,,,Hirabhai Kunverbhai Baria,,Swatantra,Dahod,,,Gujarat,,SC,GJ1962PC125,,0,1962,,443761,4413,0.018,125,0.565,250518,Gujarat
,,,,,Sudhanshu Bhushan Das,,Indian National Congress,Daimond Harbour,,,West Bengal,,GEN,WB1962PC460,,0,1962,,582113,19140,0.058,460,0.565,328720,West Bengal
,,,,,Sahodra Bai,,Indian National Congress,Damoh,,,Madhya Pradesh [1947 - 1999],,SC,MP1962PC171,,0,1962,,419223,27975,0.143,171,0.468,196144,Madhya Pradesh
,,,,,Shree Narayan Das,,Indian National Congress,Darbhanga,,,Bihar [1947 - 1999],,GEN,BR1962PC72,,0,1962,,487848,60337,0.299,72,0.414,201729,Bihar
,,,,,T. Manaen,,Indian National Congress,Darjeeling,,,West Bengal,,GEN,WB1962PC448,,0,1962,,421110,8427,0.043,448,0.47,197796,West Bengal
,,,,,Bijoy Chandra Bhagabati,,Indian National Congress,Darrang,,,Assam,,GEN,AS1962PC51,,0,1962,,378754,95796,0.45,51,0.562,212851,Assam
,,,,,Prithvi Raj,,Swatantra,Dausa,,,Rajasthan,,GEN,RJ1962PC341,,0,1962,,418962,89696,0.358,341,0.598,250386,Rajasthan
,,,,,Mahavir Tyagi,,Indian National Congress,Dehra Dun,,,Uttar Pradesh [1947 - 1999],,GEN,UP1962PC445,,0,1962,,404429,74392,0.3,445,0.612,247623,Uttar Pradesh
,,,,,Shiv Charan Gupta,,Indian National Congress,Delhi Sadar,,,Delhi,,GEN,DL1962PC484,,0,1962,,234520,23534,0.141,484,0.713,167274,Delhi
,,,,,Vaishwanath,,Indian National Congress,Deoria,,,Uttar Pradesh [1947 - 1999],,GEN,UP1962PC401,,0,1962,,415334,19241,0.092,401,0.501,208199,Uttar Pradesh
,,,,,Hukumchand,,Jan Sangh,Dewas,,,Madhya Pradesh [1947 - 1999],,SC,MP1962PC180,,0,1962,,438964,7149,0.03,180,0.548,240615,Madhya Pradesh
,,,,,P. R. Chakravarti,,Indian National Congress,Dhanbad,,,Bihar [1947 - 1999],,GEN,BR1962PC101,,0,1962,,451555,24206,0.117,101,0.459,207276,Bihar
,,,,,Sarojini Bindurao Mahishi,,Indian National Congress,Dharwar North,,,Mysore,,GEN,KA1962PC278,,0,1962,,439047,153550,0.558,278,0.627,275322,Karnataka
,,,,,Fakruddin Husseinsab Mohasin,,Indian National Congress,Dharwar South,,,Mysore,,GEN,KA1962PC277,,0,1962,,419192,75240,0.267,277,0.671,281286,Karnataka
,,,,,Baishnab Charan Patnaik,,Indian National Congress,Dhenkanal,,,Orissa,,GEN,OR1962PC306,,0,1962,,439926,52288,0.387,306,0.307,135057,Orissa
,,,,,Mau Ghysuddin Ahammad,,Indian National Congress,Dhubri,,,Assam,,GEN,AS1962PC47,,0,1962,,391360,27516,0.125,47,0.56,219296,Assam
,,,,,Chudaman Ananda Ravandale,,Indian National Congress,Dhulia,,,Maharashtra,,GEN,MH1962PC250,,0,1962,,467691,94855,0.336,250,0.604,282407,Maharashtra
,,,,,Jogendra Nath Hazarika,,Indian National Congress,Dibrugarh,,,Assam,,GEN,AS1962PC55,,0,1962,,390564,56830,0.313,55,0.466,181805,Assam
,,,,,T. S. Soundaram Ramachandram,,Indian National Congress,Dindigul,,,Madras,,GEN,TN1962PC210,,0,1962,,461145,53653,0.162,210,0.719,331580,Tamil Nadu
,,,,,Kripa Shanker,,Indian National Congress,Domariaganj,,,Uttar Pradesh [1947 - 1999],,GEN,UP1962PC395,,0,1962,,416674,1579,0.007,395,0.522,217578,Uttar Pradesh
,,,,,Satya Chandra Besra,,Indian National Congress,Dumka,,,Bihar [1947 - 1999],,ST,BR1962PC81,,0,1962,,399218,1085,0.008,81,0.353,140848,Bihar
,,,,,Mohanlal Bakliwal,,Indian National Congress,Durg,,,Madhya Pradesh [1947 - 1999],,GEN,MP1962PC167,,0,1962,,519964,28868,0.128,167,0.434,225832,Madhya Pradesh
,,,,,Viramachaneni Vimaladevi,,Communist Party Of India,Eluru,,,Andhra Pradesh,,GEN,AP1962PC11,,0,1962,,470098,1469,0.004,11,0.732,343907,Andhra Pradesh
,,,,,A. M. Thomas,,Indian National Congress,Ernakulam,,,Kerala,,GEN,KL1962PC140,,0,1962,,455280,23399,0.064,140,0.798,363493,Kerala
,,,,,Paramasiva Gounder,,Indian National Congress,Erode,,,Madras,,GEN,TN1962PC202,,0,1962,,478370,39178,0.111,202,0.737,352663,Tamil Nadu
,,,,,Bishan Chandra Seth,,Akhil Bharatiya Hindu Mahasabha,Etah,,,Uttar Pradesh [1947 - 1999],,GEN,UP1962PC430,,0,1962,,419948,10614,0.045,430,0.565,237064,Uttar Pradesh
,,,,,Gopi Nath Dikshit,,Indian National Congress,Etawah,,,Uttar Pradesh [1947 - 1999],,GEN,UP1962PC426,,0,1962,,425674,3139,0.013,426,0.58,246979,Uttar Pradesh
,,,,,Brij Basi Lal,,Indian National Congress,Faizabad,,,Uttar Pradesh [1947 - 1999],,GEN,UP1962PC387,,0,1962,,399568,10852,0.055,387,0.497,198370,Uttar Pradesh
,,,,,Mul Chand,,Indian National Congress,Farrukhabad,,,Uttar Pradesh [1947 - 1999],,GEN,UP1962PC427,,0,1962,,475245,14278,0.057,427,0.524,249045,Uttar Pradesh
,,,,,Gauri Shankar Alias Gauri Babu,,Independent,Fatehpur,,,Uttar Pradesh [1947 - 1999],,GEN,UP1962PC418,,0,1962,,435714,29253,0.162,418,0.413,180138,Uttar Pradesh
,,,,,Iqbal Singh,,Indian National Congress,Ferozepur,,,Punjab,,GEN,PB1962PC327,,0,1962,,521386,32152,0.097,327,0.637,332188,Punjab
,,,,,Shambhu Nath Chaturvedi,,Indian National Congress,Firozabad,,,Uttar Pradesh [1947 - 1999],,GEN,UP1962PC432,,0,1962,,450593,13239,0.058,432,0.506,227824,Uttar Pradesh
,,,,,Janumpally Rameshwar Rao,,Indian National Congress,Gadwal,,,Andhra Pradesh,,GEN,AP1962PC29,,0,1962,,447475,15834,0.059,29,0.6,268559,Andhra Pradesh
,,,,,Panna Lal,,Indian National Congress,Ganganagar,,,Rajasthan,,SC,RJ1962PC358,,0,1962,,574159,59620,0.169,358,0.613,351807,Rajasthan
,,,,,Bhakta Darshan,,Indian National Congress,Garhwal,,,Uttar Pradesh [1947 - 1999],,GEN,UP1962PC361,,0,1962,,391864,33777,0.227,361,0.38,148825,Uttar Pradesh
,,,,,Hem Borua,,Praja Socialist Party,Gauhati,,,Assam,,GEN,AS1962PC49,,0,1962,,467175,32062,0.114,49,0.6,280492,Assam
,,,,,Brajeshwar Prasad,,Indian National Congress,Gaya,,,Bihar [1947 - 1999],,GEN,BR1962PC98,,0,1962,,337429,18798,0.111,98,0.5,168595,Bihar
,,,,,Viswanath Singh Gahmari,,Indian National Congress,Gazipur,,,Uttar Pradesh [1947 - 1999],,GEN,UP1962PC408,,0,1962,,399020,36863,0.168,408,0.551,219895,Uttar Pradesh
,,,,,Sachindra Nath Choudhury,,Indian National Congress,Ghatal,,,West Bengal,,GEN,WB1962PC469,,0,1962,,523928,30838,0.09,469,0.652,341324,West Bengal
,,,,,Tula Ram,,Indian National Congress,Ghatampur,,,Uttar Pradesh [1947 - 1999],,SC,UP1962PC423,,0,1962,,442776,21996,0.101,423,0.494,218833,Uttar Pradesh
,,,,,Jai Bahadur,,Communist Party Of India,Ghosi,,,Uttar Pradesh [1947 - 1999],,GEN,UP1962PC405,,0,1962,,433042,8692,0.036,405,0.565,244629,Uttar Pradesh
,,,,,Thakur Bateshwar Singh,,Swatantra,Giridih,,,Bihar [1947 - 1999],,GEN,BR1962PC100,,0,1962,,374463,3458,0.027,100,0.345,129147,Bihar
,,,,,Dharani Dhor Basumotari,,Indian National Congress,Goalpara,,,Assam,,ST,AS1962PC48,,0,1962,,429220,30434,0.133,48,0.534,229232,Assam
,,,,,Prabhudayal Himmatsingka,,Indian National Congress,Godda,,,Bihar [1947 - 1999],,GEN,BR1962PC80,,0,1962,,395448,19585,0.101,80,0.489,193437,Bihar
,,,,,P. G. Karuthiruman,,Indian National Congress,Gohichettipalayam,,,Madras,,GEN,TN1962PC203,,0,1962,,435401,71435,0.239,203,0.686,298854,Tamil Nadu
,,,,,Ram Ratan Gupta,,Indian National Congress,Gonda,,,Uttar Pradesh [1947 - 1999],,GEN,UP1962PC393,,0,1962,,437337,498,0.002,393,0.472,206220,Uttar Pradesh
,,,,,Balkrishna Ramchandra Wasnik,,Indian National Congress,Gondia,,,Maharashtra,,SC,MH1962PC259,,0,1962,,462370,10925,0.04,259,0.594,274773,Maharashtra
,,,,,Dwaika Nath Tiwari,,Indian National Congress,Gopalganj,,,Bihar [1947 - 1999],,GEN,BR1962PC59,,0,1962,,422101,38617,0.188,59,0.486,204989,Bihar
,,,,,Sinhasan Singh,,Indian National Congress,Gorakhpur,,,Uttar Pradesh [1947 - 1999],,GEN,UP1962PC398,,0,1962,,413275,3260,0.015,398,0.512,211551,Uttar Pradesh
,,,,,Manganti Ankineedu,,Indian National Congress,Gudivada,,,Andhra Pradesh,,GEN,AP1962PC12,,0,1962,,493266,16734,0.043,12,0.788,388490,Andhra Pradesh
,,,,,Mahadevappa Yeshwantappa,,Indian National Congress,Gulbarga,,,Mysore,,GEN,KA1962PC271,,0,1962,,413239,8073,0.044,271,0.447,184634,Karnataka
,,,,,Ramsahai Shivprasad Pande,,Indian National Congress,Guna,,,Madhya Pradesh [1947 - 1999],,GEN,MP1962PC152,,0,1962,,481461,19726,0.088,152,0.467,225007,Madhya Pradesh
,,,,,Kotha Raghu Ramaiah,,Indian National Congress,Guntur,,,Andhra Pradesh,,GEN,AP1962PC16,,0,1962,,516008,99942,0.271,16,0.715,368813,Andhra Pradesh
,,,,,Dewan Chand,,Indian National Congress,Gurdaspur,,,Punjab,,GEN,PB1962PC334,,0,1962,,454322,56498,0.189,334,0.658,298900,Punjab
,,,,,Gajraj Singh,,Indian National Congress,Gurgaon,,,Punjab,,GEN,PB1962PC323,,0,1962,,500008,18418,0.058,323,0.639,319542,Punjab
,,,,,Vijaya Raje Scindia,,Indian National Congress,Gwalior,,,Madhya Pradesh [1947 - 1999],,GEN,MP1962PC150,,0,1962,,431098,148820,0.628,150,0.55,236915,Madhya Pradesh
,,,,,Rajeshwar Patel,,Indian National Congress,Hajipur,,,Bihar [1947 - 1999],,GEN,BR1962PC64,,0,1962,,421299,21850,0.084,64,0.617,259738,Bihar
,,,,,Mannoo Lal Dwivedi,,Indian National Congress,Hamirpur,,,Uttar Pradesh [1947 - 1999],,GEN,UP1962PC420,,0,1962,,408471,27684,0.128,420,0.529,216075,Uttar Pradesh
,Unknown,Unknown,194,,Kamla Chaudhry,"Unknown (J.M. Chaudhry's father, founder of Swarajya Party)",Indian National Congress,Hapur,"Founder, Swarajya Party",Father-in-law,Uttar Pradesh [1947 - 1999],Unknown,GEN,UP1962PC439,UP1962PC439,1,1962,1923 (Founding year of Swarajya Party),435947,28633,0.116,439,0.567,247270,Uttar Pradesh
,,,,,Kindar Lal,,Indian National Congress,Hardoi,,,Uttar Pradesh [1947 - 1999],,SC,UP1962PC376,,0,1962,,451711,23310,0.12,376,0.432,194935,Uttar Pradesh
,,,,,H. Siddananjappa,,Indian National Congress,Hassan,,,Mysore,,GEN,KA1962PC286,,0,1962,,433487,5815,0.024,286,0.556,241184,Karnataka
,,,,,Kashi Nath Pandey,,Indian National Congress,Hata,,,Uttar Pradesh [1947 - 1999],,GEN,UP1962PC400,,0,1962,,430300,66305,0.296,400,0.521,224360,Uttar Pradesh
,,,,,Krishnaji Laxman More,,Indian National Congress,Hatkanangle,,,Maharashtra,,SC,MH1962PC239,,0,1962,,417516,99683,0.369,239,0.647,270195,Maharashtra
,,,,,Joti Sarup,,Republican Party,Hatras,,,Uttar Pradesh [1947 - 1999],,SC,UP1962PC435,,0,1962,,447606,2649,0.01,435,0.57,254933,Uttar Pradesh
,Ramgarh Raj/related estates,Hazaribagh,200,,Basant Narain Singh,Maharaja Lakshmi Narain Singh Bahadur,Swatantra,Hazari Bagh,"Member, Bihar Legislative Assembly",Father,Bihar [1947 - 1999],Bihar,GEN,BR1962PC102,BR1962PC102,1,1962,"Multiple terms (exact years not fully documented, but active in early-mid 20th century)",395311,46611,0.367,102,0.321,127042,Bihar
,,,,,Tika Ram,,Indian National Congress,Hindaun,,,Rajasthan,,GEN,RJ1962PC344,,0,1962,,488123,49105,0.179,344,0.561,274043,Rajasthan
,,,,,K.V. Ramakrishna Reddy,,Indian National Congress,Hindupur,,,Andhra Pradesh,,GEN,AP1962PC26,,0,1962,,420888,29042,0.111,26,0.619,260620,Andhra Pradesh
,,,,,Mani Ram,,Socialist,Hissar,,,Punjab,,GEN,PB1962PC325,,0,1962,,567814,27233,0.076,325,0.628,356615,Punjab
,,,,,Provat Kar,,Communist Party Of India,Hooghly,,,West Bengal,,GEN,WB1962PC468,,0,1962,,511620,2643,0.008,468,0.633,323968,West Bengal
,,,,,Hari Vishnu Kamath,,Praja Socialist Party,Hoshangabad,,,Madhya Pradesh [1947 - 1999],,GEN,MP1962PC175,,0,1962,,385818,18771,0.103,175,0.474,182882,Madhya Pradesh
,,,,,Amar Nath Vidya Alankar,,Indian National Congress,Hoshiarpur,,,Punjab,,GEN,PB1962PC335,,0,1962,,484314,10301,0.032,335,0.66,319443,Punjab
,,,,,Mohammad Elias,,Communist Party Of India,Howrah,,,West Bengal,,GEN,WB1962PC465,,0,1962,,534887,3936,0.012,465,0.623,333014,West Bengal
,,,,,Gopal S. Melkote,,Indian National Congress,Hydrabad,,,Andhra Pradesh,,GEN,AP1962PC31,,0,1962,,315412,43069,0.245,31,0.556,175445,Andhra Pradesh
,,,,,Homi Daji,,Independent,Indore,,,Madhya Pradesh [1947 - 1999],,GEN,MP1962PC179,,0,1962,,405346,6293,0.026,179,0.591,239465,Madhya Pradesh
,,,,,Salam Tombi Singh,,Indian National Congress,Inner Manipur,,,Manipur,,GEN,MN1962PC491,,0,1962,,212925,12316,0.085,491,0.683,145368,Manipur
,,,,,Govind Das,,Indian National Congress,Jabalpur,,,Madhya Pradesh [1947 - 1999],,GEN,MP1962PC170,,0,1962,,396079,55782,0.272,170,0.517,204788,Madhya Pradesh
,,,,,Satyabhama Devi,,Indian National Congress,Jahanabad,,,Bihar [1947 - 1999],,GEN,BR1962PC96,,0,1962,,436653,34829,0.15,96,0.531,231636,Bihar
,,,,,Yamuna Prasad Mandal,,Indian National Congress,Jainagar,,,Bihar [1947 - 1999],,GEN,BR1962PC69,,0,1962,,471460,29192,0.137,69,0.453,213516,Bihar
,"Jaipur (princely state, not an electoral constituency)",Jaipur,218,,Gayatri Devi W/o Sawai Mansingh,Sawai Man Singh II,Swatantra,Jaipur,"Ceremonial Maharaja of Jaipur, signed merger of Jaipur into Union of India but did not hold elected office; recognized as Rajpramukh (Governor) until 1956, later served as Ambassador to Spain",Spouse,Rajasthan,Rajasthan,GEN,RJ1962PC340,RJ1962PC340,1,1962,"1940-1949 (Maharaja), 1949-1956 (Rajpramukh), 1956-1970 (Titular Maharaja), 1965-1970 (Ambassador)",462468,157692,0.613,340,0.557,257454,Rajasthan
,,,,,Ramachandra Mallick,,Indian National Congress,Jajpur,,,Orissa,,SC,OR1962PC311,,0,1962,,476679,35697,0.264,311,0.284,135346,Orissa
,,,,,Ram Sewak,,Indian National Congress,Jalaun,,,Uttar Pradesh [1947 - 1999],,SC,UP1962PC422,,0,1962,,424771,35306,0.144,422,0.578,245583,Uttar Pradesh
