pc name,no,type,state,winning candidate,party,electors,votes,turnout,margin,margin %,UID
Ghazipur,50,GEN,Uttar Pradesh [1947 - 1999],Zainul Basher,Indian National Congress,798528,468320,58.7 %,70561,15.1%,UP1984PC50
Ghosi,44,GEN,Uttar Pradesh [1947 - 1999],Raj Kumar,Indian National Congress,771606,420536,54.5 %,64846,15.4%,UP1984PC44
Giridih,46,GEN,Bihar [1947 - 1999],Sarfraj Ahmed,Indian National Congress,735849,377359,51.3 %,124753,33.1%,BR1984PC46
Gobichettipalayam,19,SC,Tamil Nadu,Kholandaivelu P.,All India Anna Dravida Munnetra Kazhagam,733501,548908,74.8 %,160627,29.3%,TN1984PC19
Godda,28,GEN,Bihar [1947 - 1999],Saminuddin,Indian National Congress,786972,435994,55.4 %,120373,27.6%,BR1984PC28
Godhra,18,GEN,Gujarat,Jaydeepsinhji,Indian National Congress,662634,352709,53.2 %,85847,24.3%,GJ1984PC18
Gonda,33,GEN,Uttar Pradesh [1947 - 1999],Anand Singh Alias Annu Bhaiya,Indian National Congress,759335,393981,51.9 %,165976,42.1%,UP1984PC33
Gopalganj,4,GEN,Bihar [1947 - 1999],Kali Prasad Pandey,Independent,785919,493043,62.7 %,177092,35.9%,BR1984PC04
Gorakhpur,38,GEN,Uttar Pradesh [1947 - 1999],Madan Pandey,Indian National Congress,700548,381518,54.5 %,96600,25.3%,UP1984PC38
Gulbarga,2,GEN,Karnataka,Veerenira Patil,Indian National Congress,768520,415495,54.1 %,95490,23.0%,KA1984PC02
Guna,4,GEN,Madhya Pradesh [1947 - 1999],Mahendra Singh,Indian National Congress,784995,377498,48.1 %,140480,37.2%,MP1984PC04
Guntur,15,GEN,Andhra Pradesh,N.G.Ranga,Indian National Congress,896875,604181,67.4 %,11894,2.0%,AP1984PC15
Gurdaspur,1,GEN,Punjab,Sukhbuns Kaur,Indian National Congress,754117,514025,68.2 %,37677,7.3%,PB1984PC01
Gwalior,3,GEN,Madhya Pradesh [1947 - 1999],Madhav Rao Scindia,Indian National Congress,704433,471068,66.9 %,175594,37.3%,MP1984PC03
Hajipur,8,SC,Bihar [1947 - 1999],Ram Ratan Ram,Indian National Congress,834167,593853,71.2 %,51216,8.6%,BR1984PC08
Hamirpur,4,SC,Himachal Pradesh,Narain Chand,Indian National Congress,590980,391974,66.3 %,124933,31.9%,HP1984PC04
Hamirpur,60,GEN,Uttar Pradesh [1947 - 1999],Swami Prasad Singh,Indian National Congress,672800,389980,58.0 %,63311,16.2%,UP1984PC60
Hanamkonda,38,GEN,Andhra Pradesh,Chandupatla Janga Reddy,Bharatiya Janta Party,764721,517559,67.7 %,54198,10.5%,AP1984PC38
Hapur,79,GEN,Uttar Pradesh [1947 - 1999],Kedar Nath,Indian National Congress,768575,463376,60.3 %,150676,32.5%,UP1984PC79
Hardoi,19,SC,Uttar Pradesh [1947 - 1999],Kindar Lal,Indian National Congress,722243,371601,51.5 %,60403,16.3%,UP1984PC19
Hardwar,85,SC,Uttar Pradesh [1947 - 1999],Sunder Lal,Indian National Congress,692463,448654,64.8 %,135188,30.1%,UP1984PC85
Hassan,19,GEN,Karnataka,H. N. Nanjegowda,Indian National Congress,774758,546793,70.6 %,31969,5.8%,KA1984PC19
Hathras,75,SC,Uttar Pradesh [1947 - 1999],Puran Chand,Indian National Congress,744969,377037,50.6 %,44638,11.8%,UP1984PC75
Hazaribagh,48,GEN,Bihar [1947 - 1999],Damodar Pandey,Indian National Congress,794720,380727,47.9 %,60381,15.9%,BR1984PC48
Hindupur,24,GEN,Andhra Pradesh,K. Ramachandra Reddy,Telugu Desam,790363,567118,71.8 %,155337,27.4%,AP1984PC24
Hingoli,29,GEN,Maharashtra,Rathode Uttamraoji Baliramji,Indian National Congress,727842,418207,57.5 %,135091,32.3%,MH1984PC29
Hissar,9,GEN,Haryana,Birinder Singh,Indian National Congress,737467,491750,66.7 %,51206,10.4%,HR1984PC09
Hooghly,27,GEN,West Bengal,Indumati Bhattacharyya,Indian National Congress,774719,646867,83.5 %,10967,1.7%,WB1984PC27
Hoshangabad,29,GEN,Madhya Pradesh [1947 - 1999],Rameshwar Nikhra,Indian National Congress,698049,439098,62.9 %,70579,16.1%,MP1984PC29
Hoshiarpur,6,GEN,Punjab,Kamal Chudhary,Indian National Congress,780463,518663,66.5 %,76703,14.8%,PB1984PC06
Howrah,24,GEN,West Bengal,Priya Ranjan Das Munshi,Indian National Congress,899038,689599,76.7 %,94042,13.6%,WB1984PC24
Hyderabad,30,GEN,Andhra Pradesh,Sultan Salahuddin Owaise,Independent,777353,596666,76.8 %,3481,0.6%,AP1984PC30
Ichalkaranji,47,GEN,Maharashtra,Mane Balaso Alias Rajaram Shankarrao,Indian National Congress,755413,529006,70.0 %,44138,8.3%,MH1984PC47
Idukki,14,GEN,Kerala,P. J. Kurian,Indian National Congress,717790,541206,75.4 %,130624,24.1%,KL1984PC14
Indore,37,GEN,Madhya Pradesh [1947 - 1999],Prakash Chand Sethi,Indian National Congress,790468,488546,61.8 %,90826,18.6%,MP1984PC37
Inner Manipur,1,GEN,Manipur,N.Tombi Singh,Indian National Congress,514101,441797,85.9 %,14729,3.3%,MN1984PC01
Jabalpur,25,GEN,Madhya Pradesh [1947 - 1999],Ajay Narayan Mushran,Indian National Congress,720103,429802,59.7 %,122323,28.5%,MP1984PC25
Jadavpur,18,GEN,West Bengal,Mamata Banerjee,Indian National Congress,871732,666155,76.4 %,19660,3.0%,WB1984PC18
Jagatsinghpur,7,SC,Orissa,Lakshman Mallick,Indian National Congress,778255,556239,71.5 %,958,0.2%,OR1984PC07
Jahanabad,41,GEN,Bihar [1947 - 1999],Ramasharay Pd. Singh,Communist Party Of India,939919,755148,80.3 %,30976,4.1%,BR1984PC41
Jaipur,6,GEN,Rajasthan,Nawal Kishore Sharma,Indian National Congress,871295,511855,58.8 %,83857,16.4%,RJ1984PC06
Jajpur,4,ST,Orissa,Anadi Charan Das,Indian National Congress,721932,474541,65.7 %,59505,12.5%,OR1984PC04
Jalaun,62,SC,Uttar Pradesh [1947 - 1999],Lachhi Ram,Indian National Congress,732228,381519,52.1 %,53237,14.0%,UP1984PC62
Jalesar,70,GEN,Uttar Pradesh [1947 - 1999],Kailash Chandra Yadav,Indian National Congress,687471,391562,57.0 %,9738,2.5%,UP1984PC70
Jalgaon,17,GEN,Maharashtra,Mahajan Yadav Shivram,Indian National Congress,759154,466488,61.5 %,54465,11.7%,MH1984PC17
Jalna,32,GEN,Maharashtra,Balasaheb Ramrao Pawar,Indian National Congress,781442,412640,52.8 %,66567,16.1%,MH1984PC32
Jalore,22,GEN,Rajasthan,Buta Singh,Indian National Congress,835714,440491,52.7 %,163464,37.1%,RJ1984PC22
Jalpaiguri,3,SC,West Bengal,Manik Sanyal,Communist Party Of India (MARXIST),747874,580864,77.7 %,33172,5.7%,WB1984PC03
Jammu,6,GEN,Jammu & Kashmir,Janak Raj Gupta,Indian National Congress,811828,576390,71.0 %,120192,20.9%,JK1984PC06
Jamnagar,3,GEN,Gujarat,Jadeja Daulatsinh Partap Sinh,Indian National Congress,639311,353591,55.3 %,23090,6.5%,GJ1984PC03
Jamshedpur,50,GEN,Bihar [1947 - 1999],Gopeshwar,Indian National Congress,752702,443298,58.9 %,66202,14.9%,BR1984PC50
Jangipur,8,GEN,West Bengal,Abedin Zainal,Communist Party Of India (MARXIST),774538,598478,77.3 %,14738,2.5%,WB1984PC08
Janjgir,14,GEN,Madhya Pradesh [1947 - 1999],Prabhat Kumar Mishra,Indian National Congress,722845,378143,52.3 %,152180,40.2%,MP1984PC14
Jaunpur,48,GEN,Uttar Pradesh [1947 - 1999],Kamala Prasad Singh,Indian National Congress,760090,440252,57.9 %,81523,18.5%,UP1984PC48
Jhabua,39,ST,Madhya Pradesh [1947 - 1999],Dileep Singh Bhurio,Indian National Congress,668183,352673,52.8 %,134532,38.1%,MP1984PC39
Jhalawar,15,GEN,Rajasthan,Jujharsingh,Indian National Congress,700480,402166,57.4 %,69313,17.2%,RJ1984PC15
Jhanjharpur,14,GEN,Bihar [1947 - 1999],Gauri Shankar Rajhans,Indian National Congress,782753,589464,75.3 %,205392,34.8%,BR1984PC14
Jhansi,61,GEN,Uttar Pradesh [1947 - 1999],Sujan Singh Bundela,Indian National Congress,773224,473784,61.3 %,115923,24.5%,UP1984PC61
Jhargram,33,ST,West Bengal,Motilal Hansda,Communist Party Of India (MARXIST),746406,588420,78.8 %,75242,12.8%,WB1984PC33
Jhunjhunu,4,GEN,Rajasthan,Mohd. Ayub Khan,Indian National Congress,887702,563921,63.5 %,57306,10.2%,RJ1984PC04
Jodhpur,24,GEN,Rajasthan,Ashok Gehlot,Indian National Congress,855909,470880,55.0 %,153348,32.6%,RJ1984PC24
Jorhat,12,GEN,Assam,Parag Chaliha,Independent,726711,525440,72.3 %,98753,18.8%,AS1984PC12
Joynagar,15,GEN,West Bengal,Sant Kumar Mandal,Revolutionary Socialist Party,762924,611190,80.1 %,20449,3.3%,WB1984PC15
Jullundur,4,SC,Punjab,Rajinder Singh Sparrow,Indian National Congress,757112,506310,66.9 %,69643,13.8%,PB1984PC04
Junagadh,6,GEN,Gujarat,Patel Mohanbhai Laljibhai,Indian National Congress,693720,368407,53.1 %,31943,8.7%,GJ1984PC06
Kaira,19,ST,Gujarat,Ajitsinh Fulsinhji Dyabhai,Indian National Congress,741211,455322,61.4 %,147433,32.4%,GJ1984PC19
Kairana,83,GEN,Uttar Pradesh [1947 - 1999],Akhtar Hasan,Indian National Congress,702980,454995,64.7 %,98549,21.7%,UP1984PC83
Kaiserganj,30,GEN,Uttar Pradesh [1947 - 1999],Rana Vir Singh,Indian National Congress,724076,346696,47.9 %,116830,33.7%,UP1984PC30
Kakinada,7,GEN,Andhra Pradesh,Thota Gopala Krishna,Telugu Desam,804480,580660,72.2 %,129714,22.3%,AP1984PC07
Kalahandi,14,GEN,Orissa,Jagannath Patnaik,Indian National Congress,631264,337995,53.5 %,24074,7.1%,OR1984PC14
Kaliabor,11,GEN,Assam,Bhadreswar Tanti,Independent,793121,605728,76.4 %,89000,14.7%,AS1984PC11
Kanakapura,11,GEN,Karnataka,M. V. Chandrashekara Murthy,Indian National Congress,903602,652044,72.2 %,7026,1.1%,KA1984PC11
Kanara,22,SC,Karnataka,G. Devaray Naik,Indian National Congress,732187,486027,66.4 %,49198,10.1%,KA1984PC22
Kangra,3,GEN,Himachal Pradesh,Chandresh Kumari,Indian National Congress,568075,381100,67.1 %,117433,30.8%,HP1984PC03
Kanker,19,ST,Madhya Pradesh [1947 - 1999],Arvind Netam,Indian National Congress,656383,351127,53.5 %,136187,38.8%,MP1984PC19
Kannauj,67,GEN,Uttar Pradesh [1947 - 1999],Sheila Dixit,Indian National Congress,746090,488138,65.4 %,61815,12.7%,UP1984PC67
Kanpur,65,GEN,Uttar Pradesh [1947 - 1999],Naresh Chandra Chaturvedi,Indian National Congress,672538,381572,56.7 %,137369,36.0%,UP1984PC65
Kapadvanj,16,GEN,Gujarat,Solanki Nataversingh Kesarisinghji,Indian National Congress,744151,459130,61.7 %,32324,7.0%,GJ1984PC16
Karad,45,GEN,Maharashtra,Chavan Premalabai Dajisaheb,Indian National Congress,758980,427947,56.4 %,285268,66.7%,MH1984PC45
Karimganj,1,SC,Assam,Sudarsan Das,Indian Congress (SOCIALIST),677521,513271,75.8 %,74421,14.5%,AS1984PC01
Karimnagar,37,GEN,Andhra Pradesh,Juvvadi Chokkarao,Indian National Congress,836463,496088,59.3 %,78607,15.8%,AP1984PC37
Karnal,3,SC,Haryana,Chiranji Lal,Indian National Congress,746675,516886,69.2 %,98952,19.1%,HR1984PC03
Karol Bagh,7,GEN,Delhi [1977 Onwards],Sunderwati Nawal Prabhakar,Indian National Congress,331628,222467,67.1 %,86572,38.9%,DL1984PC07
Karur,26,GEN,Tamil Nadu,Murugaiah A. R.,Indian National Congress,817972,631922,77.3 %,235563,37.3%,TN1984PC26
Kasaragod,1,GEN,Kerala,I. Rama Rai,Indian National Congress,745222,582565,78.2 %,11369,2.0%,KL1984PC01
Katihar,25,GEN,Bihar [1947 - 1999],Tariq Anwar,Indian National Congress,672232,470487,70.0 %,45943,9.8%,BR1984PC25
Katwa,40,GEN,West Bengal,Saifuddin Chowdhury,Communist Party Of India (MARXIST),800536,662481,82.8 %,43450,6.6%,WB1984PC40
Kendrapara,5,ST,Orissa,Bijayananda Pattnaik,Janta Party,733910,516539,70.4 %,16776,3.2%,OR1984PC05
Keonjhar,21,ST,Orissa,Harinder Soren,Indian National Congress,678101,326005,48.1 %,84624,26.0%,OR1984PC21
Khagaria,31,GEN,Bihar [1947 - 1999],Chandra Shekhar Prasad Verma,Indian National Congress,765769,490839,64.1 %,141526,28.8%,BR1984PC31
Khajuraho,6,GEN,Madhya Pradesh [1947 - 1999],Chaturvedi Vidyawati,Indian National Congress,827715,488816,59.1 %,50826,10.4%,MP1984PC06
Khalilabad,36,GEN,Uttar Pradesh [1947 - 1999],Chandra Shekhar,Indian National Congress,782374,466173,59.6 %,136364,29.3%,UP1984PC36
Khammam,40,GEN,Andhra Pradesh,Jalagam Vengala Rao,Indian National Congress,792890,596809,75.3 %,91499,15.3%,AP1984PC40
Khandwa,34,GEN,Madhya Pradesh [1947 - 1999],Kalicharan Ramratan,Indian National Congress,677218,439239,64.9 %,87470,19.9%,MP1984PC34
Khargone,35,GEN,Madhya Pradesh [1947 - 1999],Subhash Yadav,Indian National Congress,663149,446135,67.3 %,67202,15.1%,MP1984PC35
Khed,41,SC,Maharashtra,Ramkrishna More,Indian National Congress,693984,454500,65.5 %,18024,4.0%,MH1984PC41
Kheri,15,GEN,Uttar Pradesh [1947 - 1999],Usha Kumari,Indian National Congress,769692,397123,51.6 %,236515,59.6%,UP1984PC15
Khunti,52,ST,Bihar [1947 - 1999],Simon Tigga,Indian National Congress,625719,247762,39.6 %,33010,13.3%,BR1984PC52
Khurja,77,SC,Uttar Pradesh [1947 - 1999],Veer Sen,Indian National Congress,714153,368078,51.5 %,118025,32.1%,UP1984PC77
Kishanganj,23,GEN,Bihar [1947 - 1999],Jamilur Rahman,Indian National Congress,798096,444904,55.8 %,116130,26.1%,BR1984PC23
Kodarma,45,GEN,Bihar [1947 - 1999],Tilak Dhari Singh,Indian National Congress,766871,366462,47.8 %,111383,30.4%,BR1984PC45
Kokrajhar,5,ST,Assam,Samar Brahma Choudhury,Plains Tribals Council Of Assam,733958,644220,87.8 %,13764,2.1%,AS1984PC05
Kolaba,3,GEN,Maharashtra,D. B. Patil,Peasants & Workers Party,706929,474636,67.1 %,37924,8.0%,MH1984PC03
Kolar,10,GEN,Karnataka,V. Venkatesh,Janta Party,714137,471506,66.0 %,44765,9.5%,KA1984PC10
Kolhapur,48,GEN,Maharashtra,Gaikwad Udaysingrao Nanasaheb,Indian National Congress,737957,433988,58.8 %,149474,34.4%,MH1984PC48
Kopargaon,40,GEN,Maharashtra,Vikhe Eknathrao Alias Balesaheb Vithalrao,Indian National Congress,669507,392325,58.6 %,71485,18.2%,MH1984PC40
Koppal,4,SC,Karnataka,H. G. Ramulu,Indian National Congress,777786,482718,62.1 %,57951,12.0%,KA1984PC04
Koraput,12,ST,Orissa,Gridhar Gomango,Indian National Congress,679722,236565,34.8 %,99822,42.2%,OR1984PC12
Kota,14,GEN,Rajasthan,Shanti Kumar Dhariwal,Indian National Congress,721248,446795,62.0 %,54847,12.3%,RJ1984PC14
Kottayam,13,GEN,Kerala,Suresh Kurup,Communist Party Of India (MARXIST),695101,559836,80.5 %,5853,1.0%,KL1984PC13
Krishnagar,11,GEN,West Bengal,Renu Pada Das,Communist Party Of India (MARXIST),730764,611946,83.7 %,4787,0.8%,WB1984PC11
Krishnagiri,14,GEN,Tamil Nadu,K. Ramamurthi,Indian National Congress,724417,503872,69.6 %,166366,33.0%,TN1984PC14
Kurnool,26,GEN,Andhra Pradesh,Erasu Ayyapu Reddy,Telugu Desam,757612,521508,68.8 %,7290,1.4%,AP1984PC26
Kurukshetra,2,GEN,Haryana,Harpal Singh,Indian National Congress,727716,516555,71.0 %,143276,27.7%,HR1984PC02
Kutch,1,SC,Gujarat,Ushaben Raghavji Thakkar,Indian National Congress,557750,307528,55.1 %,30085,9.8%,GJ1984PC01
Ladakh,4,GEN,Jammu & Kashmir,Phuntsog Namgyal,Indian National Congress,89717,61264,68.3 %,7977,13.0%,JK1984PC04
Lakhimpur,14,GEN,Assam,Gakul Saikia,Independent,727183,531880,73.1 %,169934,31.9%,AS1984PC14
Lakshadweep,1,ST,Lakshadweep,Mohammad Sayeed Padannatha,Indian National Congress,21964,19105,87.0 %,1699,8.9%,LD1984PC01
Lalganj,46,SC,Uttar Pradesh [1947 - 1999],Ramdhan,Indian National Congress,826179,424085,51.3 %,104268,24.6%,UP1984PC46
Latur,35,GEN,Maharashtra,Patil Shivraj Vishwanath,Indian National Congress,754786,545382,72.3 %,85537,15.7%,MH1984PC35
Lohardaga,53,ST,Bihar [1947 - 1999],Sumati Oraon,Indian National Congress,678981,273347,40.3 %,102067,37.3%,BR1984PC53
Lucknow,20,GEN,Uttar Pradesh [1947 - 1999],Sheila Kaul,Indian National Congress,754460,308793,40.9 %,122120,39.5%,UP1984PC20
Ludhiana,9,SC,Punjab,Mewa Singh,Shiromani Akali Dal,916363,587157,64.1 %,140,0.0%,PB1984PC09
Machhlishahr,47,GEN,Uttar Pradesh [1947 - 1999],Sripati,Indian National Congress,770722,410829,53.3 %,67862,16.5%,UP1984PC47
Machilipatnam,12,GEN,Andhra Pradesh,Sambasivarao Kuvuru,Indian National Congress,741415,554220,74.8 %,9093,1.6%,AP1984PC12
Madhepura,21,GEN,Bihar [1947 - 1999],Mahabir Prasad Yadav,Indian National Congress,836565,557547,66.7 %,75297,13.5%,BR1984PC21
Madhubani,13,GEN,Bihar [1947 - 1999],Abdul Hannan An,Indian National Congress,846577,576056,68.1 %,148820,25.8%,BR1984PC13
Madras Central,2,GEN,Tamil Nadu,Kalanidhi A.,Dravida Munetra Kazhagam,862989,553558,64.1 %,96744,17.5%,TN1984PC02
Madras North,1,SC,Tamil Nadu,N.V.N.Somu,Dravida Munetra Kazhagam,991099,508744,51.3 %,36450,7.2%,TN1984PC01
Madras South,3,GEN,Tamil Nadu,Vyjayanthimala,Indian National Congress,1018795,670757,65.8 %,48017,7.2%,TN1984PC03
Madurai,24,GEN,Tamil Nadu,Subburaman A.G.,Indian National Congress,856315,607638,71.0 %,173011,28.5%,TN1984PC24
Mahabubnagar,29,GEN,Andhra Pradesh,Sudini Jaipal Reddy,Janta Party,845699,544525,64.4 %,80103,14.7%,AP1984PC29
Maharajganj,6,GEN,Bihar [1947 - 1999],Krishnapratap Singh,Indian National Congress,818305,409900,50.1 %,133904,32.7%,BR1984PC06
Maharajganj,39,GEN,Uttar Pradesh [1947 - 1999],Jitendra Singh,Indian National Congress,715620,456876,63.8 %,124474,27.2%,UP1984PC39
Mahasamund,18,GEN,Madhya Pradesh [1947 - 1999],Vidyacharan Shukla,Indian National Congress,681455,428954,63.0 %,139140,32.4%,MP1984PC18
Mahendragarh,7,GEN,Haryana,Birender Singh,Indian National Congress,855878,606971,70.9 %,230214,37.9%,HR1984PC07
Mainpuri,69,GEN,Uttar Pradesh [1947 - 1999],Balram Singh Yadav,Indian National Congress,708050,435670,61.5 %,55008,12.6%,UP1984PC69
Malda,7,GEN,West Bengal,Abu Barkat Ataul Ghani Khan Choudhury,Indian National Congress,716971,597612,83.4 %,46626,7.8%,WB1984PC07
Malegaon,13,GEN,Maharashtra,Bhoye Sitaram Sayaji,Indian National Congress,705668,394658,55.9 %,38275,9.7%,MH1984PC13
Mandi,2,GEN,Himachal Pradesh,Sukh Ram,Indian National Congress,589790,339184,57.5 %,131651,38.8%,HP1984PC02
Mandla,24,ST,Madhya Pradesh [1947 - 1999],Mohan Lal,Indian National Congress,609529,301987,49.5 %,128308,42.5%,MP1984PC24
Mandsaur,40,GEN,Madhya Pradesh [1947 - 1999],Balkavi Bairagi (Nandramdas Dwarkadas),Indian National Congress,767994,550510,71.7 %,59763,10.9%,MP1984PC40
Mandvi,25,GEN,Gujarat,Gamit Chhitubhai Devjibhai,Indian National Congress,704976,408989,58.0 %,105523,25.8%,GJ1984PC25
Mandya,14,GEN,Karnataka,K. V. Shankaragowda,Janta Party,722855,557529,77.1 %,120396,21.6%,KA1984PC14
Mangaldoi,8,GEN,Assam,Saifuddin Akmed,Independent,787076,650379,82.6 %,145793,22.4%,AS1984PC08
Mangalore,17,GEN,Karnataka,Janardhana Poojary,Indian National Congress,670001,489684,73.1 %,119399,24.4%,KA1984PC17
Manjeri,5,GEN,Kerala,Ebrahim Sulaman Sait,Muslim Leage,736698,570262,77.4 %,71175,12.5%,KL1984PC05
Mathura,74,GEN,Uttar Pradesh [1947 - 1999],Manvendra Singh,Indian National Congress,727822,454005,62.4 %,103400,22.8%,UP1984PC74
Mathurapur,16,GEN,West Bengal,Manoranjan Halder,Indian National Congress,734234,599672,81.7 %,2299,0.4%,WB1984PC16
Mavelikara,16,SC,Kerala,Thampan Thomas,Janta Party,673469,503109,74.7 %,1287,0.3%,KL1984PC16
Mayiladuturai,29,SC,Tamil Nadu,Pakeer Mohamed E.S.M.,Indian National Congress,721157,578288,80.2 %,119643,20.7%,TN1984PC29
Mayurbhanj,1,GEN,Orissa,Sidhalal Murmu,Indian National Congress,630339,311068,49.4 %,69238,22.3%,OR1984PC01
Medak,33,GEN,Andhra Pradesh,P.Manik Reddy,Telugu Desam,829933,561154,67.6 %,1816,0.3%,AP1984PC33
Meerut,80,GEN,Uttar Pradesh [1947 - 1999],Mohsina Kidwai,Indian National Congress,744181,481462,64.7 %,96518,20.0%,UP1984PC80
Mehsana,12,GEN,Gujarat,A.K.Patel,Bharatiya Janta Party,761766,554675,72.8 %,43896,7.9%,GJ1984PC12
Midnapore,32,GEN,West Bengal,Narayan Choubey,Communist Party Of India,761479,609529,80.1 %,56997,9.4%,WB1984PC32
Miryalguda,42,GEN,Andhra Pradesh,Bhimreddy Narsimha Reddy,Communist Party Of India (MARXIST),846549,615229,72.7 %,41755,6.8%,AP1984PC42
Mirzapur,54,GEN,Uttar Pradesh [1947 - 1999],Uma Kant Mishra,Indian National Congress,781816,414180,53.0 %,31368,7.6%,UP1984PC54
Misrikh,18,SC,Uttar Pradesh [1947 - 1999],Sankata Prasad,Indian National Congress,722288,373275,51.7 %,145279,38.9%,UP1984PC18
Mizoram,1,ST,Mizoram,Lal Dohama,Indian National Congress,255676,RU,,RU,,MZ1984PC01
Mohanlalganj,21,SC,Uttar Pradesh [1947 - 1999],Jagannath Pd.,Indian National Congress,698491,349917,50.1 %,133049,38.0%,UP1984PC21
Monghyr,32,GEN,Bihar [1947 - 1999],Devendra Pd. Yadav,Indian National Congress,862284,550090,63.8 %,163343,29.7%,BR1984PC32
Moradabad,7,GEN,Uttar Pradesh [1947 - 1999],Hafiz Mohd. Siddique,Indian National Congress,670189,405931,60.6 %,7113,1.8%,UP1984PC07
Morena,1,SC,Madhya Pradesh [1947 - 1999],Kammodilal Jatav,Indian National Congress,740577,335973,45.4 %,21568,6.4%,MP1984PC01
Mormugao,2,GEN,"Goa, Daman And Diu",Eduardo Faleiro,Indian National Congress,295555,208454,70.5 %,58809,28.2%,DD1984PC02
Motihari,3,GEN,Bihar [1947 - 1999],Prabhawati Gupta,Indian National Congress,789198,434105,55.0 %,144295,33.2%,BR1984PC03
Mukundapuram,10,GEN,Kerala,K. Mohandas,Kerala Congress (J),703029,569192,81.0 %,44385,7.8%,KL1984PC10
Murshidabad,9,GEN,West Bengal,Syed Musudal Hossain,Communist Party Of India (MARXIST),806154,684106,84.9 %,6262,0.9%,WB1984PC09
Muvattupuzha,12,GEN,Kerala,George Joseph Mundakkal (Baby),Kerala Congress (J),690388,527328,76.4 %,108200,20.5%,KL1984PC12
Muzaffarnagar,82,GEN,Uttar Pradesh [1947 - 1999],Dharam Vir Singh,Indian National Congress,713140,485254,68.0 %,108021,22.3%,UP1984PC82
Muzaffarpur,10,GEN,Bihar [1947 - 1999],Laliteshwar Prasad Shahi,Indian National Congress,805213,556443,69.1 %,148974,26.8%,BR1984PC10
Mysore,16,GEN,Karnataka,Srikantadatta Narasimharaja Wadiyar,Indian National Congress,751631,464072,61.7 %,64610,13.9%,KA1984PC16
Nabadwip,12,GEN,West Bengal,Bibha Ghosh (Goswami),Communist Party Of India (MARXIST),856500,695774,81.2 %,6652,1.0%,WB1984PC12
Nagaland,1,ST,Nagaland,Chingwang,Indian National Congress,594062,394820,66.5 %,137182,34.7%,NL1984PC01
Nagapattinam,30,GEN,Tamil Nadu,"Mahalingam, M.",All India Anna Dravida Munnetra Kazhagam,755903,621914,82.3 %,2289,0.4%,TN1984PC30
Nagarkurnool,28,SC,Andhra Pradesh,V. Tulsiram,Telugu Desam,808999,539610,66.7 %,89137,16.5%,AP1984PC28
Nagaur,25,GEN,Rajasthan,Ram Niwas,Indian National Congress,839812,553667,65.9 %,48535,8.8%,RJ1984PC25
Nagercoil,39,GEN,Tamil Nadu,N. Dennis,Indian National Congress,720980,487496,67.6 %,11637,2.4%,TN1984PC39
Nagpur,23,GEN,Maharashtra,Banwarilal Bhagwandas Purohit,Indian National Congress,845805,563205,66.6 %,130683,23.2%,MH1984PC23
Nainital,4,GEN,Uttar Pradesh [1947 - 1999],Satendra Chandra,Indian National Congress,681281,436296,64.0 %,166660,38.2%,UP1984PC04
Nalanda,34,GEN,Bihar [1947 - 1999],Vijay Kumar Yadav,Communist Party Of India,903642,630485,69.8 %,39471,6.3%,BR1984PC34
Nalgonda,41,GEN,Andhra Pradesh,Mallareddy Raguma Reddy,Telugu Desam,834650,562575,67.4 %,114410,20.3%,AP1984PC41
Nanded,30,GEN,Maharashtra,Chavan Shankarrao Bhurao,Indian National Congress,820467,525412,64.0 %,171524,32.6%,MH1984PC30
Nandurbar,15,GEN,Maharashtra,Gavit Manikrao Holdya,Indian National Congress,689376,404338,58.7 %,157519,39.0%,MH1984PC15
Nandyal,27,GEN,Andhra Pradesh,Maddur Subba Reddy,Telugu Desam,797893,562293,70.5 %,50263,8.9%,AP1984PC27
Narasapur,10,GEN,Andhra Pradesh,Vijaya Kumar Raju Bhupathiraju,Telugu Desam,777048,565988,72.8 %,196374,34.7%,AP1984PC10
Narasaraopet,17,GEN,Andhra Pradesh,Katuri Narayanaswamy,Telugu Desam,884798,602458,68.1 %,14238,2.4%,AP1984PC17
Nashik,12,ST,Maharashtra,Mane Murlidhar Pandurang,Indian National Congress,791519,447279,56.5 %,37546,8.4%,MH1984PC12
Nawada,42,SC,Bihar [1947 - 1999],Kunwar Ram,Indian National Congress,957846,553442,57.8 %,237102,42.8%,BR1984PC42
Nellore,19,SC,Andhra Pradesh,Penchalaiah Puchalapalli,Telugu Desam,858523,559612,65.2 %,53551,9.6%,AP1984PC19
New Delhi,1,GEN,Delhi [1977 Onwards],Krsihan Chandra Pant,Indian National Congress,304123,196709,64.7 %,72886,37.1%,DL1984PC01
Nilgiris,18,GEN,Tamil Nadu,R.Prabhu,Indian National Congress,827733,594471,71.8 %,131939,22.2%,TN1984PC18
Nizamabad,34,GEN,Andhra Pradesh,Tadur Bala Goud,Indian National Congress,758881,531406,70.0 %,2447,0.5%,AP1984PC34
Nowgong,10,GEN,Assam,Muhiram Saikia,Independent,757667,617603,81.5 %,35630,5.8%,AS1984PC10
Nowrangpur,13,GEN,Orissa,Khagapati Pradhani,Indian National Congress,647780,254848,39.3 %,103735,40.7%,OR1984PC13
Ongole,18,GEN,Andhra Pradesh,Bezawada Papireddy,Telugu Desam,875403,575585,65.8 %,18143,3.2%,AP1984PC18
