pc name,no,type,state,winning candidate,party,electors,votes,turnout,UID
Jaunpur,338,GEN,Uttar Pradesh [1947 - 1999],Ganpat Ram,Indian National Congress,816055,794713,48.7 %,UP1957PC338
Jaunpur,338,GEN,Uttar Pradesh [1947 - 1999],Birbal Singh,Indian National Congress,816055,794713,48.7 %,UP1957PC338
Jhabua,171,ST,Madhya Pradesh [1947 - 1999],Amarsingh (ST),Indian National Congress,374691,138510,37.0 %,MP1957PC171
Jhajjar,267,GEN,Punjab,Partap Singh,Communist Party Of India,422351,270637,64.1 %,PB1957PC267
Jhansi,325,GEN,Uttar Pradesh [1947 - 1999],Sushila Nayar,Indian National Congress,390926,165447,42.3 %,UP1957PC325
Jhunjhunu,280,GEN,Rajasthan,Murarka Radhey Shyam Ram Kumar,Indian National Congress,403570,196729,48.8 %,RJ1957PC280
Jodhpur,295,GEN,Rajasthan,Jaswant Raj,Indian National Congress,407500,181362,44.5 %,RJ1957PC295
Jorhat,43,GEN,Assam,Ahmed Mofida,Indian National Congress,373626,176442,47.2 %,AS1957PC43
Jullundur,276,GEN,Punjab,Swaran Singh,Indian National Congress,853060,1009778,59.2 %,PB1957PC276
Jullundur,276,GEN,Punjab,Sadhu Ram,Indian National Congress,853060,1009778,59.2 %,PB1957PC276
Kaira,103,GEN,Bombay,Dabhi Thakorshri Fatesinhji Ratansinhji,Independent,382298,245504,64.2 %,MH1957PC103
Kaisarganj,352,GEN,Uttar Pradesh [1947 - 1999],Bhagwan Din,Indian National Congress,398173,156398,39.3 %,UP1957PC352
Kaithal,265,GEN,Punjab,Mool Chand,Indian National Congress,402728,256120,63.6 %,PB1957PC265
Kakinada,6,GEN,Andhra Pradesh,B.S. Murthy,Indian National Congress,903182,745933,41.3 %,AP1957PC06
Kakinada,6,GEN,Andhra Pradesh,Mosalakanti Tirumala Rao,Indian National Congress,903182,745933,41.3 %,AP1957PC06
Kalahandi,251,GEN,Orissa,Pratap Keshari Deo,Ganatantra Parishad,732328,471952,32.2 %,OR1957PC251
Kalahandi,251,GEN,Orissa,Bijaya Chandra Padhan,Ganatantra Parishad,732328,471952,32.2 %,OR1957PC251
Kanara,228,GEN,Mysore,Alva Joachim Piadad,Indian National Congress,431122,242867,56.3 %,KA1957PC228
Kangra,263,GEN,Punjab,Daljit Singh,Indian National Congress,846795,286822,16.9 %,PB1957PC263
Kangra,263,GEN,Punjab,Hem Raj,Indian National Congress,846795,286822,16.9 %,PB1957PC263
Kanpur,331,GEN,Uttar Pradesh [1947 - 1999],S. M. Banerjee,Independent,418638,177016,42.3 %,UP1957PC331
Karad,124,GEN,Bombay,Chavan Dajisaheb Ramrao,Peasants & Workers Party,348850,238652,68.4 %,MH1957PC124
Karimnagar,31,GEN,Andhra Pradesh,M.R. Krishna,Indian National Congress,748201,732963,49.0 %,AP1957PC31
Karimnagar,31,GEN,Andhra Pradesh,M. Sri Ranga Rao,Indian National Congress,748201,732963,49.0 %,AP1957PC31
Karur,209,GEN,Madras,K. Periasami Gounder,Indian National Congress,427431,207071,48.5 %,TN1957PC209
Kasergod,164,GEN,Kerala,Gopalan Ayillath Kuttieri,Communist Party Of India,449300,252533,56.2 %,KL1957PC164
Katihar,64,GEN,Bihar [1947 - 1999],Awadhesh Kumar Singh,Indian National Congress,376760,150894,40.1 %,BR1957PC64
Kendrapara,257,GEN,Orissa,Surendranath Dwivedy,Praja Socialist Party,853833,759146,44.5 %,OR1957PC257
Kendrapara,257,GEN,Orissa,Baishanab Charan Malik,Praja Socialist Party,853833,759146,44.5 %,OR1957PC257
Keonjhar,254,GEN,Orissa,Bhanj Deo Laxmi Narayan,Independent,346575,93392,27.0 %,OR1957PC254
Kesaria,52,GEN,Bihar [1947 - 1999],Dwarkanath Tiwari,Indian National Congress,339047,131716,38.9 %,BR1957PC52
Khagaria,70,GEN,Bihar [1947 - 1999],Jiya Lal Mandal,Indian National Congress,363573,205000,56.4 %,BR1957PC70
Khajuraho,191,GEN,Madhya Pradesh [1947 - 1999],Motilal Malviya,Indian National Congress,771940,536011,34.7 %,MP1957PC191
Khajuraho,191,GEN,Madhya Pradesh [1947 - 1999],Ram Sahai,Indian National Congress,771940,536011,34.7 %,MP1957PC191
Khammam,34,GEN,Andhra Pradesh,Vittal Rao,Peoples Democratic Front,376471,240837,64.0 %,AP1957PC34
Khed,119,GEN,Bombay,Salunke Balasaheb Dagaduji,All India Scheduled Caste Federation,363368,169007,46.5 %,MH1957PC119
Kheri,365,GEN,Uttar Pradesh [1947 - 1999],Khushwaqt Rai Alias Bhaiyalal,Praja Socialist Party,405123,154396,38.1 %,UP1957PC365
Kishanganj,62,GEN,Bihar [1947 - 1999],Md. Tahir,Indian National Congress,388648,143835,37.0 %,BR1957PC62
Kolaba,116,GEN,Bombay,Raut Rajaram Balkrishna,Peasants & Workers Party,332039,178591,53.8 %,MH1957PC116
Kolar,243,GEN,Mysore,K. Chengalaraya Reddy,Indian National Congress,748001,393551,52.6 %,KA1957PC243
Kolar,243,GEN,Mysore,Doddathimmiah,Indian National Congress,748001,RU,,KA1957PC243
Kolhapur,122,GEN,Bombay,Dige Shankarrao Khanderao,All India Scheduled Caste Federation,721836,869244,60.2 %,MH1957PC122
Kolhapur,122,GEN,Bombay,Mahagaonkar Bhausaheb Raosaheb,Peasants & Workers Party,721836,869244,60.2 %,MH1957PC122
Kopargaon,128,GEN,Bombay,Kamble Bapu Chandrasen,Independent,327295,143573,43.9 %,MH1957PC128
Koppal,235,GEN,Mysore,Sangappa Andanappa,Indian National Congress,408966,228942,56.0 %,KA1957PC235
Koraput,249,GEN,Orissa,R. Jagannath Rao,Indian National Congress,794638,317456,20.0 %,OR1957PC249
Koraput,249,GEN,Orissa,Toyaka Sanganna,Indian National Congress,794638,317456,20.0 %,OR1957PC249
Kotah,287,GEN,Rajasthan,Nemi Chandra Kasliwal,Indian National Congress,773929,488581,31.6 %,RJ1957PC287
Kotah,287,GEN,Rajasthan,"Onkar Lal, S/o Jamna Lal",Indian National Congress,773929,488581,31.6 %,RJ1957PC287
Kottayam,154,GEN,Kerala,Mathew Maniyangadan,Indian National Congress,379331,287074,75.7 %,KL1957PC154
Kozhikode,160,GEN,Kerala,Kuttikrishnan Nair,Indian National Congress,452798,268664,59.3 %,KL1957PC160
Krishnagiri,199,GEN,Madras,C. R. Narsimhan,Indian National Congress,446928,144194,32.3 %,TN1957PC199
Kumbakonam,206,GEN,Madras,C. R. Pattabhiraman,Indian National Congress,429889,217286,50.5 %,TN1957PC206
Kurnool,23,GEN,Andhra Pradesh,Osman Ali Khan,Indian National Congress,422547,103268,24.4 %,AP1957PC23
Kutch,91,GEN,Bombay,Bhavanji A. Khimji,Indian National Congress,352326,150285,42.7 %,MH1957PC91
Lohardaga,89,ST,Bihar [1947 - 1999],Ignece Beck,Jharkhand Party,329578,114376,34.7 %,BR1957PC89
Lucknow,362,GEN,Uttar Pradesh [1947 - 1999],Pulin Behari Banerji,Indian National Congress,378020,170579,45.1 %,UP1957PC362
Ludhiana,277,GEN,Punjab,Bahadur Singh,Indian National Congress,807145,933918,57.9 %,PB1957PC277
Ludhiana,277,GEN,Punjab,Ajit Singh,Indian National Congress,807145,933918,57.9 %,PB1957PC277
Madhubani,58,GEN,Bihar [1947 - 1999],Anirudh Singh,Indian National Congress,405430,174371,43.0 %,BR1957PC58
Madhya Saurashtra,93,GEN,Bombay,Shah Manubhai Mansukhlal,Indian National Congress,373121,145045,38.9 %,MH1957PC93
Madras North,192,GEN,Madras,S. C. C. Anthony Pillai,Independent,449968,176835,39.3 %,TN1957PC192
Madras South,193,GEN,Madras,T. T. Krishnamachari,Indian National Congress,472017,177190,37.5 %,TN1957PC193
Madurai,219,GEN,Madras,K. T. K. Thangamani,Communist Party Of India,460493,226674,49.2 %,TN1957PC219
Maharajganj,51,GEN,Bihar [1947 - 1999],Mahendra Nath Singh,Indian National Congress,385849,147420,38.2 %,BR1957PC51
Mahasu,398,GEN,Himachal Pradesh,Yeshwant Singh,Indian National Congress,320908,217844,33.9 %,HP1957PC398
Mahasu,398,GEN,Himachal Pradesh,Nek Ram,Indian National Congress,320908,217844,33.9 %,HP1957PC398
Mahbubabad,33,GEN,Andhra Pradesh,E. Madhusudhan Rao,Indian National Congress,372879,200672,53.8 %,AP1957PC33
Mahbubnagar,24,GEN,Andhra Pradesh,J. Rameshwar Rao,Indian National Congress,769063,646819,42.1 %,AP1957PC24
Mahbubnagar,24,GEN,Andhra Pradesh,Puli Rama Swamy,Indian National Congress,769063,646819,42.1 %,AP1957PC24
Mahendragarh,269,GEN,Punjab,Ram Krishan,Indian National Congress,452591,238833,52.8 %,PB1957PC269
Mahrajganj,347,GEN,Uttar Pradesh [1947 - 1999],Prof. Shibban Lal Saxena,Independent,395546,176183,44.5 %,UP1957PC347
Mainpuri,324,GEN,Uttar Pradesh [1947 - 1999],Bansi Das Dhangar,Praja Socialist Party,393180,196750,50.0 %,UP1957PC324
Malda,369,GEN,West Bengal,Renuka Ray,Indian National Congress,409274,209203,51.1 %,WB1957PC369
Malegaon,130,GEN,Bombay,Jadhav Yadav Narayan,Praja Socialist Party,375529,238079,63.4 %,MH1957PC130
Mandasur,170,GEN,Madhya Pradesh [1947 - 1999],Manaklal,Indian National Congress,362466,156234,43.1 %,MP1957PC170
Mandi,399,GEN,Himachal Pradesh,Joginder Sen,Indian National Congress,180306,90640,50.3 %,HP1957PC399
Mandla,180,ST,Madhya Pradesh [1947 - 1999],Mangrubabu Uike (S.T.),Indian National Congress,366868,RU,,MP1957PC180
Mandvi,109,ST,Bombay,Kedaria Chhaganlal Madaribhai,Indian National Congress,379317,223157,58.8 %,MH1957PC109
Mandya,240,GEN,Mysore,M. K. Shivananjappa,Indian National Congress,387265,231461,59.8 %,KA1957PC240
Mangalore,247,GEN,Mysore,Achar K. R.,Indian National Congress,435650,250185,57.4 %,KA1957PC247
Manjeri,161,GEN,Kerala,Pocker Kuttivatha,Independent,418881,229402,54.8 %,KL1957PC161
Markapur,15,GEN,Andhra Pradesh,Chegireddi Bali Reddy,Indian National Congress,438204,170026,38.8 %,AP1957PC15
Masulipatnam,11,GEN,Andhra Pradesh,Mandali Venkata Krishna Rao,Indian National Congress,438973,258626,58.9 %,AP1957PC11
Mathura,319,GEN,Uttar Pradesh [1947 - 1999],Raja Mahendra Pratap,Independent,423432,234019,55.3 %,UP1957PC319
Mayurbhanj,255,ST,Orissa,Ram Chandra Majhi,Independent,398171,97175,24.4 %,OR1957PC255
Medak,28,GEN,Andhra Pradesh,P. Hanmanth Rao,Indian National Congress,378686,189121,49.9 %,AP1957PC28
Meerut,304,GEN,Uttar Pradesh [1947 - 1999],Shah Nawaz Khan,Indian National Congress,392800,240937,61.3 %,UP1957PC304
Mehsana,100,GEN,Bombay,Patel Purshottamdas Rachhoddas,Independent,379356,254689,67.1 %,MH1957PC100
Midnapur,382,GEN,West Bengal,Narasingha Malla Ugal Sanda Deb,Indian National Congress,857143,733085,42.8 %,WB1957PC382
Midnapur,382,GEN,West Bengal,Subodh Hansda,Indian National Congress,857143,733085,42.8 %,WB1957PC382
Miraj,123,GEN,Bombay,Patil Balwant Alias Balasaheb Pandurag,Peasants & Workers Party,370305,243605,65.8 %,MH1957PC123
Mirzapur,335,GEN,Uttar Pradesh [1947 - 1999],J. N. Wilson,Indian National Congress,785628,702816,44.7 %,UP1957PC335
Mirzapur,335,GEN,Uttar Pradesh [1947 - 1999],Rup Narain,Indian National Congress,785628,702816,44.7 %,UP1957PC335
Monghyr,69,GEN,Bihar [1947 - 1999],Banarsi Pd. Sinha,Indian National Congress,658086,663987,50.5 %,BR1957PC69
Monghyr,69,GEN,Bihar [1947 - 1999],Nayan Tara Das,Indian National Congress,658086,663987,50.5 %,BR1957PC69
Moradabad,310,GEN,Uttar Pradesh [1947 - 1999],Ram Saran,Indian National Congress,412419,207244,50.3 %,UP1957PC310
Mukundapuram,157,GEN,Kerala,Narayanankutty Menon,Communist Party Of India,407952,305569,74.9 %,KL1957PC157
Murshidabad,370,GEN,West Bengal,Muhammad Khuda Bukhsh,Indian National Congress,423003,202822,48.0 %,WB1957PC370
Musafirkhana,358,GEN,Uttar Pradesh [1947 - 1999],Balkrishna Vishwanath Keskar,Indian National Congress,387572,131086,33.8 %,UP1957PC358
Muvattupuzha,155,GEN,Kerala,George Thomas,Indian National Congress,389211,242844,62.4 %,KL1957PC155
Muzaffarnagar,303,GEN,Uttar Pradesh [1947 - 1999],Sumat Prasad,Indian National Congress,388461,192106,49.5 %,UP1957PC303
Muzaffarpur,54,GEN,Bihar [1947 - 1999],Shyam Nandan Sahay,Indian National Congress,375378,181921,48.5 %,BR1957PC54
Mysore,246,GEN,Mysore,M. Shankariah,Indian National Congress,748017,755460,50.5 %,KA1957PC246
Mysore,246,GEN,Mysore,S. M. Siddiah,Indian National Congress,748017,755460,50.5 %,KA1957PC246
Nabadwip,393,GEN,West Bengal,Ila Pal Choudhury,Indian National Congress,409205,219064,53.5 %,WB1957PC393
Nagapattinam,205,GEN,Madras,K. R. Sambandam,Indian National Congress,855083,936161,54.7 %,TN1957PC205
Nagapattinam,205,GEN,Madras,M. Ayyakannu,Indian National Congress,855083,936161,54.7 %,TN1957PC205
Nagaur,296,GEN,Rajasthan,Mathura Dass,Indian National Congress,445844,219883,49.3 %,RJ1957PC296
Nagpur,138,GEN,Bombay,Kale Anasuyabai Purushottam,Indian National Congress,373938,224244,60.0 %,MH1957PC138
Nainital,313,GEN,Uttar Pradesh [1947 - 1999],C. D. Pande,Indian National Congress,398104,193702,48.7 %,UP1957PC313
Nalanda,72,GEN,Bihar [1947 - 1999],Kailash Pati Singh,Indian National Congress,350254,161004,46.0 %,BR1957PC72
Nalgonda,35,GEN,Andhra Pradesh,D. Venkateswar Rao,Peoples Democratic Front,795291,859439,54.0 %,AP1957PC35
Nalgonda,35,GEN,Andhra Pradesh,D. Rajiah,Indian National Congress,795291,859439,54.0 %,AP1957PC35
Namakkal,222,GEN,Madras,E. V. K. Sampath,Independent,836631,765012,45.7 %,TN1957PC222
Namakkal,222,GEN,Madras,S. R. Arumugam,Indian National Congress,836631,765012,45.7 %,TN1957PC222
Nanded,143,GEN,Bombay,Kamble Deorao Namdeo,Indian National Congress,763426,605722,39.7 %,MH1957PC143
Nanded,143,GEN,Bombay,Sonule Harihar Rao,All India Scheduled Caste Federation,763426,605722,39.7 %,MH1957PC143
Narsapur,7,GEN,Andhra Pradesh,Uddaraju Ramam,Communist Party Of India,457723,260037,56.8 %,AP1957PC07
Nasik,129,GEN,Bombay,Gaikwad Bhaurao Krishanarao,All India Scheduled Caste Federation,366438,176384,48.1 %,MH1957PC129
Nawada,79,GEN,Bihar [1947 - 1999],Satyabhama Devi,Indian National Congress,718269,535744,37.3 %,BR1957PC79
Nawada,79,GEN,Bihar [1947 - 1999],Ramdhani Das,Indian National Congress,718269,535744,37.3 %,BR1957PC79
Negercoil,214,GEN,Madras,Thanulingom Nadar,Indian National Congress,380167,189086,49.7 %,TN1957PC214
Nellore,16,GEN,Andhra Pradesh,B. Anjanappa,Indian National Congress,879574,621871,35.4 %,AP1957PC16
Nellore,16,GEN,Andhra Pradesh,Rebala Lakshmi Narasa Reddy,Indian National Congress,879574,621871,35.4 %,AP1957PC16
Newdelhi,394,GEN,Delhi,Sucheta Kripalani,Indian National Congress,192753,103914,53.9 %,DL1957PC394
Nilgiris,225,GEN,Madras,C. Nanjappan,Indian National Congress,402143,206869,51.4 %,TN1957PC225
Nimar,173,GEN,Madhya Pradesh [1947 - 1999],Varma Ramsingh,Indian National Congress,395767,154238,39.0 %,MP1957PC173
Nimar (KHANDWA),178,GEN,Madhya Pradesh [1947 - 1999],Babulal Surajmani,Indian National Congress,384697,201869,52.5 %,MP1957PC178
Nizamabad,29,GEN,Andhra Pradesh,Harish Chandra Heda,Indian National Congress,402088,183763,45.7 %,AP1957PC29
Nowgong,42,GEN,Assam,"Kataki, Liladhar",Indian National Congress,392935,192740,49.1 %,AS1957PC42
Ongole,14,GEN,Andhra Pradesh,Ronda Narapa Reddy,Indian National Congress,477593,248545,52.0 %,AP1957PC14
Osmanabad,144,GEN,Bombay,Venkat Rao Shrinivas Rao,Indian National Congress,356233,179857,50.5 %,MH1957PC144
Outer Delhi,397,GEN,Delhi,Naval Prabhakar,Indian National Congress,439791,472404,53.7 %,DL1957PC397
Outer Delhi,397,GEN,Delhi,C. Krishnan Nair,Indian National Congress,439791,472404,53.7 %,DL1957PC397
Outer Manipur,402,ST,Manipur,Rungsung Suisa,Indian National Congress,163252,81247,49.8 %,MN1957PC402
Palamau,90,GEN,Bihar [1947 - 1999],Gajendra Pd. Sinha,Indian National Congress,349569,115601,33.1 %,BR1957PC90
Palghat,159,GEN,Kerala,Kunhan P.,Communist Party Of India,844346,910729,53.9 %,KL1957PC159
Palghat,159,GEN,Kerala,Eacharan V. Iyyani,Indian National Congress,844346,910729,53.9 %,KL1957PC159
Pali,292,GEN,Rajasthan,Harish Chandra Mathur,Indian National Congress,387001,167222,43.2 %,RJ1957PC292
Panchmahals,105,GEN,Bombay,Gandhi Maneklal Maganlal,Indian National Congress,378923,173404,45.8 %,MH1957PC105
Parbhani,146,GEN,Bombay,Nagorao S/o Keroji,Indian National Congress,378985,129641,34.2 %,MH1957PC146
Parvathipuram,2,GEN,Andhra Pradesh,B. Satyanarayana,Indian National Congress,827104,494403,29.9 %,AP1957PC02
Parvathipuram,2,GEN,Andhra Pradesh,Dippala Suri Dora,Independent,827104,494403,29.9 %,AP1957PC02
Patan,101,GEN,Bombay,Thakore Motisinh Bahadursinh,Independent,377074,222260,58.9 %,MH1957PC101
Patiala,279,GEN,Punjab,Achint Ram,Indian National Congress,456352,237930,52.1 %,PB1957PC279
Patna,74,GEN,Bihar [1947 - 1999],Sarangdhar Sinha,Indian National Congress,322388,142554,44.2 %,BR1957PC74
Perambalur,208,GEN,Madras,M. Palaniandi,Indian National Congress,442543,230778,52.2 %,TN1957PC208
Periyakulam,218,GEN,Madras,R. Narayanasamy,Indian National Congress,435624,232940,53.5 %,TN1957PC218
Phulpur,334,GEN,Uttar Pradesh [1947 - 1999],Jawahar Lal Nehru,Indian National Congress,798642,616862,38.6 %,UP1957PC334
Phulpur,334,GEN,Uttar Pradesh [1947 - 1999],Masuriya Din,Indian National Congress,798642,616862,38.6 %,UP1957PC334
Pilibhit,314,GEN,Uttar Pradesh [1947 - 1999],Mohan Swaroop,Praja Socialist Party,390591,159895,40.9 %,UP1957PC314
Pollachi,221,GEN,Madras,P. R. Ramakrishnan,Indian National Congress,442467,263602,59.6 %,TN1957PC221
Poona,117,GEN,Bombay,Goray Narayan Ganesh,Praja Socialist Party,357242,243408,68.1 %,MH1957PC117
Pratapgarh,359,GEN,Uttar Pradesh [1947 - 1999],Munishwar Dutt Upadhyay,Indian National Congress,384272,144172,37.5 %,UP1957PC359
Pudukkottai,211,GEN,Madras,F. Ramanathan Chattiar,Indian National Congress,419435,222751,53.1 %,TN1957PC211
Pupri,56,GEN,Bihar [1947 - 1999],Digvijaya Narain Singh,Indian National Congress,390892,207061,53.0 %,BR1957PC56
Puri,262,GEN,Orissa,Chintamani Panigrahi,Communist Party Of India,411216,157551,38.3 %,OR1957PC262
Purnea,63,GEN,Bihar [1947 - 1999],Phani Gopal Sen Gupta,Indian National Congress,394634,172563,43.7 %,BR1957PC63
Purulia,375,GEN,West Bengal,Bibhuti Bhusan Das Gupta,Independent,366520,132588,36.2 %,WB1957PC375
Quilon,151,GEN,Kerala,Kodiyan (S. C. ),Communist Party Of India,801581,1203754,75.1 %,KL1957PC151
Quilon,151,GEN,Kerala,Parameswaran Nair V.,Communist Party Of India,801581,1203754,75.1 %,KL1957PC151
Rae Bareli,360,GEN,Uttar Pradesh [1947 - 1999],Feroze Gandhi,Indian National Congress,804426,675357,42.0 %,UP1957PC360
Rae Bareli,360,GEN,Uttar Pradesh [1947 - 1999],Baij Nath Kureel,Indian National Congress,804426,675357,42.0 %,UP1957PC360
Raichur,234,GEN,Mysore,G. S. Melkote,Indian National Congress,405678,150148,37.0 %,KA1957PC234
Raipur,184,GEN,Madhya Pradesh [1947 - 1999],Raja Birendra Bahadur Singh (S. T. ),Indian National Congress,799936,634680,39.7 %,MP1957PC184
Raipur,184,GEN,Madhya Pradesh [1947 - 1999],Rani Keshar Kumari Devi (S. T. ),Indian National Congress,799936,634680,39.7 %,MP1957PC184
Rajampet,18,GEN,Andhra Pradesh,T.N. Viswanath Reddy,Indian National Congress,417694,RU,,AP1957PC18
Rajamundry,5,GEN,Andhra Pradesh,D. Satyanarayana Raju,Indian National Congress,430056,RU,,AP1957PC05
Rajapur,121,GEN,Bombay,Pai Nath Bapu,Praja Socialist Party,338461,154492,45.7 %,MH1957PC121
Rajmahal,65,ST,Bihar [1947 - 1999],Paika Murmu,Indian National Congress,372878,118640,31.8 %,BR1957PC65
Ramanathapuram,212,GEN,Madras,P. Subbiah Ambalam,Indian National Congress,468851,238502,50.9 %,TN1957PC212
Rampur,311,GEN,Uttar Pradesh [1947 - 1999],Raja Syed Ahmad Mehdi,Indian National Congress,403446,186971,46.3 %,UP1957PC311
Ramtek,137,GEN,Bombay,Deshmukh Krishnarao Gulabrao,Indian National Congress,416239,268573,64.5 %,MH1957PC137
Ranchi East,85,GEN,Bihar [1947 - 1999],M.R.Masani,Jharkhand Party,336924,112864,33.5 %,BR1957PC85
Ranchi West,88,ST,Bihar [1947 - 1999],Jaipal Singh,Jharkhand Party,386903,231027,59.7 %,BR1957PC88
Rasra,340,GEN,Uttar Pradesh [1947 - 1999],Sarju Pande,Communist Party Of India,417479,214340,51.3 %,UP1957PC340
Ratnagiri,120,GEN,Bombay,Assar Premjibhai Ranchhoddas,All India Bhartiya Jan Sangh,344178,155438,45.2 %,MH1957PC120
Rewa,190,GEN,Madhya Pradesh [1947 - 1999],Shiva Datta,Indian National Congress,395851,140385,35.5 %,MP1957PC190
Rohtak,266,GEN,Punjab,Ranbir Singh,Indian National Congress,394077,273698,69.5 %,PB1957PC266
Sabarkantha,99,GEN,Bombay,Nanda Gulzarilal Bulakhiram,Indian National Congress,339021,170385,50.3 %,MH1957PC99
Sagar,175,GEN,Madhya Pradesh [1947 - 1999],Jawala Prasad Jyotishi,Indian National Congress,752447,564508,37.5 %,MP1957PC175
Sagar,175,GEN,Madhya Pradesh [1947 - 1999],Sahodra Bai Murlidhar (SC),Indian National Congress,752447,564508,37.5 %,MP1957PC175
Saharanpur,302,GEN,Uttar Pradesh [1947 - 1999],Ajit Prasad Jain,Indian National Congress,817556,929055,56.8 %,UP1957PC302
Saharanpur,302,GEN,Uttar Pradesh [1947 - 1999],Sunder Lal,Indian National Congress,817556,929055,56.8 %,UP1957PC302
Saharsa,61,GEN,Bihar [1947 - 1999],Lalit Narain Mishra,Indian National Congress,714574,610961,42.8 %,BR1957PC61
Saharsa,61,GEN,Bihar [1947 - 1999],Bholi Sardar,Indian National Congress,714574,610961,42.8 %,BR1957PC61
Salem,201,GEN,Madras,S. V. Ramasami,Indian National Congress,401741,180883,45.0 %,TN1957PC201
Salempur,344,GEN,Uttar Pradesh [1947 - 1999],Bishwanath Roy,Indian National Congress,428505,163090,38.1 %,UP1957PC344
Samastipur,59,GEN,Bihar [1947 - 1999],Satya Narayan Sinha,Indian National Congress,346226,166815,48.2 %,BR1957PC59
Sambalpur,252,GEN,Orissa,Banamali Kumbhar,Ganatantra Parishad,796199,462051,29.0 %,OR1957PC252
Sambalpur,252,GEN,Orissa,Sradhakar Supakar,Ganatantra Parishad,796199,462051,29.0 %,OR1957PC252
Sardhana,305,GEN,Uttar Pradesh [1947 - 1999],Vishnu Sharan Dublish,Indian National Congress,418676,237476,56.7 %,UP1957PC305
Sasaram,77,GEN,Bihar [1947 - 1999],Ramsubhag Singh,Indian National Congress,741808,352370,47.5 %,BR1957PC77
Sasaram,77,GEN,Bihar [1947 - 1999],Jagjiwan Ram,Indian National Congress,741808,RU,,BR1957PC77
Satara,125,GEN,Bombay,Patil Nana Ramchandra,Communist Party Of India,366598,221939,60.5 %,MH1957PC125
Sawai Madhopur,286,GEN,Rajasthan,Hiralal Shastri,Indian National Congress,850263,647599,38.1 %,RJ1957PC286
Sawai Madhopur,286,GEN,Rajasthan,Jagan Nath,Indian National Congress,850263,647599,38.1 %,RJ1957PC286
Secunderabad,26,GEN,Andhra Pradesh,Ahmed Mohiuddin,Indian National Congress,341797,147258,43.1 %,AP1957PC26
Serampore,378,GEN,West Bengal,Jitendra Nath Lahiri,Indian National Congress,428149,246062,57.5 %,WB1957PC378
Shahabad,75,GEN,Bihar [1947 - 1999],Baliram Bhagat,Indian National Congress,376683,175177,46.5 %,BR1957PC75
Shahdol,189,GEN,Madhya Pradesh [1947 - 1999],Anand Chandra Joshi,Indian National Congress,784252,384145,24.5 %,MP1957PC189
Shahdol,189,GEN,Madhya Pradesh [1947 - 1999],Kamal Narain Singh,Indian National Congress,784252,384145,24.5 %,MP1957PC189
Shahjahanpur,315,GEN,Uttar Pradesh [1947 - 1999],Narain Din,Indian National Congress,814333,723418,44.4 %,UP1957PC315
Shahjahanpur,315,GEN,Uttar Pradesh [1947 - 1999],Seth Bishan Chandra,Independent,814333,723418,44.4 %,UP1957PC315
Shajapur,168,GEN,Madhya Pradesh [1947 - 1999],Liladhar,Indian National Congress,778985,596213,38.3 %,MP1957PC168
Shajapur,168,GEN,Madhya Pradesh [1947 - 1999],Kanhaiyalal,Indian National Congress,778985,596213,38.3 %,MP1957PC168
Shimoga,238,GEN,Mysore,K. G. Wodeyar,Indian National Congress,391924,211204,53.9 %,KA1957PC238
Shiv Puri,166,GEN,Madhya Pradesh [1947 - 1999],Brijnarain,Akhil Bharatiya Hindu Mahasabha,399872,173613,43.4 %,MP1957PC166
Sholapur,126,GEN,Bombay,Sonavane Tayappa Hari,Indian National Congress,753307,745171,49.5 %,MH1957PC126
Sholapur,126,GEN,Bombay,More Jayawant Ghanshyam,Independent,753307,745171,49.5 %,MH1957PC126
Sibsagar,44,GEN,Assam,"Borua, Profulla Chandra",Indian National Congress,375283,164601,43.9 %,AS1957PC44
Sikar,281,GEN,Rajasthan,Rameshwar Tantia,Indian National Congress,401674,198511,49.4 %,RJ1957PC281
Singhbhum,87,ST,Bihar [1947 - 1999],Shambhu Charan,Jharkhand Party,397630,139346,35.0 %,BR1957PC87
Sitamarhi,55,GEN,Bihar [1947 - 1999],Acharya J. B. Kripalani,Praja Socialist Party,417735,211523,50.6 %,BR1957PC55
Sitapur,364,GEN,Uttar Pradesh [1947 - 1999],Pragi Lal,Indian National Congress,926313,791021,42.7 %,UP1957PC364
Sitapur,364,GEN,Uttar Pradesh [1947 - 1999],Uma Nehru,Indian National Congress,926313,791021,42.7 %,UP1957PC364
Siwan,49,GEN,Bihar [1947 - 1999],Jhulan Singh,Indian National Congress,378240,138756,36.7 %,BR1957PC49
Sorath,95,GEN,Bombay,Nathwani Narendra Pragji,Indian National Congress,330799,154686,46.8 %,MH1957PC95
Srikakulam,1,GEN,Andhra Pradesh,Boddepalli Rajagopala Rao,Indian National Congress,416861,153238,36.8 %,AP1957PC01
Srivilliputhur,213,GEN,Madras,U. Muthuramalinga Thevar,Independent,876837,856319,48.8 %,TN1957PC213
Srivilliputhur,213,GEN,Madras,R. S. Arumugam,Indian National Congress,876837,856319,48.8 %,TN1957PC213
Sultanpur,357,GEN,Uttar Pradesh [1947 - 1999],Govind Malviya,Indian National Congress,378911,146128,38.6 %,UP1957PC357
Sundargarh,253,ST,Orissa,Chandramani Kalo,Ganatantra Parishad,411340,186563,45.4 %,OR1957PC253
Surat,110,GEN,Bombay,Desai Morarji Ranchhodji,Indian National Congress,374614,229639,61.3 %,MH1957PC110
